N	3gram	Tiupa_Anal	formyVre
1	то же время	7	21
2	в то же	7	18
3	в связи с	1	15
4	с точки зрения	2	15
5	для того чтобы	1	12
6	но и в	2	12
7	не только в	5	11
8	в этом мире	1	10
9	до сих пор	1	10
10	и того же	4	9
11	одного и того	4	9
12	мы уже говорили	1	9
13	в большинстве случаев	1	8
14	и прежде всего	2	8
15	человека и его	1	8
16	к себе самому	1	8
17	не может быть	2	7
18	в отличие от	5	7
19	в этом отношении	3	7
20	друг от друга	1	6
21	и в особенности	1	6
22	с одной стороны	3	6
23	в том что	12	5
24	то есть не	1	5
25	в то время	1	5
26	то есть в	1	5
27	той или иной	6	5
28	как и в	6	5
29	по отношению к	9	4
30	в этом ряду	2	4
31	одних и тех	2	4
32	не для того	1	4
33	как если бы	1	4
34	с другой стороны	7	4
35	с самим собою	1	4
36	и тех же	2	4
37	включает в себя	2	4
38	как раз в	1	4
39	в этом случае	1	4
40	во всяком случае	6	4
41	в той или	2	3
42	и как бы	2	3
43	до нас в	1	3
44	до известной степени	3	3
45	в себя и	1	3
46	в зависимости от	1	3
47	что в этом	1	3
48	как раз и	1	3
49	же как и	1	3
50	о том что	7	3
51	как бы ни	1	3
52	так и в	1	3
53	и в сущности	1	3
54	тот или иной	3	3
55	для него самого	1	2
56	в дальнейшем мы	1	2
57	нашем случае в	1	2
58	можно сказать что	2	2
59	здесь не только	4	2
60	каждом из них	1	2
61	прежде всего они	1	2
62	они не могут	1	2
63	по природе своей	3	2
64	в соответствии с	2	2
65	в данном случае	11	2
66	здесь как бы	1	2
67	к тому же	7	2
68	же время они	1	2
69	произведения в его	1	2
70	в частности с	1	2
71	в нашем случае	1	2
72	в свою очередь	7	2
73	но он не	1	2
74	к тому времени	1	2
75	она ни была	1	2
76	здесь как и	1	2
77	отличие от всех	1	2
78	тем более что	1	2
79	со всех сторон	1	2
80	под углом зрения	1	2
81	дело в том	3	2
82	и все его	1	2
83	жизни и смерти	1	2
84	жизни в ее	1	2
85	по своей природе	1	2
86	а в своей	1	2
87	в самом широком	1	2
88	что и в	1	2
89	если бы он	1	2
90	в основе своей	2	2
91	в целом ряде	1	1
92	что он не	2	1
93	это имеет место	1	1
94	уст в уста	1	1
95	в самом начале	1	1
96	свой жизненный путь	1	1
97	человека с самим	1	1
98	те же слова	1	1
99	в применении к	1	1
100	жанров в частности	1	1
101	как раз не	1	1
102	в литературе нового	1	1
103	больше и больше	1	1
104	единство и целостность	1	1
105	на каждом из	1	1
106	он должен слиться	1	1
107	в этом смысле	1	1
108	времени не в	1	1
109	то что не	1	1
110	достигается прежде всего	1	1
111	героев и их	1	1
112	хотя бы и	1	1
113	в самом деле	1	1
114	и частной жизни	1	1
115	не только его	1	1
116	тем не менее	3	1
117	и в пространстве	1	1
118	оставляем в стороне	1	1
119	в них и	1	1
120	но они не	1	1
121	сказать что жанр	1	1
122	существенными событиями жизни	1	1
123	романа хотя и	1	1
124	которыми он должен	1	1
125	приходит к выводу	1	1
126	в себе самом	1	1
127	моменты человеческой жизни	1	1
128	в особенности же	1	1
129	самим собою в	1	1
130	прежде всего к	1	1
131	особое место в	1	1
132	уже никогда не	1	1
133	в один ряд	1	1
134	делает их существенными	1	1
135	жизни но эта	1	1
136	и во всем	1	1
137	жизни поколений ослабляет	1	1
138	и все же	1	1
139	его в иной	1	1
140	но и как	1	1
141	при этом он	2	1
142	картина мира проникнутая	1	1
143	ни к какой	1	1
144	места жизни поколений	1	1
145	значении этого слова	1	1
146	сама по себе	3	1
147	в конечном счете	5	1
148	и т.п в	1	1
149	с тех пор	1	1
150	поколений ослабляет и	1	1
151	только то что	1	1
152	уже говорили о	1	1
153	как бы не	1	1
154	в значительной степени	3	1
155	в одно из	1	1
156	и в том	1	1
157	в чистом виде	2	1
158	есть одна из	1	1
159	и наконец в	1	1
160	быта лишает их	1	1
161	и вступает в	1	1
162	в одном из	1	1
163	ночь была лунная	1	1
164	но лишь в	1	1
165	характера делает их	1	1
166	никогда не бывает	1	1
167	в соседстве со	1	1
168	раз и составляет	1	1
169	и может быть	1	1
170	на фоне этой	1	1
171	одни из них	1	1
172	произведения то есть	1	1
173	в этом же	1	1
174	в самый момент	1	1
175	но дело в	1	1
176	чего еще нет	1	1
177	лишает их частного	1	1
178	грани между индивидуальными	1	1
179	дня и ночи	1	1
180	до того что	1	1
181	раз в том	1	1
182	как бы в	1	1
183	комедии дель арте	1	1
184	между индивидуальными жизнями	1	1
185	тот факт что	1	1
186	в русской литературе	5	1
187	к выводу что	1	1
188	в соответствии со	3	1
189	и той же	2	1
190	из уст в	1	1
191	силы мировой жизни	1	1
192	они как бы	1	1
193	во времени и	1	1
194	хотя и не	1	1
195	мы понимаем как	1	1
196	с которыми он	1	1
197	в одной из	2	1
198	на самом деле	1	1
199	единство места жизни	1	1
200	одно из самых	1	1
201	к ним не	1	1
202	смысле этого слова	1	1
203	в конце концов	1	1
204	подобно тому как	3	1
205	так и на	1	1
206	автора и читателей	1	1
207	и в сюжете	1	1
208	это уже не	1	1
209	так и его	2	1
210	в пределах одного	1	1
211	события частной жизни	1	1
212	и так сказать	1	1
213	и является в	1	1
214	в себе не	1	1
215	литературе нового времени	1	1
216	том что он	2	1
217	между тем как	1	1
218	тех случаях когда	1	1
219	быть осуществлено только	1	1
220	не могут быть	1	1
221	внешних и внутренних	1	1
222	в тех случаях	1	1
223	одной и той	2	1
224	все это было	1	1
225	в большинстве своем	1	1
226	героя или с	1	1
227	их существенными событиями	1	1
228	в этот день	1	1
