N	2gram	Propp_Isto	BTomashe
1	у нас	1	3
2	все это	6	2
3	в ней	10	2
4	можно было	8	2
5	не то	4	2
6	и не	19	2
7	следовало бы	3	1
8	вопрос о	8	1
9	говорить о	1	1
10	и о	1	1
11	о них	1	1
12	было и	1	1
13	не только	28	1
14	остановиться на	1	1
15	всего в	2	1
16	в композиции	2	1
17	таким образом	13	1
18	не было	3	1
19	меньшей мере	2	1
20	в эпоху	2	1
21	прежде всего	15	1
22	так по	1	1
23	и в	40	1
24	на самом	3	1
25	так и	13	1
26	на которой	2	1
27	можно в	1	1
28	из своей	1	1
29	в своей	2	1
30	иначе не	1	1
31	во всяком	1	1
32	и потому	3	1
33	и во	1	1
34	также что	2	1
35	же не	3	1
36	с другой	8	1
37	об этом	11	1
38	художественного произведения	1	1
39	своей книге	1	1
40	как будто	7	1
41	точке зрения	1	1
42	совершенно не	1	1
43	другой стороны	7	1
44	кроме того	3	1
45	было бы	11	1
46	но автор	1	1
47	стоит на	2	1
48	достаточно точно	1	1
49	и ее	3	1
50	одной из	6	1
51	в значительной	1	1
52	по мотивам	1	1
53	в пределах	4	1
54	должна быть	5	1
55	в области	2	1
56	далеко не	1	1
57	он свою	1	1
58	не вполне	3	1
59	и более	3	1
60	он заслуживает	1	1
61	не все	5	1
62	по этим	1	1
63	никак не	1	1
64	в книге	4	1
65	значительной степени	1	1
66	его не	3	1
67	будто бы	4	1
68	имеющихся у	1	1
69	также не	2	1
70	а не	18	1
71	отнюдь не	2	1
72	до конца	1	1
73	на формальной	1	1
74	и на	6	1
75	по отдельным	3	1
76	между ними	2	1
77	еще не	14	1
78	нет но	1	1
79	к ней	3	1
80	все же	17	1
81	работа по	1	1
82	что в	19	1
83	материала по	1	1
