N	4gram	Propp_Isto	Vladivir
1	в том что в	1	5
2	в то время как	2	5
3	не что иное как	6	4
4	на самом же деле	1	3
5	тем не менее если	1	3
6	как мы видели выше	2	3
7	и в том числе	1	3
8	заключается в том что	1	3
9	совершенно так же как	4	2
10	к этому времени уже	1	2
11	как мы увидим ниже	2	2
12	точно так же и	1	2
13	в связи с этим	1	2
14	но вместе с тем	1	2
15	до сих пор не	1	2
16	есть не что иное	2	2
17	с этой точки зрения	1	1
18	состоит в том что	2	1
19	на одной и той	2	1
20	в том смысле как	1	1
21	но тем не менее	2	1
22	точно так же в	1	1
23	разве ты не видишь	1	1
24	указывает на то что	1	1
25	с ней в брак	1	1
26	в том что и	1	1
27	в них нет ничего	1	1
28	тем не менее он	1	1
29	одной и той же	2	1
30	он никак не мог	1	1
31	как мы сейчас увидим	1	1
32	и т д до	1	1
33	независимо от того кто	1	1
34	мы уже знаем что	1	1
35	но нельзя сказать что	1	1
36	то что есть только	1	1
37	мы имеем дело с	1	1
38	весь дом и все	1	1
39	что иное как воплощение	1	1
40	и т д в	1	1
41	содержит в себе черты	1	1
42	что он видел и	1	1
43	по себе ничего не	1	1
44	так же как и	3	1
45	мы не будем здесь	1	1
46	и не может быть	1	1
47	что же это за	1	1
