N	3gram	Bakhtin_Pr	VLabPisa
1	и т д	4	16
2	в этом отношении	3	14
3	в письме к	2	11
4	и т п	10	9
5	не может быть	8	8
6	с другой стороны	6	8
7	по отношению к	12	7
8	более или менее	4	6
9	в том что	6	5
10	хотя бы и	3	5
11	в художественном творчестве	2	5
12	в зависимости от	5	5
13	в то же	13	5
14	то же время	13	5
15	в художественном произведении	1	4
16	в одном из	2	4
17	можно сказать что	2	4
18	не было бы	1	4
19	не могут быть	1	4
20	в связи с	1	4
21	к тому что	1	4
22	вот что говорит	1	3
23	большей или меньшей	2	3
24	для того чтобы	1	3
25	о том что	2	3
26	о том же	2	3
27	подобно тому как	3	3
28	и в то	2	3
29	та или иная	1	3
30	это и есть	1	3
31	в своем творчестве	1	3
32	одной стороны и	1	2
33	для него в	2	2
34	во всяком случае	4	2
35	по крайней мере	2	2
36	и в другом	1	2
37	во всех его	1	2
38	этой точки зрения	2	2
39	в том числе	1	2
40	бы не было	1	2
41	не в том	1	2
42	таким образом в	1	2
43	в точном смысле	1	2
44	но и он	1	2
45	в большей или	2	2
46	в противном случае	1	2
47	до сих пор	9	2
48	не только не	2	2
49	иметь в виду	1	2
50	в конце концов	7	2
51	том числе и	1	2
52	или меньшей степени	2	2
53	что все эти	1	2
54	не только в	2	2
55	в каждом отдельном	1	2
56	и никогда не	1	2
57	не может не	1	2
58	т е в	3	2
59	только то что	2	2
60	в другом месте	1	2
61	с одной стороны	1	2
62	также и в	1	2
63	можно было бы	3	2
64	после того как	1	2
65	и не может	6	2
66	между ними не	1	1
67	так же как	1	1
68	на этой почве	1	1
69	что он не	1	1
70	является таким образом	1	1
71	достоевского таким образом	1	1
72	как например у	1	1
73	сих пор не	1	1
74	в той или	1	1
75	а как бы	1	1
76	в свою очередь	1	1
77	в том же	1	1
78	того или иного	1	1
79	все то что	3	1
80	между собою и	1	1
81	т е не	2	1
82	то это вовсе	1	1
83	письме к страхову	1	1
84	как будто бы	1	1
85	для него основной	1	1
86	той или иной	1	1
87	о достоевском по	1	1
88	по существу своему	1	1
89	приходится признать что	1	1
90	т п все	2	1
91	все зависит от	1	1
92	на то что	2	1
93	как он определяет	1	1
94	но и в	1	1
95	он говорит в	1	1
96	он сам по	1	1
97	и ту же	1	1
98	как мы знаем	1	1
99	в этом смысле	12	1
100	по сравнению с	1	1
101	но она не	1	1
102	единой и цельной	1	1
103	может быть даже	1	1
104	наконец и это	1	1
105	имеем в виду	1	1
106	то время как	2	1
107	в этом случае	1	1
108	отсюда следует что	1	1
109	время работы над	1	1
110	то что в	1	1
111	в самом деле	6	1
112	у него был	1	1
113	как один из	2	1
114	и так или	1	1
115	и во всех	1	1
116	целом т е	1	1
117	не отличается от	1	1
118	у него в	2	1
119	прежде всего необходимо	1	1
120	в то время	2	1
121	тех или иных	1	1
122	а между тем	1	1
123	зависимости от различных	1	1
124	все эти определения	2	1
125	на этот вопрос	2	1
126	и есть то	1	1
127	свою внутреннюю логику	1	1
128	в таком случае	1	1
129	но у него	1	1
130	все же не	3	1
131	каждый из них	1	1
132	так или иначе	1	1
133	говорит в письме	1	1
134	не укладывающаяся в	1	1
135	зависимости от них	1	1
136	хотя и не	3	1
137	сами по себе	4	1
138	уже сама по	1	1
139	крайней мере для	1	1
140	художественного произведения и	1	1
141	и в их	1	1
142	один из его	1	1
143	то что должно	1	1
144	ни одна из	1	1
145	как и все	4	1
146	но в то	7	1
147	выйти за пределы	1	1
148	т д наконец	1	1
149	то все же	1	1
150	п все это	1	1
151	укладывающаяся в рамки	1	1
152	между этими двумя	1	1
153	а потому и	1	1
154	романов достоевского и	2	1
155	индивидуальности таким образом	1	1
156	в данном случае	2	1
157	есть то что	1	1
158	в том или	1	1
159	но даже в	1	1
160	говорит об этом	1	1
161	могут быть отнесены	1	1
162	что они не	1	1
163	именно в том	1	1
164	он и не	1	1
165	а в том	1	1
166	мы полагаем что	1	1
167	отношение к сознанию	1	1
168	сюда относится например	1	1
169	к тому же	2	1
170	и по отношению	1	1
171	же как и	2	1
172	как если бы	3	1
173	одну и ту	1	1
174	во время работы	1	1
175	то же самое	1	1
176	никогда не может	2	1
177	сама по себе	5	1
178	в процессе этого	1	1
179	это вовсе не	2	1
180	не могло бы	1	1
181	его творчества в	1	1
182	но все же	3	1
183	что должно быть	1	1
184	все это не	1	1
185	а не только	1	1
186	таким образом и	2	1
187	оно может быть	2	1
188	в виду что	1	1
189	если бы он	1	1
190	видения мира и	1	1
191	неизбежно приводит к	1	1
192	о если б	1	1
193	и для достижения	1	1
194	но с другой	2	1
195	между собою в	1	1
196	может быть и	2	1
