N	3gram	Tiupa_Vved	Dialekti
1	по крайней мере	1	26
2	в том что	10	25
3	не может быть	6	18
4	не что иное	1	18
5	что иное как	1	18
6	тем не менее	3	16
7	само по себе	1	16
8	то же время	4	15
9	в то же	5	14
10	в таком случае	1	14
11	и то же	1	12
12	с другой стороны	2	12
13	о том что	6	12
14	одно и то	1	12
15	ничего не говорит	1	11
16	и стало быть	3	11
17	на то что	2	11
18	в самом деле	2	10
19	той или другой	1	10
20	иметь в виду	1	9
21	и в этом	1	9
22	содержит в себе	1	9
23	подобно тому как	3	9
24	то или иное	1	9
25	это и есть	1	9
26	а не просто	1	8
27	и та же	1	8
28	одна и та	1	8
29	в этом смысле	1	8
30	можно сказать что	1	7
31	не в том	3	7
32	сами по себе	1	7
33	в связи с	1	7
34	той или иной	4	7
35	только потому что	1	6
36	для того чтобы	1	6
37	более или менее	2	6
38	в зависимости от	1	6
39	и прежде всего	1	6
40	и в то	1	6
41	то что мы	1	6
42	как и все	1	6
43	во всяком случае	3	6
44	с одной стороны	9	6
45	тем более не	2	5
46	на самом деле	4	5
47	и даже не	1	5
48	по сравнению с	1	5
49	потому что она	1	5
50	к тому что	1	5
51	в том смысле	1	5
52	одной и той	1	5
53	и можно сказать	1	5
54	и той же	1	5
55	одной стороны и	3	4
56	стало быть в	1	4
57	том смысле что	1	4
58	так же как	1	4
59	может быть только	1	4
60	в данном случае	15	4
61	к тому же	6	4
62	что это не	1	4
63	как раз и	1	4
64	то же самое	2	4
65	из того что	1	4
66	а не только	1	4
67	но это не	1	4
68	того и другого	1	4
69	и даже в	1	4
70	и тем более	1	4
71	с той или	1	4
72	можно было бы	2	4
73	в этом отношении	7	4
74	в той или	1	3
75	как будто бы	3	3
76	никак не могу	1	3
77	он не может	1	3
78	одних и тех	1	3
79	если бы мы	1	3
80	а стало быть	1	3
81	и не может	1	3
82	того или иного	1	3
83	как и в	2	3
84	и тех же	1	3
85	о том как	1	3
86	хотя и не	2	3
87	не было бы	1	3
88	но в то	1	3
89	не только в	3	3
90	речь идет о	3	3
91	с самого начала	1	3
92	же как и	1	3
93	бы и не	2	2
94	том что у	1	2
95	как и вообще	1	2
96	времени и пространства	1	2
97	я уже не	1	2
98	стало быть и	1	2
99	друг от друга	2	2
100	и от его	1	2
101	как более или	1	2
102	в нем не	1	2
103	несет на себе	1	2
104	а что же	1	2
105	в обоих случаях	1	2
106	ни о чем	1	2
107	сомневаться в том	1	2
108	не было и	2	2
109	имеет место в	1	2
110	оно и не	1	2
111	можно представить себе	1	2
112	в свою очередь	5	2
113	мы не имеем	1	2
114	о чем говорить	1	2
115	мы не можем	1	2
116	ли это что	1	2
