N	4gram	Potebnia_M	StatiiOP
1	дело в том что	1	9
2	в то же время	8	9
3	заключается в том что	1	6
4	в то время как	3	5
5	на то что в	1	4
6	достаточно для того чтобы	1	4
7	в том смысле что	2	3
8	не говоря уже о	1	3
9	и в самом деле	1	3
10	в том что он	2	3
11	одним и тем же	4	3
12	и в этом случае	1	2
13	состоит в том что	1	2
14	в том что она	1	2
15	до тех пор пока	2	2
16	в том что и	1	2
17	и т п но	1	2
18	уже после того как	1	2
19	без всякого внимания к	1	2
20	все более и более	1	2
21	бы то ни было	1	2
22	но вместе с тем	1	2
23	в том что этот	1	2
24	не в том что	4	2
25	и в том что	2	1
26	по отношению к своему	1	1
27	именно в том что	1	1
28	что он не знает	1	1
29	с точки зрения той	1	1
30	до сих пор еще	1	1
31	том виде в каком	1	1
32	в собственном смысле этого	1	1
33	и о том что	1	1
34	в том смысле как	1	1
35	потому что он не	2	1
36	и сами по себе	1	1
37	это можно утверждать только	1	1
38	это с одной стороны	1	1
39	в том смысле в	2	1
40	так и в том	1	1
41	только в том случае	1	1
42	иначе и быть не	1	1
43	в том чтобы показать	1	1
44	как мы видели выше	1	1
45	что в то время	3	1
46	тем не менее в	1	1
47	себе отчет в том	1	1
48	только в том что	3	1
49	заключается именно в том	1	1
50	не только в том	1	1
51	то время как в	1	1
52	отчет в том что	1	1
53	вовсе не в том	1	1
54	пути по которому ведет	1	1
55	одной и той же	4	1
56	в самом деле в	1	1
57	при таких условиях и	1	1
58	вопрос о том что	1	1
59	одно и то же	7	1
60	имеет такое же значение	1	1
61	не в том чтобы	1	1
62	для него самого и	1	1
63	и та и другая	2	1
64	с одной точки зрения	1	1
65	такое же значение как	1	1
66	том смысле в каком	2	1
67	из нее то что	1	1
68	в том виде в	1	1
69	по мере того как	8	1
