N	3gram	Tiupa_Hudo	Myslijsy
1	в том что	8	47
2	по отношению к	10	26
3	не может быть	4	19
4	заключает в себе	1	19
5	тем не менее	3	18
6	по крайней мере	1	17
7	в свою очередь	2	14
8	то же время	7	13
9	в то же	7	13
10	более или менее	6	12
11	с другой стороны	6	12
12	для того чтобы	5	11
13	а в том	1	11
14	подобно тому как	3	11
15	в то время	1	10
16	с одной стороны	3	10
17	в таком случае	2	9
18	одного и того	3	9
19	и того же	3	9
20	о том что	1	9
21	не могут быть	1	9
22	в этом случае	1	8
23	в этом смысле	3	7
24	и то же	3	7
25	сама по себе	2	7
26	и в том	1	7
27	с точки зрения	3	7
28	как и в	1	7
29	можно сказать что	3	7
30	не в состоянии	1	7
31	одно и то	3	7
32	может быть названо	2	7
33	и как бы	1	6
34	друг от друга	1	6
35	то же самое	1	6
36	и в слове	1	6
37	может быть назван	1	5
38	тем и другим	1	5
39	по себе а	1	5
40	в том случае	1	5
41	таким образом что	1	5
42	к тому что	2	5
43	в сравнении с	1	5
44	все то что	1	4
45	с этой точки	2	4
46	но на деле	1	4
47	но не в	1	4
48	в произведении искусства	1	4
49	быть не может	1	4
50	в том и	2	4
51	и тем же	1	4
52	форма в которой	1	4
53	и в самом	3	4
54	в противном случае	2	4
55	не что иное	1	4
56	одним и тем	1	4
57	что иное как	1	4
58	объективности и субъективности	1	4
59	это было бы	1	4
60	точно так же	1	3
61	что он не	1	3
62	и в жизни	1	3
63	одной стороны и	1	3
64	в одном и	1	3
65	до известной степени	2	3
66	бы ни был	1	3
67	то есть в	1	3
68	так или иначе	4	3
69	том что он	2	3
70	и том же	1	3
71	и тем самым	1	3
72	в связи с	3	3
73	бы то ни	2	3
74	одном и том	1	3
75	заключается в том	1	3
76	из того что	1	3
77	состоит не в	1	3
78	бы они ни	1	3
79	могли бы быть	1	3
80	на первый взгляд	1	3
81	этой точки зрения	2	3
82	тогда как в	1	3
83	место в системе	1	2
84	а можно только	1	2
85	себе еще не	1	2
86	в себе в	1	2
87	заключать в себе	1	2
88	вопрос что такое	1	2
89	к нему как	1	2
90	мы говорим о	1	2
91	в том в	1	2
92	в чем состоит	1	2
93	на нее как	1	2
94	при этом в	1	2
95	того что не	1	2
96	по себе еще	1	2
97	в его сознании	1	2
98	а тем более	1	2
99	не было и	1	2
100	и по отношению	1	2
101	а не с	1	2
102	состоит в том	5	2
103	только то что	1	2
104	то ни было	2	2
105	имея в виду	1	2
106	мы имеем дело	2	2
107	может и не	1	2
108	на вопрос что	1	2
109	в этих случаях	1	2
110	в себе никаких	1	2
111	и потому что	1	2
112	вбирает в себя	1	2
113	в свое время	1	2
114	не только к	1	2
115	в себе самом	1	2
116	в таких случаях	1	2
117	и тем более	1	2
118	при этом не	1	2
119	друг другу и	1	2
120	то есть от	1	2
121	так же как	1	2
122	они ни были	1	2
123	том случае если	1	2
124	легко может быть	1	2
125	собственно говоря только	1	1
