N	2gram	Medvedev_V	Stilisti
1	и в	2	42
2	и т.д	1	21
3	хотя бы	1	18
4	то же	1	16
5	и не	1	14
6	в этом	1	10
7	так как	1	8
8	только в	1	7
9	и его	1	7
10	потому что	1	7
11	в конце	2	6
12	речи и	1	6
13	одно и	1	6
14	в самом	1	5
15	что язык	1	5
16	все время	1	5
17	самом деле	1	5
18	и то	1	5
19	все это	1	4
20	да и	1	4
21	в том	2	3
22	том что	2	3
23	конце концов	2	3
24	в устах	1	3
25	в частности	1	3
26	главным образом	1	3
27	ни к	1	2
28	одном и	1	2
29	для них	1	2
30	но это	1	2
31	в их	1	2
32	все то	1	2
33	том же	1	2
34	к чему	1	2
35	ясно что	1	2
36	на одном	1	2
37	к этому	1	2
38	в значительной	1	2
39	значительной степени	1	2
40	в которых	1	2
41	гораздо более	1	2
42	и том	1	2
43	чего не	1	1
44	вопросы стилистики	1	1
45	говорили в	1	1
46	от общего	1	1
47	чем больше	1	1
48	что слово	1	1
49	как же	1	1
50	социальных отношений	1	1
51	крайней мере	1	1
52	по существу	1	1
53	именно в	1	1
54	теснейшим образом	1	1
55	я не	1	1
56	другом месте	1	1
57	и положения	1	1
58	тем более	1	1
59	по крайней	1	1
60	более чем	1	1
61	в другом	1	1
62	другое дело	1	1
63	не будем	1	1
64	говоря о	1	1
65	даже не	1	1
66	их как	1	1
67	техники и	1	1
68	столь же	1	1
69	не одно	1	1
70	сводится в	1	1
