N	2gram	Medvedev_B	Vvedenie
1	и в	1	35
2	не только	1	26
3	таким образом	1	21
4	что в	1	13
5	и не	2	13
6	в данном	1	11
7	прежде всего	1	10
8	вопрос о	1	10
9	все же	1	9
10	можно было	2	8
11	с другой	1	8
12	было бы	1	7
13	об этом	1	6
14	все это	2	6
15	нельзя не	1	6
16	другой стороны	1	5
17	во всяком	1	5
18	а не	1	5
19	говорить о	1	5
20	всяком случае	1	5
21	и ее	1	4
22	в своей	1	4
23	по крайней	1	4
24	еще не	1	4
25	не признать	1	4
26	не вполне	1	4
27	крайней мере	1	4
28	одной из	1	4
29	в области	1	4
30	и на	1	3
31	между ними	1	3
32	в значительной	1	3
33	в ней	2	3
34	не следует	1	3
35	до конца	1	3
36	как будто	1	3
37	так и	1	2
38	этой книги	1	2
39	должна быть	1	2
40	о них	1	2
41	у нас	3	2
42	не было	1	2
43	будто бы	1	2
44	меньшей мере	1	2
45	не со	1	2
46	чтобы можно	1	2
47	если таким	1	2
48	и потому	1	2
49	тем более	1	2
50	по меньшей	1	2
51	всего в	1	1
52	короче говоря	1	1
53	ясного и	1	1
54	также что	1	1
55	чем на	1	1
56	неудивительно что	1	1
57	моментом в	1	1
58	кроме того	1	1
59	как некоторого	1	1
60	видеть в	2	1
61	и о	1	1
62	на самом	1	1
63	на которой	1	1
64	что все	1	1
65	вместе взятое	1	1
66	в эпоху	1	1
67	далеко не	1	1
68	ней только	1	1
69	совершенно не	1	1
70	и более	1	1
71	исторических условиях	1	1
72	признать его	1	1
73	невозможны без	1	1
74	бы только	1	1
75	за пределы	1	1
76	значительной степени	1	1
77	также не	1	1
78	стоит на	1	1
79	то как	1	1
80	для которой	1	1
81	ее задач	2	1
82	литературы как	1	1
83	установка на	1	1
84	остановиться на	1	1
85	не то	2	1
86	никак не	1	1
