N	3gram	Bakhtin_fo	Tvorches
1	в то же	10	25
2	то же время	13	24
3	и т д	3	17
4	в том что	4	11
5	преступление и наказание	1	10
6	в соответствии с	2	8
7	о том что	2	8
8	и в то	7	7
9	не может быть	4	6
10	но в то	2	6
11	и т п	18	5
12	в самом деле	1	5
13	в том же	3	5
14	по отношению к	3	5
15	до сих пор	4	4
16	с точки зрения	9	4
17	дело в том	2	4
18	с самого начала	3	4
19	это как бы	1	3
20	сами по себе	2	3
21	том что в	1	3
22	в отличие от	3	3
23	это значит что	2	3
24	во всяком случае	1	3
25	как и в	3	3
26	с другой стороны	1	3
27	и все же	1	3
28	это не значит	1	2
29	бы он ни	2	2
30	в данном случае	2	2
31	в пространстве а	1	2
32	для того чтобы	11	2
33	в том числе	7	2
34	важную роль в	1	2
35	то есть не	3	2
36	так и в	1	2
37	в тот же	1	2
38	в конце концов	1	2
39	том числе и	4	2
40	и в самом	1	2
41	к тому же	2	2
42	не могут быть	1	2
43	в высшей степени	1	2
44	так как он	2	2
45	чувства времени в	1	2
46	таким образом и	2	2
47	никогда не было	1	2
48	в связи с	12	2
49	в одном из	1	2
50	в свою очередь	1	2
51	вместе с тем	3	2
52	человека и его	8	2
53	же время он	1	2
54	в античной трагедии	1	2
55	можно сказать что	1	2
56	особое место в	1	2
57	и та же	2	2
58	на самом деле	1	2
59	в этом романе	2	2
60	так же как	2	2
61	не только в	6	2
62	как бы ни	1	2
63	но отнюдь не	1	2
64	мы уже говорили	6	2
65	на протяжении всего	2	2
66	на этой почве	1	1
67	следуют друг за	1	1
68	так сказать в	2	1
69	это имеет место	1	1
70	и как раз	6	1
71	к своей собственной	2	1
72	в этот момент	1	1
73	в романе в	1	1
74	что происходило в	1	1
75	в дальнейшем мы	1	1
76	персидские письма монтескье	1	1
77	не в этой	1	1
78	и как бы	2	1
79	не было в	1	1
80	что в мире	1	1
81	в противоречии с	1	1
82	же самое время	1	1
83	во всей ее	1	1
84	это лучше чем	1	1
85	о том как	2	1
86	человека в его	3	1
87	дело не только	1	1
88	и наконец в	1	1
89	героя и его	1	1
90	в ту же	1	1
91	время в его	1	1
92	и со всеми	1	1
93	то что не	1	1
94	мы говорим о	1	1
95	в первый раз	1	1
96	в частности с	2	1
97	и не имеют	1	1
98	прежде всего они	1	1
99	соответствии с этим	2	1
100	но для того	2	1
101	за свой счет	1	1
102	из них более	1	1
103	в европейской литературе	1	1
104	в частности в	1	1
105	друг на друга	4	1
106	мифов и легенд	1	1
107	протяжении всего романа	2	1
108	о золотом веке	1	1
109	настоящим и прошлым	1	1
110	с одной из	1	1
111	при первой встрече	1	1
112	такую большую роль	1	1
113	с самим собой	2	1
114	за пределами романа	2	1
115	начале xx века	1	1
116	в них свои	1	1
117	он ни был	2	1
118	бросается в глаза	1	1
119	в один ряд	1	1
120	могут быть названы	1	1
121	героя и героини	5	1
122	и прежде всего	4	1
123	в чем не	3	1
124	все же и	1	1
125	говорили о том	1	1
126	и в других	4	1
127	ведь в этом	1	1
128	и того же	6	1
129	однако не может	1	1
130	достоевского преступление и	1	1
131	потому что не	1	1
132	одну и ту	1	1
133	и выйти на	1	1
134	с большой четкостью	1	1
135	то же самое	1	1
136	имел в виду	1	1
137	к тому что	1	1
138	и братья карамазовы	1	1
139	в романе мы	1	1
140	не может не	1	1
141	в стороне от	1	1
142	в нем нет	2	1
143	в вечности все	1	1
144	не только на	1	1
145	в основном вне	1	1
146	человек был бы	1	1
147	или во всяком	1	1
148	там нет и	1	1
149	контакта с ним	1	1
150	прежде всего нужно	2	1
151	сих пор еще	1	1
152	и в том	1	1
153	он утверждает что	1	1
154	большую роль в	2	1
155	и в этом	2	1
156	франчески и паоло	1	1
157	неразрывно связана с	1	1
158	к вопросу о	2	1
159	и разнообразен но	1	1
160	жизни то есть	2	1
161	однако этот быт	1	1
162	на другой день	2	1
163	той или иной	3	1
164	в основе этой	1	1
165	разрезе одного момента	2	1
166	чем обычно предполагают	1	1
167	равно как и	4	1
168	очень важную роль	1	1
169	и должно быть	2	1
170	это вовсе не	1	1
171	полемически заострен против	1	1
172	прежде всего на	1	1
173	но и в	5	1
174	мы видим в	1	1
175	в естественном состоянии	1	1
176	и ту же	1	1
177	на второй план	1	1
178	как и для	2	1
179	но она не	1	1
180	и в дальнейшем	1	1
181	со всеми его	2	1
182	в мировой литературе	2	1
183	имеем в виду	3	1
184	но в нем	1	1
185	в другом месте	2	1
186	в действительной жизни	1	1
187	в русском переводе	1	1
188	вплоть до его	1	1
189	то что в	1	1
190	все более и	2	1
191	с одной стороны	3	1
192	романа то есть	2	1
193	например в романе	1	1
194	в разрезе одного	2	1
195	в конце романа	5	1
196	да и в	1	1
197	в них совершенно	1	1
198	уже говорили о	1	1
199	в то время	3	1
200	более и более	2	1
201	но все это	1	1
202	своих поступков и	1	1
203	со всех сторон	2	1
204	что ему нужно	1	1
205	но дело не	1	1
206	и в их	1	1
207	романа еще не	1	1
208	но и на	1	1
209	отметим лишь что	1	1
210	более глубокой и	1	1
211	жизни но в	1	1
212	самим героем и	1	1
213	уже говорили что	1	1
214	мы имеем в	2	1
215	мир в котором	1	1
216	пространства и времени	5	1
217	в этом случае	1	1
218	лишь там где	1	1
219	есть прежде всего	1	1
220	что в нем	1	1
221	же как и	2	1
222	один из самых	1	1
223	одного и того	6	1
224	друг за другом	2	1
225	одна и та	2	1
226	в романе не	2	1
227	по преимуществу в	1	1
228	место в романе	2	1
229	и в литературе	1	1
230	и до конца	2	1
231	и только для	1	1
232	личности и ее	1	1
233	и не только	2	1
234	кто бы он	1	1
235	ее к себе	1	1
236	в виду что	2	1
237	характер времени в	1	1
238	ни в чем	3	1
239	в этот день	1	1
240	только в этом	1	1
241	потому что они	1	1
