N	2gram	Medvedev_V	KulturaY
1	и т	25	143
2	т е	18	102
3	т п	9	93
4	и в	26	84
5	в том	15	74
6	потому что	1	68
7	не только	26	60
8	точки зрения	3	59
9	в этом	29	57
10	было бы	8	53
11	и не	20	52
12	может быть	23	47
13	что в	11	44
14	том что	8	44
15	того чтобы	3	44
16	т д	16	42
17	в самом	4	41
18	для того	3	41
19	у нас	3	38
20	хотя бы	20	37
21	самом деле	1	37
22	в области	2	34
23	таким образом	32	33
24	а не	7	33
25	если бы	3	32
26	можно было	2	32
27	не в	6	30
28	в его	15	30
29	прежде всего	13	30
30	все же	6	29
31	не менее	2	28
32	того что	3	28
33	все эти	8	28
34	уже не	1	26
35	в силу	14	26
36	то что	7	25
37	вовсе не	3	25
38	не может	17	25
39	вопрос о	1	24
40	с другой	11	24
41	еще не	2	24
42	то же	10	23
43	только в	8	23
44	так и	6	23
45	по себе	2	20
46	во всяком	2	20
47	и что	1	20
48	но и	10	20
49	тем что	1	19
50	о том	10	19
51	что он	4	19
52	зависимости от	5	19
53	всяком случае	2	19
54	но в	2	19
55	с тем	4	18
56	к тому	5	18
57	в качестве	12	18
58	связи с	5	18
59	между тем	6	18
60	вместе с	8	18
61	как бы	5	18
62	все это	13	18
63	в той	1	17
64	можно говорить	1	17
65	другой стороны	8	17
66	как это	12	17
67	слова и	1	17
68	как раз	4	17
69	это не	7	17
70	в виду	4	16
71	в зависимости	6	16
72	что и	3	16
73	что не	3	16
74	в русском	1	16
75	но не	2	16
76	именно в	3	15
77	в данном	1	15
78	как на	3	15
79	том чтобы	2	15
80	не было	7	15
81	и тем	1	15
82	один из	6	15
83	по отношению	7	15
84	ни к	1	15
85	целый ряд	1	15
86	того как	2	15
87	а в	3	15
88	лишь в	2	15
89	должно быть	2	15
90	в них	5	14
91	сказать что	5	14
92	хотя и	2	14
93	что такое	2	14
94	в связи	4	14
95	сих пор	2	14
96	в ней	2	14
97	до сих	2	14
98	как мы	1	14
99	мы имеем	3	14
100	также и	2	14
101	отношению к	7	14
102	что она	2	13
103	крайней мере	2	13
104	между прочим	2	13
105	в этой	4	13
106	не случайно	1	13
107	не могут	10	13
108	в которых	3	13
109	по крайней	2	13
110	для нас	1	13
111	это и	6	13
112	по существу	4	13
113	в пределах	5	13
114	и его	6	13
115	с этой	1	12
116	говорить о	2	12
117	в результате	5	12
118	а только	1	12
119	этот вопрос	3	12
120	могут быть	8	12
121	тогда когда	2	12
122	как в	1	12
123	для этого	1	12
124	должен быть	4	11
125	в своем	8	11
126	на себе	1	11
127	он не	2	11
128	в нем	7	11
129	должна быть	2	11
130	и то	1	11
131	еще и	2	11
132	совершенно не	1	11
133	из этих	7	11
134	и если	1	11
135	этом отношении	14	11
136	уже в	1	11
137	слова в	1	11
138	в их	5	11
139	в таких	1	11
140	в какой	1	11
141	или иной	2	11
142	в особенности	2	10
143	как и	7	10
144	речь идет	1	10
145	так же	3	10
146	конечно не	1	10
147	к этому	9	10
148	несмотря на	1	10
149	бы в	3	10
150	ту же	2	10
151	этом смысле	1	10
152	в общем	2	10
153	в то	6	10
154	вряд ли	1	10
155	после того	2	10
156	со стороны	1	10
157	в каком	1	10
158	с этим	3	10
159	они не	2	10
160	бы и	6	10
161	тем более	1	10
162	того или	2	10
163	тех же	1	10
164	в нашей	4	10
165	от того	2	10
166	в своей	4	9
167	можно сказать	4	9
168	что все	4	9
169	в которой	2	9
170	но для	2	9
171	очевидно что	7	9
172	здесь не	1	9
173	мы говорим	1	9
174	и есть	5	9
175	или иного	1	9
176	ни в	1	9
177	не имеет	1	9
178	что мы	2	9
179	подобного рода	1	9
180	но это	1	9
181	и для	2	9
182	этого рода	2	9
183	а также	1	9
184	ли не	2	9
185	на то	2	9
186	в целом	5	9
187	в этих	1	8
188	но все	1	8
189	может служить	1	8
190	что они	3	8
191	с одной	2	8
192	тому же	1	8
193	в таком	1	8
194	тому что	7	8
195	в чем	2	8
196	в своих	2	8
197	отнюдь не	4	8
198	мы видели	3	8
199	в статье	4	8
200	а потому	1	8
201	заключается в	2	8
202	да и	2	8
203	только тогда	1	8
204	с его	4	8
205	этом случае	1	8
206	и как	3	8
207	об этом	9	8
208	не говоря	1	8
209	в частности	12	8
210	далеко не	3	8
211	же в	7	8
212	что на	1	8
213	же и	3	7
214	следует что	2	7
215	например в	3	7
216	а именно	1	7
217	казалось бы	1	7
218	в котором	3	7
219	в одном	5	7
220	свою очередь	1	7
221	внимание на	2	7
222	так сказать	2	7
223	а с	1	7
224	не значит	1	7
225	чуть ли	2	7
226	одной стороны	2	7
227	в процессе	17	7
228	с ним	1	7
229	никак не	3	7
230	сводится к	3	7
231	но вот	2	7
232	как о	3	7
233	с ними	4	7
234	в слове	3	7
235	в свою	1	7
236	в истории	1	7
237	как например	2	7
238	на этот	1	7
239	в самой	1	7
240	в поэзии	1	7
241	есть в	1	7
242	не все	1	7
243	и потому	2	7
244	том случае	1	7
245	она не	3	7
246	здесь можно	1	7
247	когда он	4	7
248	как он	3	7
249	не следует	8	7
250	были бы	1	6
251	говоря уже	1	6
252	только что	4	6
253	даже в	5	6
254	в соответствии	1	6
255	только для	2	6
256	отличается от	2	6
257	на этой	1	6
258	не всегда	2	6
259	уже о	1	6
260	можно ли	2	6
261	вообще и	2	6
262	по поводу	4	6
263	на язык	2	6
264	мы знаем	3	6
265	слов в	1	6
266	в ее	4	6
267	не столько	2	6
268	указывает что	1	6
269	той или	1	6
270	на этом	2	6
271	так называемые	3	6
272	должны быть	2	6
273	за пределы	1	6
274	то или	1	6
275	или иное	1	6
276	главным образом	7	6
277	пушкина в	1	6
278	е в	2	6
279	романа в	1	6
280	если не	1	6
281	этой точки	2	6
282	но только	1	6
283	перед нами	5	6
284	а если	1	6
285	роль в	4	6
286	на основе	5	6
287	пишет он	1	6
288	что если	1	6
289	же время	5	6
290	соответствии с	1	6
291	в сфере	2	6
292	в себе	6	6
293	что оно	3	6
294	данном случае	1	6
295	мы не	1	6
296	или в	3	6
297	этого не	1	6
298	то это	2	6
299	как будто	1	6
300	к примеру	1	6
301	что эти	1	6
302	может иметь	1	6
303	дело не	1	6
304	п в	3	6
305	не с	2	6
306	говоря о	1	6
307	только то	2	6
308	чтобы не	2	6
309	это только	4	6
310	приводит к	6	6
311	которые в	2	6
312	на себя	1	6
313	в каком-то	1	6
314	и к	3	5
315	очень много	1	5
316	еще более	1	5
317	формы в	1	5
