N	3gram	Medvedev_F	Hudozhes
1	по отношению к	4	10
2	не сводится к	2	9
3	в том что	3	8
4	в то же	13	7
5	в отличие от	2	7
6	то же время	13	7
7	с другой стороны	4	6
8	более или менее	7	6
9	для того чтобы	3	5
10	состоит в том	1	5
11	так или иначе	1	4
12	того или иного	6	4
13	не может быть	11	4
14	так и не	1	4
15	мы имеем в	1	3
16	с точки зрения	17	3
17	в этом смысле	3	3
18	имеем в виду	1	3
19	в том числе	1	3
20	тем не менее	2	3
21	всех без исключения	1	3
22	или иного жанра	1	3
23	в связи с	9	3
24	с одной стороны	5	3
25	тот или иной	1	3
26	в свою очередь	6	2
27	бы то ни	4	2
28	но он не	1	2
29	и прежде всего	2	2
30	до известной степени	3	2
31	в общественном сознании	1	2
32	этой точки зрения	1	2
33	в том и	1	2
34	с этой точки	1	2
35	в самом деле	5	2
36	во внешнем мире	1	2
37	в таком случае	1	2
38	как бы не	1	2
39	в противном случае	2	2
40	в отношении к	1	2
41	по своей природе	1	2
42	том числе и	1	2
43	тех или иных	1	2
44	и в то	4	2
45	во всей его	1	2
46	не могло быть	1	2
47	что в основе	1	2
48	то ни было	1	2
49	сама по себе	2	2
50	к тому что	3	2
51	в значительной степени	3	2
52	может быть и	4	2
53	что он не	1	1
54	может и не	1	1
55	в художественном произведении	3	1
56	произведение искусства есть	1	1
57	мере в какой	1	1
58	об отсутствии в	1	1
59	и как бы	1	1
60	отнюдь не в	1	1
61	все то что	1	1
62	в более или	1	1
63	соединении с художественной	2	1
64	вещи но и	1	1
65	по себе а	2	1
66	химическом соединении с	2	1
67	в той мере	1	1
68	та или иная	1	1
69	этом смысле можно	1	1
70	в известной степени	1	1
71	в химическом соединении	2	1
72	на фоне этой	1	1
73	том отношении что	1	1
74	по крайней мере	1	1
75	заключается в том	1	1
76	конститутивным моментом самого	1	1
77	в самом начале	1	1
78	становления и развития	1	1
79	не была бы	1	1
80	то или иное	1	1
81	как художественное целое	1	1
82	в отдельности и	1	1
83	мы говорим о	2	1
84	одной стороны и	4	1
85	во внутренней речи	1	1
86	произведения искусства как	1	1
87	как и в	1	1
88	место в системе	1	1
89	как один из	2	1
90	литературного произведения в	1	1
91	на нее как	1	1
92	связи с этим	4	1
93	друг от друга	2	1
94	в настоящее время	11	1
95	мира и его	1	1
96	при этом не	2	1
97	друг другу и	1	1
98	ни были они	1	1
99	со стилями других	1	1
100	тем самым по	1	1
101	произведения в ее	1	1
102	существует не для	1	1
103	и соответствующих форм	1	1
104	в нашем примере	1	1
105	именно в этом	1	1
106	в том случае	2	1
107	в особенности в	1	1
108	произведения искусства в	1	1
109	не что иное	1	1
110	и в частности	2	1
111	в нем определенные	1	1
112	иметь в виду	1	1
113	но в то	3	1
114	в лучшем случае	3	1
115	о литературе как	1	1
116	в зависимости от	4	1
117	так же как	1	1
118	с художественной идеологемой	1	1
119	и тем самым	2	1
120	в том или	1	1
121	глубже чем это	1	1
122	не было и	1	1
123	не перестанет быть	1	1
124	в этом случае	1	1
125	можно говорить о	1	1
126	их отношении к	1	1
127	той мере в	1	1
128	каждой из них	1	1
129	в каком мы	1	1
130	она могла бы	1	1
131	входит в состав	1	1
132	не только на	1	1
133	и свою собственную	1	1
134	есть не что	1	1
135	и без остатка	1	1
136	и в пределах	1	1
137	смысле можно говорить	1	1
138	не могут быть	4	1
139	в новое время	1	1
140	языка не может	1	1
141	не входит в	1	1
142	том случае если	1	1
143	том или ином	1	1
144	что иное как	1	1
145	к вопросу о	1	1
146	в том отношении	1	1
147	только то что	1	1
148	в их отношении	1	1
149	в искусстве не	1	1
150	отдельности и в	1	1
151	из того что	1	1
152	то что они	1	1
153	и глубже чем	2	1
154	является одним из	1	1
155	каком мы говорим	1	1
156	искусства в его	1	1
157	все без исключения	1	1
158	прежде всего в	5	1
159	в виду что	1	1
160	и в том	1	1
161	в истории литературы	4	1
162	события в этом	1	1
163	и в этой	2	1
164	при таком понимании	2	1
