N	4gram	Potebnia_M	EvropaiC
1	в том случае если	1	4
2	заключается в том что	1	3
3	бы то ни было	1	3
4	одного и того же	2	3
5	лишь в том что	1	3
6	что же касается до	1	2
7	но вместе с тем	1	2
8	в то же время	8	2
9	состоит в том что	1	1
10	том случае если бы	1	1
11	именно в том что	1	1
12	в то время как	3	1
13	до сих пор еще	1	1
14	а между тем в	1	1
15	выше мы видели что	1	1
16	не говоря уже о	1	1
17	в том что он	2	1
18	не в том что	4	1
19	одно и то же	7	1
20	в настоящее время мы	1	1
21	в том что как	2	1
22	на самом деле есть	1	1
23	вместе с тем и	3	1
24	то это потому что	1	1
25	дело в том что	1	1
26	не может быть сомнения	1	1
27	и не может быть	1	1
28	только в том случае	1	1
29	а в том что	1	1
30	вытекают из самой сущности	1	1
31	в этом случае мы	1	1
32	а для того чтобы	1	1
33	в том виде в	1	1
34	не заключающие в себе	1	1
35	в том что оно	2	1
36	в том что только	1	1
37	нет и не может	1	1
38	одной и той же	4	1
39	как мы видели выше	1	1
40	тем не менее в	1	1
41	а может быть и	1	1
