N	2gram	Trubetskoy	SlovoVZh
1	не может	22	16
2	может быть	9	14
3	точки зрения	11	14
4	как бы	4	13
5	таким образом	11	12
6	и в	14	12
7	отношению к	1	11
8	по отношению	2	11
9	и не	19	10
10	так как	4	9
11	если бы	6	9
12	прежде всего	8	8
13	творца и	1	7
14	для нас	2	7
15	в ней	2	6
16	в том	17	6
17	только в	5	6
18	в нем	5	6
19	при этом	5	6
20	можно сказать	1	5
21	хотя бы	5	5
22	должна быть	2	5
23	то же	11	5
24	а не	2	5
25	то что	13	5
26	в жизни	1	5
27	как и	4	5
28	отнюдь не	7	5
29	том что	9	5
30	но в	2	5
31	никогда не	5	5
32	в самом	3	4
33	и к	6	4
34	и на	5	4
35	не только	9	4
36	ни было	1	4
37	и является	2	4
38	на самом	6	4
39	от того	4	4
40	его в	4	4
41	с другой	1	4
42	не в	4	4
43	дело в	1	4
44	что не	1	4
45	так и	1	4
46	уже не	2	4
47	жизни и	4	4
48	в этом	17	4
49	все же	4	4
50	к нему	2	4
51	бы то	4	3
52	и с	7	3
53	ее и	1	3
54	до сих	5	3
55	это как	1	3
56	и более	2	3
57	в котором	2	3
58	и по	3	3
59	мы не	1	3
60	то ни	4	3
61	или не	1	3
62	между тем	5	3
63	для него	6	3
64	отношении к	2	3
65	с ним	2	3
66	того что	3	3
67	быть и	2	3
68	когда он	1	3
69	тем не	1	3
70	в некоторых	2	3
71	имеет в	1	3
72	все это	6	3
73	он должен	5	3
74	ни в	2	3
75	конечно не	5	3
76	по себе	2	3
77	так же	2	3
78	самом деле	7	3
79	только на	2	3
80	но для	2	3
81	в себе	9	3
82	ясно что	2	3
83	все эти	2	3
84	о том	7	3
85	в своей	5	3
86	не менее	1	3
87	из этого	3	3
88	и проч	1	3
89	в такой	1	3
90	да и	3	3
91	но и	10	3
92	и для	6	3
93	точка зрения	1	3
94	и наконец	2	3
95	сих пор	5	3
96	не к	2	3
97	еще не	3	3
98	что в	4	2
99	все они	3	2
100	но это	2	2
101	не так	2	2
102	и потому	3	2
103	ни на	1	2
104	и то	4	2
105	выражение в	1	2
106	мы можем	2	2
107	влияние на	1	2
108	в данном	7	2
109	в то	10	2
110	данном случае	3	2
111	нас и	1	2
112	зависит от	2	2
113	корне противоречит	1	2
114	в его	4	2
115	с этой	1	2
116	она не	2	2
117	это не	1	2
118	с точки	9	2
119	была бы	1	2
120	на него	1	2
121	тогда когда	4	2
122	в себя	1	2
123	как это	1	2
124	те же	1	2
125	но все	1	2
126	от этой	2	2
127	мы в	1	2
128	если же	2	2
129	и что	2	2
130	что и	3	2
131	же самое	1	2
132	и те	2	2
133	как не	1	2
134	в этих	2	2
135	тому же	1	2
136	связь с	1	2
137	как же	1	2
138	ко всем	3	2
139	на это	2	2
140	общей для	1	2
141	к ним	1	2
142	как на	8	2
143	слова но	1	2
144	и все	1	2
145	но не	4	2
146	не есть	3	2
147	могут быть	1	2
148	с другими	1	2
149	до конца	1	2
150	стороны и	1	2
151	в своем	6	2
152	в корне	4	2
153	вместе с	4	2
154	место в	2	2
155	в зависимости	1	2
156	к его	1	2
157	настоящее время	2	2
158	такой же	1	2
159	в психике	1	2
160	до известной	1	2
161	себя и	5	2
162	на все	1	2
