N	2gram	Tiupa_Hudo	FransuaR
1	и в	23	367
2	то есть	26	209
3	в этом	12	112
4	и т.п	7	108
5	и не	16	101
6	таким образом	3	100
7	и его	12	99
8	в его	11	98
9	прежде всего	5	92
10	не только	20	87
11	но и	14	84
12	как бы	11	82
13	все эти	2	79
14	вовсе не	2	77
15	в романе	3	77
16	как и	3	76
17	в нем	6	75
18	но в	10	75
19	и на	3	72
20	и др	2	72
21	в том	20	71
22	как мы	1	71
23	то же	12	66
24	в них	2	65
25	в этой	2	65
26	так и	12	65
27	в сущности	1	64
28	в то	8	63
29	во всех	3	62
30	все это	2	62
31	же время	7	55
32	что в	7	52
33	в своем	4	51
34	только в	7	48
35	так как	1	46
36	том что	9	45
37	в году	2	44
38	то что	5	41
39	у него	2	40
40	жизни и	1	40
41	в самом	7	38
42	точки зрения	11	37
43	с его	6	36
44	о том	2	35
45	может быть	19	35
46	мы видим	1	35
47	сказать что	4	34
48	и даже	1	34
49	в себе	13	34
50	до нас	1	34
51	рядом с	1	32
52	в конце	1	32
53	он не	4	32
54	для него	5	32
55	до конца	1	31
56	в литературе	2	31
57	связаны с	1	31
58	в своей	7	31
59	нового времени	2	31
60	так же	2	30
61	но он	3	30
62	один из	2	30
63	потому что	3	30
64	той же	1	30
65	и потому	2	30
66	никогда не	2	30
67	в одном	3	29
68	еще не	4	29
69	связи с	3	29
70	в этих	4	29
71	что он	5	29
72	не может	9	29
73	в особенности	1	29
74	при этом	19	29
75	его в	4	29
76	не в	9	29
77	и к	3	28
78	из них	1	28
79	также и	1	28
80	в той	3	28
81	в основе	7	28
82	здесь и	1	28
83	и другие	2	27
84	том числе	3	27
85	все же	1	27
86	на части	1	27
87	по своему	3	27
88	роль в	2	27
89	в эпизоде	1	27
90	в условиях	1	26
91	все они	1	26
92	в области	8	25
93	мира и	2	25
94	он и	2	24
95	но не	13	24
96	например в	4	24
97	в ее	6	24
98	и от	1	24
99	как в	2	24
100	того чтобы	5	24
101	времени и	2	24
102	в частности	18	24
103	отношение к	7	24
104	своего рода	9	23
105	и здесь	1	23
106	с ним	2	23
107	и для	3	23
108	в их	5	23
109	к нему	3	23
110	это не	4	23
111	еще и	2	23
112	даже в	3	22
113	не было	1	22
114	а в	13	22
115	тем что	1	22
116	что и	2	22
117	вместе с	1	22
118	и о	4	22
119	в своих	1	21
120	именно в	2	21
121	в отношении	4	21
122	и как	4	21
123	есть в	3	21
124	в качестве	31	21
125	одним из	2	21
126	в себя	4	21
127	что это	1	21
128	ни в	5	21
129	в виду	5	20
130	в связи	3	20
131	и это	2	20
132	в значительной	2	20
133	одной из	2	20
134	образов и	1	20
135	с точки	3	20
136	как раз	3	20
137	а также	6	20
138	самом деле	2	20
139	их в	3	19
140	того же	3	19
141	за пределы	2	19
142	было бы	1	19
143	с ее	6	19
144	с другой	9	19
145	хотя и	4	19
146	в форме	4	19
147	далеко не	4	19
148	мы находим	1	18
149	на мир	2	18
150	со всеми	1	18
151	это и	2	18
152	здесь не	2	18
153	одна из	2	18
154	превращается в	2	18
155	весь мир	1	18
156	на этом	2	18
157	перед нами	1	18
158	для того	5	17
159	в результате	1	17
160	на его	1	17
161	числе и	2	17
162	того что	5	17
163	века и	1	17
164	а не	13	17
165	в другом	4	16
166	с одной	3	16
167	между ними	5	16
168	между тем	4	16
169	и одновременно	5	16
170	тот же	1	16
171	они не	1	16
172	дело в	1	16
173	не подлежит	1	16
174	а затем	2	15
175	характерно что	1	15
176	в которой	3	15
177	никто не	3	15
178	из этих	3	15
179	с их	2	15
180	от всех	2	15
181	одно из	2	15
182	в нашем	2	15
183	xix века	2	15
184	в истории	1	15
185	в самой	2	15
186	и прежде	3	15
187	в котором	1	14
188	в чем	2	14
189	и по	2	14
190	на них	1	14
191	здесь только	1	14
192	все что	1	14
193	в данном	4	14
194	несмотря на	2	14
195	системе образов	1	14
196	в более	1	14
197	и сам	3	13
198	о мире	1	13
199	с этим	1	13
200	что все	1	13
201	на языке	3	13
202	в одной	1	13
203	мира в	2	13
204	о чем	3	13
205	в жизни	3	13
206	одновременно и	1	13
207	одной стороны	3	13
208	подчеркнуть что	1	13
209	не знает	4	13
210	отличие от	7	13
211	в мире	24	13
212	бы в	1	13
213	и есть	1	13
214	только на	1	13
215	не на	5	13
216	или в	2	13
217	так в	4	13
218	это было	1	13
219	в известной	1	13
220	более того	1	13
221	другой стороны	6	12
222	во всей	3	12
223	те же	1	12
224	и ее	3	12
225	мы встречаем	1	12
226	жизни в	2	12
227	начиная с	2	12
228	у нас	1	12
229	раз в	1	12
230	место в	5	12
231	только для	1	12
232	можно сказать	6	12
233	по своей	7	12
234	не могут	1	12
235	все то	1	12
236	лишь в	7	12
237	право на	2	12
238	об этом	2	12
239	в пределах	3	12
240	уже не	6	11
241	в пределе	1	11
242	что они	1	11
243	той или	5	11
244	и что	4	11
245	наконец в	1	11
246	в отличие	7	11
247	из этого	2	11
248	в свое	1	11
249	на фоне	1	11
250	и т.д	4	11
251	культуры в	3	11
252	момент в	1	11
253	время в	1	11
254	в системе	3	11
255	и особенно	2	11
256	с ними	2	11
257	и более	2	11
258	слова и	2	11
259	он говорит	1	11
260	в узком	3	11
261	существенное значение	1	10
262	по отношению	10	10
263	на котором	2	10
264	на земле	1	10
265	что для	1	10
266	его как	1	10
267	да и	1	10
268	в таких	1	10
269	человека и	2	10
270	или иной	9	10
271	для всех	1	10
272	к тому	4	10
273	значительной степени	2	10
274	для понимания	2	10
275	не просто	2	10
276	по преимуществу	3	10
277	к которому	4	10
278	здесь как	1	10
279	ту же	1	10
280	образом и	2	10
281	со смертью	1	10
282	в целом	3	10
283	представлений о	1	9
284	как это	7	9
285	но на	2	9
286	о котором	1	9
287	до известной	2	9
288	в мировой	1	9
289	как к	5	9
290	ведь это	1	9
291	и со	1	9
292	же в	1	9
293	жизнью и	1	9
294	говорит о	1	9
295	отношения к	4	9
296	к жизни	2	9
297	но как	2	9
298	это была	1	9
299	не имеет	1	9
300	в следующей	1	9
301	свое время	1	9
302	известной степени	3	9
303	между людьми	1	9
304	том же	1	9
305	на время	2	9
306	и то	4	9
307	в формах	2	9
308	для нас	1	9
309	отношению к	10	9
310	что не	1	9
311	и мира	1	8
312	с этой	3	8
313	более или	6	8
314	не менее	5	8
315	на первый	1	8
316	и те	1	8
317	или менее	6	8
318	всего в	1	8
319	xviii века	1	8
320	от этого	1	8
321	др в	1	8
322	речи и	4	8
323	в него	1	8
324	то время	1	8
325	языка и	1	8
326	в совершенно	1	8
327	значение в	1	8
328	и глубже	1	8
329	человека с	3	8
330	включает в	2	8
331	для этого	1	8
332	от него	1	8
333	по поводу	1	8
334	после того	1	8
335	свободу и	1	8
336	тому же	1	8
337	так что	1	8
338	здесь мы	1	8
339	в это	1	8
340	если бы	3	8
341	но с	1	8
342	и без	1	8
343	смерти в	1	8
344	самой жизни	1	8
345	на всех	2	8
346	дело не	2	8
347	того времени	1	8
348	нуждается в	1	8
349	же и	1	7
350	не как	2	7
351	новое время	1	7
352	искусства и	3	7
353	времени в	2	7
354	себе и	1	7
355	к ним	1	7
356	к этим	1	7
357	в развитии	1	7
358	между всеми	1	7
359	подобно тому	3	7
360	в последней	2	7
361	всего романа	1	7
362	между вещами	1	7
363	но она	2	7
364	жить и	2	7
365	в различных	1	7
366	что по	1	7
367	настоящее время	1	7
368	и оценки	1	7
369	только во	1	7
370	себя в	8	7
371	в состоянии	1	7
372	всех его	1	7
373	в таком	3	7
374	в новое	1	7
375	а как	1	7
376	из которых	2	7
377	смертью в	1	7
378	в настоящее	1	7
379	а на	5	7
380	первой части	2	7
381	должен быть	2	7
382	тому как	3	7
383	в свою	3	7
384	по этому	1	7
385	в центре	1	6
386	во времени	4	6
387	не столько	7	6
388	жизнь в	1	6
389	казалось бы	1	6
390	не могли	2	6
391	в противоположность	3	6
392	имеем в	3	6
393	вещами и	2	6
394	себе в	1	6
395	свою очередь	2	6
396	что она	2	6
397	не остается	1	6
398	папы и	1	6
399	значение это	1	6
400	всего эпизода	1	6
401	к его	3	6
402	основе своей	2	6
403	в обычной	1	6
404	на их	1	6
405	еще один	2	6
406	тем же	1	6
407	как у	1	6
408	и пр	1	6
409	или даже	3	6
410	при виде	1	6
411	людей в	1	6
412	которые в	1	6
413	происходит в	1	6
414	как будто	1	6
415	иной форме	1	6
416	тех кто	1	6
417	от всего	1	6
418	а именно	3	6
419	и слово	1	6
420	существенный момент	1	6
421	и такие	1	6
422	говорить о	4	6
423	до того	1	6
424	жизни как	4	6
425	как я	1	6
426	такого рода	12	6
427	не была	1	6
428	между прочим	1	6
429	ни для	2	6
430	картины мира	3	6
431	не дает	1	6
432	могут быть	5	6
433	можно только	1	6
434	за это	1	6
435	тех же	1	6
436	этого слова	2	6
437	друг друга	1	6
438	принадлежит к	3	6
439	свидетельствует о	1	6
440	от мира	1	6
441	остановимся на	1	6
442	xix веке	1	6
443	ее в	2	6
444	в искусстве	9	6
445	входит в	4	6
446	в xix	1	6
447	к самому	1	5
448	сливается с	1	5
449	раз и	1	5
450	в строгом	1	5
451	проявляется в	1	5
452	с другими	5	5
453	вокруг себя	1	5
454	не могла	1	5
455	перед лицом	3	5
456	в историческом	1	5
457	одного и	3	5
458	и дает	1	5
459	в другой	1	5
460	значения и	2	5
461	бы не	2	5
462	ему и	1	5
463	на основе	2	5
464	из его	1	5
465	каждый из	1	5
466	но мы	1	5
467	и ценностями	1	5
468	не во	1	5
469	мы имеем	6	5
470	слово в	1	5
471	тем более	2	5
472	ему не	1	5
473	имен и	1	5
474	в акте	3	5
475	есть не	1	5
476	тем самым	5	5
477	же самое	1	5
478	на то	1	5
479	настоящего времени	1	5
480	дело здесь	1	5
481	и конец	2	5
482	на границах	1	5
483	можно говорить	1	5
484	его за	1	5
485	в первом	1	5
486	но самое	1	5
487	в собственном	1	5
488	шире и	1	5
489	имеет в	1	5
490	во многих	1	5
491	говорит что	2	5
492	не вполне	2	5
493	с этими	1	5
494	входят в	1	5
495	то в	2	5
496	от его	1	5
497	на язык	1	5
498	должно быть	1	5
499	в произведении	3	5
500	ни было	2	5
501	всех и	3	5
502	между этими	1	5
503	же как	1	5
504	и вещи	1	5
505	последней главе	1	5
