N	3gram	Tiupa_Lite	EvropaiE
1	с точки зрения	4	16
2	в то же	12	15
3	то же время	12	14
4	в отношении к	1	12
5	и в то	1	8
6	с одной стороны	8	8
7	в том что	15	6
8	одной стороны и	1	6
9	этой точки зрения	3	5
10	для того чтобы	1	5
11	с этой точки	3	5
12	той или иной	1	4
13	не только в	4	4
14	то ни было	1	4
15	бы то ни	1	4
16	и в этом	1	4
17	можно было бы	2	3
18	ту или иную	2	3
19	во всяком случае	2	3
20	и прежде всего	4	3
21	в этом отношении	5	3
22	в одном из	1	2
23	и в частности	1	2
24	как мы видели	1	2
25	например с точки	1	2
26	но в то	1	2
27	не может быть	5	2
28	на то что	1	2
29	в большинстве случаев	1	2
30	в данном случае	6	2
31	прежде всего в	4	2
32	к тому чтобы	1	2
33	только в том	2	2
34	во второй половине	1	2
35	в свою очередь	2	2
36	с другой стороны	5	2
37	между прочим и	1	2
38	не более чем	1	2
39	из того что	2	2
40	в частности в	1	2
41	не говоря уже	3	2
42	во многих отношениях	1	1
43	и всякая иная	1	1
44	оно определяется в	1	1
45	в одной из	1	1
46	культуры и в	1	1
47	и не только	1	1
48	наш путь стрелой	1	1
49	всякая иная культурная	1	1
50	то есть в	1	1
51	чуть ли не	2	1
52	дело в том	2	1
53	же время не	2	1
54	это должно быть	1	1
55	путь стрелой татарской	1	1
56	речь идет о	3	1
57	в лучшем случае	1	1
58	не сводится к	3	1
59	нам ясен долгий	1	1
60	ясен долгий путь	1	1
61	мы не можем	1	1
62	к тому что	1	1
63	в полной мере	1	1
64	тех или иных	2	1
65	и тем более	1	1
66	и тем самым	2	1
67	во многих случаях	1	1
68	в соответствии с	2	1
69	во всех этих	1	1
70	в отличие от	6	1
71	в себе не	1	1
72	древней воли пронзил	1	1
73	и того же	1	1
74	говоря уже об	1	1
75	по большей части	1	1
76	не могут быть	1	1
77	пронзил нам грудь	1	1
78	не есть ли	1	1
79	долгий путь наш	1	1
80	в связи с	4	1
81	в том же	3	1
82	европы но и	1	1
83	только в качестве	1	1
84	татарской древней воли	1	1
85	и не было	1	1
86	в последнее время	1	1
87	в том числе	2	1
88	в духовной жизни	1	1
89	каждого из них	1	1
90	путь наш путь	1	1
91	поскольку речь идет	2	1
92	говоря уже о	2	1
93	же время многие	1	1
94	как одной из	1	1
95	воли пронзил нам	1	1
96	в значительной степени	1	1
97	даже в столь	1	1
98	тем что для	1	1
99	к тому же	1	1
100	стрелой татарской древней	1	1
101	одного и того	1	1
102	а также и	1	1
