N	3gram	Propp_Russ	formyVre
1	и т п	1	32
2	как мы уже	2	15
3	в связи с	4	15
4	с точки зрения	3	15
5	друг с другом	1	13
6	для того чтобы	6	12
7	но и в	1	12
8	не только в	1	11
9	и того же	1	9
10	одного и того	1	9
11	в большинстве случаев	2	8
12	и т д	12	7
13	не может быть	1	7
14	в отличие от	4	7
15	в этом отношении	1	7
16	в том же	1	6
17	и в этом	2	6
18	во всех этих	1	6
19	с одной стороны	1	6
20	в том что	27	5
21	в то время	3	5
22	как и в	1	5
23	и не только	1	5
24	по отношению к	1	4
25	в этом ряду	1	4
26	и в других	7	4
27	но все же	2	4
28	в этом случае	9	4
29	во всяком случае	1	4
30	то время как	1	4
31	может быть и	3	4
32	и как бы	1	3
33	наряду с этим	1	3
34	все же в	1	3
35	что в этом	2	3
36	как мы увидим	5	3
37	вместе с тем	10	3
38	в другом месте	1	3
39	а следовательно и	1	3
40	же как и	3	3
41	о том что	6	3
42	смерть и смех	1	3
43	так же как	5	3
44	друг к другу	2	3
45	с этим в	1	2
46	можно сказать что	1	2
47	как мы видим	1	2
48	в один из	1	2
49	в данном случае	7	2
50	так как он	1	2
51	еду и питье	1	2
52	в свою очередь	2	2
53	на другой день	2	2
54	не только для	1	2
55	и та же	1	2
56	у него нет	1	2
57	и в дальнейшем	1	2
58	бросается в глаза	3	2
59	всякой связи с	1	2
60	по существу не	1	2
61	тем более что	1	2
62	в виду что	2	2
63	и все другие	1	2
64	к тому что	4	2
65	там же в	3	2
66	том что они	1	2
67	с тем что	1	2
68	одна и та	1	2
69	что и в	1	2
70	потому что они	1	2
71	в целом ряде	1	1
72	это имеет место	3	1
73	в двух направлениях	1	1
74	и затем в	1	1
75	но она не	1	1
76	в одном и	1	1
77	мы наблюдаем в	1	1
78	а как раз	1	1
79	можно говорить об	1	1
80	одном ряду с	1	1
81	были связаны с	1	1
82	и по другим	1	1
83	но вместе с	3	1
84	в применении к	1	1
85	данном случае мы	1	1
86	том что в	7	1
87	но и на	2	1
88	в обрядах и	1	1
89	в народном сознании	1	1
90	в совершенно ином	1	1
91	состояло в том	2	1
92	смерти но и	1	1
93	тем не менее	3	1
94	их не знают	1	1
95	более или менее	1	1
96	более высокой ступени	1	1
97	и пр и	1	1
98	это не значит	2	1
99	прямо и непосредственно	1	1
100	том же месте	1	1
101	не имеет существенного	2	1
102	приходит к выводу	1	1
103	но в данном	1	1
104	в особенности же	1	1
105	как можно больше	2	1
106	видел и наблюдал	1	1
107	один из самых	1	1
108	с тем и	3	1
109	по аналогии с	1	1
110	еде и питью	1	1
111	можно говорить о	1	1
112	точки зрения в	1	1
113	и у других	1	1
114	не только на	3	1
115	мы уже знаем	2	1
116	связанные с этим	1	1
117	значит что все	1	1
118	но и как	1	1
119	праздники и обряды	1	1
120	не может не	1	1
121	значении этого слова	1	1
122	то и дело	2	1
123	одном и том	1	1
124	их силу и	1	1
125	приведем несколько примеров	1	1
126	и в том	2	1
127	так как в	2	1
128	не без основания	1	1
129	со смехом и	1	1
130	дело не только	1	1
131	что во время	1	1
132	и наконец в	1	1
133	и его жизнь	1	1
134	в одном из	1	1
135	и у нас	2	1
136	и том же	1	1
137	имеет существенного значения	2	1
138	что в основе	1	1
139	еще и в	1	1
140	а вместе с	1	1
141	для нас не	2	1
142	так как по	1	1
143	как мы знаем	1	1
144	каждый из этих	2	1
145	первой половине xix	1	1
146	то же значение	1	1
147	от земли и	1	1
148	здесь еще не	1	1
149	могут быть использованы	2	1
150	что и сама	1	1
151	тех местах где	2	1
152	в это время	3	1
153	не до конца	1	1
154	жизни здесь мы	1	1
155	в воду и	2	1
156	то что в	1	1
157	к выводу что	3	1
158	в этом и	1	1
159	но и другие	1	1
160	в первой половине	1	1
161	это не имеет	1	1
162	оно было освящено	1	1
163	мы не будем	4	1
164	к вопросу об	1	1
165	хотя и не	1	1
166	кроме того в	3	1
167	на самом деле	1	1
168	и связанных с	1	1
169	и в своем	1	1
170	не будем останавливаться	2	1
171	подобно тому как	3	1
172	объясняется тем что	1	1
173	второй половине xix	1	1
174	этом случае он	1	1
175	что здесь на	1	1
176	как это делалось	2	1
177	так что в	1	1
178	как мы видели	1	1
179	к еде и	1	1
180	смерти и воскресения	1	1
181	тех случаях когда	2	1
182	говорит о том	1	1
183	в таком виде	2	1
184	и в некоторых	2	1
185	на первый взгляд	1	1
186	по этому вопросу	1	1
187	а так как	1	1
188	в тех случаях	2	1
189	на этом же	1	1
190	один из них	3	1
191	здесь изображается как	1	1
192	вне связи с	1	1
193	во всем этом	1	1
194	то увидим что	1	1
195	в себе и	1	1
196	ее к себе	1	1
197	сюда же относится	1	1
198	и связанные с	2	1
199	в этот день	17	1
200	в одном ряду	1	1
