N	2gram	Tiupa_Vved	Problema
1	и в	23	182
2	то есть	13	165
3	и не	24	152
4	вовсе не	1	145
5	то что	9	144
6	не есть	2	113
7	не только	32	104
8	потому что	7	89
9	в этом	27	88
10	может быть	25	82
11	в том	21	81
12	том что	16	81
13	не просто	2	80
14	только в	9	73
15	сказать что	1	72
16	но и	31	70
17	в виде	1	69
18	у нас	4	68
19	также и	6	68
20	и даже	3	66
21	по себе	2	64
22	не менее	4	58
23	о том	7	57
24	тем не	3	56
25	а не	31	56
26	так и	14	56
27	но в	14	55
28	так что	1	52
29	для нас	4	50
30	в себе	15	48
31	отнюдь не	14	48
32	и вообще	1	48
33	было бы	4	46
34	прежде всего	11	45
35	в своей	10	45
36	что в	6	44
37	в его	9	44
38	не в	12	43
39	все эти	1	43
40	то же	8	42
41	а именно	3	42
42	как раз	5	42
43	таким образом	6	42
44	если мы	1	42
45	и что	2	40
46	и то	1	40
47	что он	2	40
48	что мы	2	40
49	во всяком	3	39
50	не может	14	39
51	такого рода	23	39
52	и тем	3	39
53	в этой	2	39
54	как бы	8	39
55	той или	5	38
56	в данном	22	38
57	хотя бы	2	37
58	никак не	2	37
59	в нем	9	37
60	того что	7	37
61	точки зрения	1	36
62	еще не	8	36
63	и все	8	36
64	в виду	3	34
65	уже не	7	34
66	и с	2	34
67	как и	21	34
68	указывает на	2	34
69	же самое	2	33
70	в таком	2	33
71	не является	7	33
72	или иной	5	33
73	здесь не	2	32
74	в то	5	32
75	но не	9	32
76	едва ли	4	32
77	так же	2	31
78	в своем	9	31
79	связи с	2	31
80	что такое	23	31
81	в конце	3	31
82	но это	4	31
83	все это	3	31
84	ясно что	2	30
85	подобного рода	3	30
86	и для	8	30
87	с другой	10	30
88	настоящее время	1	30
89	в настоящее	1	30
90	в связи	1	29
91	некоторого рода	1	29
92	все же	10	29
93	можно сказать	6	29
94	перед нами	13	29
95	как мы	5	29
96	об этом	5	29
97	что же	6	28
98	данном случае	15	28
99	мы не	6	28
100	а в	15	28
101	есть только	1	28
102	и о	4	28
103	и это	2	27
104	и как	2	27
105	хотя и	10	27
106	ничего не	3	27
107	в результате	5	26
108	другой стороны	3	26
109	крайней мере	1	26
110	да и	3	26
111	как будто	6	26
112	вместе с	2	26
113	по крайней	1	26
114	еще и	2	26
115	это не	7	26
116	и его	9	26
117	мы можем	2	25
118	и на	5	25
119	тем самым	6	25
120	всяком случае	3	25
121	с тем	1	24
122	на самом	5	24
123	тем более	3	24
124	в нашем	9	24
125	и вполне	1	24
126	не имеет	3	24
127	содержит в	1	23
128	таком случае	1	23
129	по своему	3	23
130	на то	3	23
131	при этом	43	23
132	тут же	3	23
133	в качестве	18	23
134	и притом	3	23
135	а только	3	23
136	то и	2	23
137	и к	2	22
138	раз и	2	22
139	только на	2	22
140	можно ли	1	22
141	никогда не	6	22
142	всех этих	1	22
143	тоже не	2	22
144	нет ничего	2	22
145	есть в	2	22
146	его в	1	22
147	и от	3	22
148	и есть	2	22
149	и если	1	22
150	что и	6	22
151	в самом	6	21
152	мы должны	1	21
153	и ее	2	21
154	говорить о	5	21
155	для себя	2	21
156	а также	12	21
157	и без	1	21
158	и только	2	21
159	именно в	1	20
160	для того	1	20
161	но как	1	20
162	можно было	2	20
163	и потому	2	20
164	о чем	4	20
165	тем что	2	20
166	несмотря на	2	20
167	как о	2	20
168	или в	3	20
169	в них	4	19
170	с ним	3	19
171	самом деле	6	19
172	но если	1	19
173	того или	1	19
174	есть знак	1	19
175	уже в	2	19
176	то в	1	19
177	в отношении	1	19
178	но только	1	19
179	этом смысле	1	19
180	он не	6	19
181	если бы	10	19
182	как в	8	19
183	жизни и	8	19
184	в этих	5	18
185	того же	1	18
186	не было	5	18
187	мы и	2	18
188	не существует	3	18
189	в ее	1	18
190	того чтобы	2	18
191	в ней	5	18
192	что они	2	17
193	во всех	2	17
194	и здесь	2	17
195	пока еще	6	17
196	гораздо более	1	17
197	совсем не	1	17
198	ни о	2	17
199	что здесь	1	17
200	это и	1	17
201	совершенно не	2	17
202	что она	2	16
203	будто бы	3	16
204	как это	2	16
205	он и	2	16
206	же в	3	16
207	для этого	2	16
208	к тому	9	16
209	случае не	1	16
