N	3gram	Ircho_Kome	EvropaiE
1	в то же	5	15
2	то же время	5	14
3	в отношении к	1	12
4	с одной стороны	5	8
5	в том что	13	6
6	так же как	1	5
7	этой точки зрения	1	5
8	для того чтобы	3	5
9	с этой точки	1	5
10	того или иного	1	4
11	той или иной	1	4
12	само по себе	1	4
13	не только в	1	4
14	то ни было	4	4
15	бы то ни	4	4
16	во всех случаях	1	3
17	в применении к	1	3
18	можно было бы	3	3
19	в этом смысле	2	3
20	же как и	1	3
21	во всяком случае	4	3
22	и прежде всего	1	3
23	в этом отношении	3	3
24	так и в	1	2
25	в одном из	4	2
26	то окажется что	1	2
27	как мы видели	1	2
28	на то что	2	2
29	в большинстве случаев	2	2
30	в данном случае	1	2
31	по сравнению с	1	2
32	хотя бы в	1	2
33	только в том	1	2
34	друг от друга	2	2
35	то что в	1	2
36	во второй половине	3	2
37	с другой стороны	6	2
38	не более чем	2	2
39	в частности в	2	2
40	или хотя бы	1	2
41	не говоря уже	4	2
42	и т д	4	1
43	хотя и не	1	1
44	и по своей	1	1
45	не имеет значения	1	1
46	в одной из	1	1
47	в том случае	1	1
48	и не только	1	1
49	о том насколько	2	1
50	в этот период	1	1
51	следует отметить что	1	1
52	именно потому что	2	1
53	другой стороны в	1	1
54	не означает что	2	1
55	и та же	1	1
56	как это имело	1	1
57	чуть ли не	2	1
58	смысле этого слова	1	1
59	именно с этой	1	1
60	большей или меньшей	1	1
61	так и для	1	1
62	речь идет о	5	1
63	мы не находим	1	1
64	же время для	1	1
65	к тому что	3	1
66	но и в	2	1
67	том числе и	1	1
68	то время как	6	1
69	из составных частей	1	1
70	в соответствии с	2	1
71	друг другу их	1	1
72	в начале xx	1	1
73	в отличие от	3	1
74	или вовсе не	1	1
75	к сожалению не	1	1
76	это имело место	1	1
77	более чем на	1	1
78	только в виде	1	1
79	о которых мы	1	1
80	то наше внимание	1	1
81	тех случаях когда	1	1
82	из всего этого	2	1
83	в аттику и	1	1
84	представление о том	2	1
85	в силу этого	3	1
86	что же касается	1	1
87	к участию в	1	1
88	на то чтобы	1	1
89	в связи с	3	1
90	за тем как	2	1
91	том случае если	1	1
92	в том же	1	1
93	и тот же	1	1
94	в пределах одного	1	1
95	в том числе	4	1
96	насколько можно судить	1	1
97	в стороне от	1	1
98	в свою пользу	1	1
99	и насколько можно	1	1
100	многие из них	1	1
101	связи с этим	1	1
102	говоря уже о	4	1
103	в то время	8	1
104	более или менее	1	1
105	независимо от того	3	1
106	в значительной степени	1	1
107	что само по	1	1
108	в качестве примера	1	1
109	на этот раз	5	1
110	не находим в	1	1
111	между тем с	1	1
112	бы столь же	1	1
113	в тех случаях	1	1
114	что и сам	1	1
115	к тому же	12	1
116	совершенно очевидно что	1	1
117	одна и та	1	1
118	как бы то	1	1
