N	2gram	Propp_Morf	VrazhdaK
1	не только	8	9
2	в этом	18	8
3	и в	17	8
4	и что	3	8
5	что в	10	7
6	и все	1	7
7	но и	9	7
8	то что	10	7
9	о нем	1	6
10	как и	4	6
11	и даже	2	6
12	и с	1	6
13	все же	9	6
14	в котором	1	6
15	в начале	3	6
16	но в	4	6
17	то же	10	5
18	у него	2	5
19	в россии	2	5
20	и не	16	5
21	между тем	5	5
22	об этом	5	5
23	же время	1	5
24	в то	4	5
25	это не	6	4
26	при этом	1	4
27	несмотря на	4	4
28	для нас	2	4
29	все это	2	4
30	в виду	1	4
31	в своих	2	4
32	что он	5	4
33	о том	6	4
34	может быть	61	4
35	целый ряд	3	4
36	как бы	6	4
37	так же	4	4
38	в его	1	3
39	в том	10	3
40	т е	25	3
41	его в	4	3
42	связи с	12	3
43	мысль на	1	3
44	но он	1	3
45	в связи	10	3
46	и как	6	3
47	далеко не	5	3
48	тем что	4	3
49	в чем	2	3
50	и у	3	3
51	в русской	1	3
52	о себе	1	3
53	он был	1	3
54	том что	7	3
55	в этот	1	3
56	он не	5	3
57	наряду с	7	3
58	одним из	2	3
59	на то	3	3
60	с его	3	3
61	и его	3	3
62	к этому	4	3
63	в той	1	2
64	таким образом	26	2
65	об их	1	2
66	и то	1	2
67	ответ на	2	2
68	в момент	1	2
69	время и	1	2
70	его с	1	2
71	к себе	2	2
72	и далее	1	2
73	с точки	6	2
74	для него	2	2
75	его и	2	2
76	этот момент	5	2
77	о чем	1	2
78	как раз	1	2
79	очень высоко	1	2
80	же не	1	2
81	в них	1	2
82	как же	3	2
83	а также	7	2
84	же в	3	2
85	отношения к	1	2
86	в мире	1	2
87	в в	2	2
88	там же	1	2
89	их в	2	2
90	в своей	1	2
91	так в	1	2
92	в это	1	2
93	не менее	7	2
94	и это	1	2
95	в эту	1	2
96	на первый	3	2
97	еще не	4	2
98	но как	3	2
99	а с	2	2
100	в свою	1	2
101	и дети	1	2
102	после смерти	1	2
103	в этой	3	2
104	в нашей	1	2
105	при помощи	12	2
106	тогда как	2	2
107	а в	8	2
108	на это	1	2
109	и а	1	2
110	отношение к	1	2
111	в одну	2	2
112	уже не	4	2
113	из них	4	2
114	в себе	1	2
115	что я	1	2
116	не может	19	2
117	точки зрения	7	2
118	одна из	5	2
119	он сам	1	2
120	довольно много	1	2
121	в эти	1	2
122	но это	6	2
123	во время	6	2
124	в него	1	2
125	и ее	5	2
126	а н	1	2
127	в особенности	1	1
128	нет необходимости	7	1
129	который их	1	1
130	во всем	1	1
131	то в	3	1
132	как к	1	1
133	этого и	1	1
134	так и	10	1
135	что они	5	1
136	этот материал	1	1
137	которую они	1	1
138	в свое	2	1
139	все что	1	1
140	другой не	2	1
141	для всех	1	1
142	труд и	1	1
143	до сих	1	1
144	один из	7	1
145	еще раз	1	1
146	можно говорить	1	1
147	и этот	2	1
148	которым он	1	1
149	ему в	1	1
150	со мной	1	1
151	из которых	5	1
152	о помощи	3	1
153	выясняется что	1	1
154	место принимая	1	1
155	они не	3	1
156	этот закон	1	1
157	с героем	2	1
158	только что	3	1
159	один пример	1	1
160	пользу и	1	1
161	не слишком	3	1
162	если в	7	1
163	это будет	1	1
164	рассказ о	1	1
165	того как	2	1
166	к этой	1	1
167	и уж	1	1
