N	3gram	Nazirov_Vr	StatiiOP
1	в том что	2	47
2	о том что	1	29
3	в этом отношении	1	24
4	до сих пор	1	19
5	с точки зрения	2	14
6	с другой стороны	1	13
7	во всяком случае	1	13
8	не может быть	2	11
9	то же время	4	9
10	на то что	1	9
11	в то же	4	9
12	тем не менее	1	8
13	в конце концов	1	7
14	заключается в том	1	7
15	в то время	1	7
16	и в этом	1	7
17	так же как	1	6
18	в письме к	2	6
19	в этом смысле	1	6
20	не только не	1	6
21	речь идет о	1	6
22	по крайней мере	1	6
23	в том же	1	5
24	как раз в	2	5
25	что в этой	1	4
26	в связи с	3	4
27	но это не	1	4
28	в мировой литературе	1	4
29	в это время	1	4
30	и в самом	1	4
31	тем более что	1	4
32	о том как	1	3
33	в той же	1	3
34	что в ней	1	3
35	да и в	1	3
36	это не просто	1	3
37	а с другой	1	3
38	на этот раз	1	3
39	что у него	1	3
40	в известном смысле	1	3
41	в русской литературе	3	3
42	но в целом	1	3
43	в котором он	1	2
44	их и не	1	2
45	ответ на это	1	2
46	а между тем	1	2
47	точно так же	1	2
48	независимо от того	1	2
49	и в то	1	2
50	период работы над	1	2
51	с тех пор	1	2
52	то что я	1	2
53	в свою очередь	1	2
54	но и это	1	2
55	он не только	2	2
56	и что он	1	2
57	что как раз	1	2
58	известном письме к	1	2
59	далеко не все	1	2
60	но в то	2	2
61	в известном письме	1	2
62	в период работы	1	2
63	и то что	1	2
64	что в нем	1	2
65	тем что он	1	2
66	п в анненкова	1	2
67	между прочим и	1	2
68	что это за	1	2
69	может быть и	1	2
70	он был очень	1	1
71	молодой человек в	1	1
72	в в виноградов	2	1
73	в конце х	1	1
74	в ответ на	1	1
75	и никогда не	1	1
76	его отношение к	1	1
77	все же он	1	1
78	конце х годов	1	1
79	в этой сцене	1	1
80	и то же	1	1
81	в его журнале	1	1
82	говорит о себе	1	1
83	ноября года он	1	1
84	что в жизни	1	1
85	приняты во внимание	1	1
86	что он сам	1	1
87	это же время	1	1
88	быть и речи	1	1
89	в соответствии с	1	1
90	и во всем	1	1
91	об этом говорят	1	1
92	не вдаваясь в	1	1
93	в высшей степени	1	1
94	быть приняты во	1	1
95	имел в виду	3	1
96	в январе года	3	1
97	в истории человечества	1	1
98	и о том	2	1
99	но не менее	1	1
100	и не может	1	1
101	интересно в этом	1	1
102	которой обычно не	1	1
103	в это же	1	1
104	в эти годы	2	1
105	с которым он	1	1
106	в вестнике европы	4	1
107	к вопросу о	1	1
108	наполеона в году	1	1
109	в обоих отзывах	1	1
110	может быть иначе	1	1
111	это сказалось в	1	1
112	связи с этим	1	1
113	речь идет не	1	1
114	в примечании к	2	1
115	ввел в роман	1	1
116	в комментариях к	1	1
117	но для нас	1	1
118	он хочет сделать	1	1
119	у целого ряда	1	1
120	истории человечества и	1	1
121	одно и то	1	1
122	и в котором	1	1
123	и во всей	1	1
124	вдаваясь в детальный	1	1
125	мог знать и	1	1
126	сама жизнь и	1	1
127	же время с	1	1
128	и что в	2	1
129	ставил очень высоко	1	1
130	уже в году	1	1
131	и все же	5	1
132	в году в	2	1
133	в свете этой	1	1
134	что из всех	1	1
135	что этот человек	1	1
