N	3gram	Propp_Isto	Tragedij
1	то же время	1	5
2	в то же	1	5
3	так и в	2	3
4	в том что	4	2
5	точно так же	3	2
6	в данном случае	2	2
7	о том что	5	2
8	а я буду	1	2
9	но все же	6	2
10	в отличие от	1	2
11	сам по себе	1	1
12	что когда я	1	1
13	у него есть	1	1
14	что он не	1	1
15	может быть не	1	1
16	смысле этого слова	1	1
17	это может быть	1	1
18	она все же	1	1
19	как и его	1	1
20	объясняется тем что	1	1
21	что уже не	1	1
22	и вместе с	3	1
23	что в ней	1	1
24	то что он	2	1
25	не может быть	6	1
26	но при этом	1	1
27	в этом случае	13	1
28	по сравнению с	1	1
29	с самого начала	1	1
30	мы видим уже	1	1
31	и то что	3	1
32	как и все	1	1
33	сердца но в	1	1
34	у него нет	1	1
35	не могут быть	1	1
36	но это уже	1	1
37	только один раз	1	1
38	сменяющие друг друга	1	1
39	как и в	4	1
40	в связи с	6	1
41	может быть в	1	1
42	в самом деле	1	1
43	во всяком случае	1	1
44	что все это	1	1
45	тем не менее	6	1
46	и в образе	1	1
47	несмотря на все	1	1
48	несмотря на всю	1	1
49	на мысль что	1	1
50	в этой связи	1	1
51	или как говорит	1	1
52	это и есть	1	1
53	быть отнесены к	1	1
54	ее к себе	1	1
55	в дальнейшем он	1	1
56	после того как	4	1
57	все же не	1	1
58	еще ничего не	1	1
