N	3gram	Bakhtin_Fr	EvropaiC
1	в том что	2	16
2	до сих пор	6	15
3	по отношению к	2	11
4	с точки зрения	4	8
5	более или менее	1	8
6	для того чтобы	5	7
7	мы знаем что	1	7
8	на самом деле	5	7
9	мы говорили выше	1	6
10	сих пор не	1	5
11	по сравнению с	2	5
12	не может быть	2	4
13	о том что	3	4
14	с другой стороны	5	4
15	в том случае	1	4
16	в конце концов	3	4
17	в этом случае	1	4
18	том случае если	1	4
19	может быть и	2	4
20	заключается в том	1	3
21	подлежит сомнению что	1	3
22	в том же	3	3
23	в настоящее время	2	3
24	таким образом в	1	3
25	все же не	1	3
26	одного и того	1	3
27	не подлежит сомнению	2	3
28	то ни было	1	3
29	в данном случае	3	3
30	и то что	1	3
31	и того же	1	3
32	в связи с	5	3
33	бы то ни	1	3
34	в вопросе о	1	2
35	в свою очередь	2	2
36	о которой мы	1	2
37	во всяком случае	2	2
38	во всех этих	1	2
39	каждый из этих	1	2
40	как и в	2	2
41	в то время	1	2
42	в то же	13	2
43	и все что	3	2
44	как и все	5	2
45	между этими двумя	1	2
46	в таком же	1	2
47	мы сказали что	1	2
48	в высшей степени	1	2
49	но все же	2	2
50	только то что	2	2
51	с одной стороны	4	2
52	то же время	13	2
53	мы видели что	1	1
54	аспекта одного и	1	1
55	общества и в	1	1
56	все то что	2	1
57	за то что	2	1
58	лежит представление о	1	1
59	культуры между тем	1	1
60	весь свой смысл	1	1
61	мы видим что	2	1
62	как мы знаем	2	1
63	но в этой	1	1
64	таким образом все	2	1
65	таким образом весь	2	1
66	и в другом	1	1
67	на том же	1	1
68	и в дальнейшем	1	1
69	была у него	2	1
70	из них в	1	1
71	меньше чем в	1	1
72	во всех отношениях	1	1
73	так и от	1	1
74	это может быть	1	1
75	к одному из	1	1
76	в том числе	4	1
77	быть и не	2	1
78	гораздо меньше чем	1	1
79	и той же	2	1
80	они не могут	1	1
81	то что эти	1	1
82	нами в начале	1	1
83	не имеет никакой	1	1
84	свидетельствует о том	1	1
85	ко всем этим	1	1
86	вместе с ними	1	1
87	и культуры в	1	1
88	именно в этой	1	1
89	и до сих	2	1
90	те же самые	2	1
91	дело в том	2	1
92	смысле этого слова	2	1
93	как мы видели	4	1
94	между тем как	1	1
95	как мы сказали	1	1
96	одной и той	2	1
97	мы не знаем	1	1
98	но для этого	1	1
99	том числе и	3	1
100	можно было бы	2	1
101	уже говорили что	1	1
102	в дальнейшем ходе	1	1
103	но не подлежит	1	1
104	что они не	1	1
105	с самого начала	1	1
106	не без влияния	1	1
107	на ноги и	1	1
108	с ним общее	1	1
109	в каждый момент	1	1
110	дальше в этом	1	1
111	точки зрения на	1	1
112	и на него	1	1
113	с тех пор	1	1
114	вместо того чтобы	1	1
115	мы уже говорили	5	1
116	не только своего	1	1
117	таким образом и	2	1
118	только тогда когда	1	1
119	для этой цели	1	1
120	мало того что	1	1
121	сих пор еще	2	1
122	то время как	1	1
123	нет и не	1	1
124	всех отношениях лучше	1	1
125	и не может	1	1
126	в этом последнем	1	1
127	мы уже сказали	2	1
