N	3gram	Losev_Vesc	Literetu
1	в том что	9	21
2	в то же	5	21
3	то же время	4	21
4	с одной стороны	3	12
5	не может быть	22	11
6	в данном случае	2	11
7	так или иначе	5	10
8	о том что	4	10
9	в этом отношении	2	10
10	с точки зрения	6	8
11	с другой стороны	3	7
12	из того что	3	6
13	подобно тому как	5	6
14	не только в	5	6
15	с этой точки	3	5
16	тем не менее	11	5
17	в том чтобы	2	5
18	этой точки зрения	3	5
19	в связи с	1	5
20	в уме своем	1	4
21	и прежде всего	1	4
22	то ни было	12	4
23	бы то ни	12	4
24	и то что	5	4
25	одной стороны и	1	3
26	в самом деле	7	3
27	речь идет о	1	3
28	то же самое	1	3
29	только в том	1	3
30	быть не может	1	3
31	в свою очередь	5	3
32	на то что	7	3
33	какого бы то	2	3
34	по крайней мере	10	3
35	ту или иную	3	3
36	во всяком случае	2	3
37	то что я	2	3
38	и в частности	2	3
39	в самом начале	1	2
40	имеется в виду	1	2
41	в xix веке	1	2
42	что на нем	1	2
43	для того чтобы	2	2
44	и то же	5	2
45	уже и не	1	2
46	в действительности же	1	2
47	в отношении к	2	2
48	и вместе с	1	2
49	тех или иных	2	2
50	быть может наиболее	1	2
51	не только не	4	2
52	к тому что	2	2
53	только то что	3	2
54	в этой связи	1	2
55	а не только	2	2
56	же как я	1	2
57	не мог бы	2	2
58	по тем же	1	2
59	мы имеем дело	2	2
60	вместе с тем	3	2
61	но и в	1	2
62	то что ему	1	2
63	и в самом	1	2
64	в свое время	2	2
65	в себе и	1	2
66	в полной мере	1	2
67	а и в	9	2
68	я не могу	1	2
69	дело в том	4	2
70	одно и то	5	2
71	можно было бы	3	2
72	это уже не	1	2
73	в этом случае	1	2
74	и не только	6	2
75	на эту тему	1	2
76	потому что я	2	1
77	и как раз	1	1
78	но то что	3	1
79	в той или	2	1
80	как и во	1	1
81	и в целом	1	1
82	что он не	1	1
83	все то что	2	1
84	как будто бы	1	1
85	и для всего	1	1
86	по себе но	1	1
87	говорит об искусстве	1	1
88	что в ней	3	1
89	того что они	1	1
90	внутреннего и внешнего	2	1
91	одно из самых	1	1
92	для него не	1	1
93	это не только	1	1
94	однако и здесь	1	1
95	то что в	1	1
96	хотя бы и	2	1
97	тем более не	1	1
98	себя самого в	1	1
99	не в том	1	1
100	то в чем	1	1
101	он сам не	1	1
102	ее и в	1	1
103	более или менее	4	1
104	но даже и	2	1
105	не только мне	1	1
106	если бы я	3	1
107	как раз с	2	1
108	все новые и	1	1
109	приводит их к	1	1
110	а в том	1	1
111	привлечь к себе	1	1
112	внутренней и внешней	1	1
113	только мне но	1	1
114	до сих пор	1	1
115	именно потому что	1	1
116	в этом и	2	1
117	в конце концов	2	1
118	и переходит в	1	1
119	в зависимости от	1	1
120	и не было	1	1
121	образом от всего	1	1
122	нельзя сказать что	2	1
123	но только в	1	1
124	если оно вообще	1	1
125	и в то	3	1
126	нет не только	1	1
127	а затем и	2	1
128	мне но и	1	1
129	а за ними	1	1
130	самого себя и	1	1
131	и того же	1	1
132	но еще и	3	1
133	как раз и	2	1
134	сама по себе	7	1
135	с тех пор	1	1
136	не нуждается в	1	1
137	но все же	2	1
138	и для его	1	1
139	о том как	4	1
140	одного и того	1	1
141	даже и не	2	1
142	еще и в	1	1
143	для тех кто	1	1
144	в ней есть	1	1
145	а не в	2	1
146	и в этом	2	1
147	может быть только	6	1
148	и только в	1	1
149	и у нас	1	1
150	и тем не	5	1
151	с тем же	1	1
152	и всякой иной	1	1
153	этот как и	1	1
154	по существу своему	1	1
155	как мы знаем	1	1
156	данном случае со	1	1
157	может быть ни	3	1
158	в данный момент	1	1
159	в отличии от	2	1
160	так как мы	2	1
161	различие между ними	1	1
162	и в особенности	1	1
163	в чем он	1	1
164	на еще более	1	1
165	когда речь идет	1	1
166	не может и	2	1
167	здесь как и	1	1
168	один из моментов	1	1
169	в пределах самого	1	1
170	какой бы то	1	1
171	как это было	1	1
172	не в состоянии	1	1
173	и для всех	1	1
174	однако в основе	1	1
175	было бы представить	1	1
176	не что иное	12	1
177	между прочим и	1	1
178	так как будто	1	1
179	уже не может	3	1
180	только на то	1	1
181	имеем дело в	1	1
182	она уже не	1	1
183	резко отличается от	1	1
184	для того что	1	1
185	тому как в	1	1
186	тех кто не	1	1
187	но в то	1	1
188	и во всей	1	1
189	содержит в себе	11	1
190	как раз в	2	1
191	для самой вещи	1	1
192	только потому что	1	1
193	уже не просто	2	1
194	ни с какой	2	1
195	он и не	1	1
196	было бы и	5	1
197	содержат в себе	1	1
198	в себе не	1	1
199	том что он	2	1
200	у него нет	1	1
201	ни было но	2	1
202	случае мы не	1	1
203	не есть ли	3	1
204	то что для	1	1
205	или иную вещь	1	1
206	а так как	2	1
207	что может быть	1	1
208	что иное как	12	1
209	в ряду других	1	1
210	и не может	1	1
211	вопрос о том	2	1
212	является одним из	1	1
213	это и есть	4	1
214	само по себе	4	1
215	нам быть с	1	1
216	тот или иной	1	1
217	но и для	1	1
218	мы не можем	3	1
219	что несмотря на	1	1
220	в основе своей	2	1
221	новые и новые	1	1
222	может быть и	1	1
