N	2gram	Potebnia_M	UchenyiS
1	и в	58	14
2	не только	32	10
3	а не	38	10
4	и не	34	8
5	прежде всего	8	8
6	то что	24	7
7	в этом	18	7
8	не может	30	7
9	может быть	47	6
10	перестает быть	3	5
11	хотя бы	4	5
12	то же	13	5
13	и только	6	5
14	все это	3	5
15	с другой	13	4
16	в этой	3	4
17	конечно не	1	4
18	что такое	3	4
19	но и	26	4
20	в их	3	4
21	к сожалению	1	3
22	бы то	2	3
23	было бы	21	3
24	не о	1	3
25	и то	4	3
26	и формы	1	3
27	только к	1	3
28	или точнее	1	3
29	для этого	2	3
30	очевидно что	5	3
31	это не	10	3
32	как и	16	3
33	то ни	3	3
34	вряд ли	2	3
35	для него	13	3
36	формы в	1	3
37	в своей	3	3
38	все же	11	3
39	ни было	4	3
40	в области	1	3
41	в то	6	3
42	не как	4	3
43	у нас	3	3
44	пришлось бы	1	3
45	другой стороны	7	3
46	не следует	6	3
47	но в	12	3
48	же время	4	3
49	все они	3	2
50	таким образом	21	2
51	в самом	5	2
52	если не	5	2
53	же не	2	2
54	в противном	3	2
55	могли бы	4	2
56	его и	1	2
57	если бы	23	2
58	самом деле	2	2
59	могут быть	17	2
60	является в	1	2
61	не в	23	2
62	ни от	1	2
63	это было	3	2
64	для всех	6	2
65	и с	3	2
66	до сих	5	2
67	их и	2	2
68	материал как	1	2
69	одним из	2	2
70	крайней мере	6	2
71	но не	19	2
72	мы и	1	2
73	тем что	15	2
74	более чем	1	2
75	в себе	22	2
76	в его	7	2
77	даже и	4	2
78	должна быть	4	2
79	мы не	17	2
80	именно как	1	2
81	ничего не	2	2
82	всех этих	2	2
83	между тем	7	2
84	что она	3	2
85	не есть	13	2
86	что он	5	2
87	на каждом	1	2
88	при таком	5	2
89	этом отношении	1	2
90	противном случае	3	2
91	произведение а	1	2
92	каждом шагу	1	2
93	а его	3	2
94	в некоторых	4	2
95	не могут	10	2
96	а как	3	2
97	что мы	11	2
98	в том	38	2
99	представляется нам	4	2
100	это уже	1	2
101	том что	21	2
102	нас в	2	2
103	но это	7	2
104	этом смысле	4	2
105	но даже	2	2
106	и для	8	2
107	что и	16	2
108	к области	1	2
109	в сторону	1	2
110	не столько	3	2
111	а между	5	2
112	смысле этого	3	2
113	с его	3	2
114	и у	3	2
115	превращается в	2	2
116	сих пор	5	2
117	по крайней	6	2
118	только в	36	2
119	по себе	24	2
120	что все	4	2
121	не все	3	2
122	очевидно не	1	2
123	вопроса о	2	2
124	настолько насколько	3	1
125	утверждением что	1	1
126	в той	1	1
127	в г	2	1
128	признать что	1	1
129	все в	2	1
130	что в	34	1
131	к лицу	1	1
132	может обойтись	2	1
133	вытекать из	1	1
134	с которыми	3	1
135	не было	7	1
136	остается в	1	1
137	вне его	1	1
138	бы только	2	1
139	и даже	4	1
140	связанных с	1	1
141	более или	6	1
142	говорит он	4	1
143	о необходимости	1	1
144	и потому	7	1
145	столько же	4	1
146	нам известно	1	1
147	но он	3	1
148	отказаться от	1	1
149	в которой	5	1
150	сколько и	4	1
151	имеем в	1	1
152	можно сказать	1	1
153	несомненно что	2	1
154	этого не	2	1
155	какой именно	1	1
156	восприятия и	3	1
157	мы можем	10	1
158	иначе в	1	1
159	их образы	1	1
160	явлением и	1	1
161	что же	3	1
162	в данном	1	1
163	и быть	1	1
164	она строится	1	1
165	все его	2	1
166	что ему	2	1
167	подобным образом	7	1
168	наука о	1	1
169	как на	5	1
170	равно как	1	1
171	вообще в	1	1
172	есть наука	4	1
173	себе еще	1	1
174	это содержание	1	1
175	быть не	7	1
176	со своими	1	1
177	он в	1	1
178	и все	6	1
179	понятие не	1	1
180	слова а	3	1
181	что этот	1	1
182	содержание и	1	1
183	состоит из	1	1
184	же как	1	1
185	группы и	1	1
186	сказать что	5	1
187	не исключительно	1	1
188	в процессе	1	1
189	он будет	1	1
190	его как	1	1
191	бы те	1	1
192	но для	1	1
193	то есть	69	1
194	этот процесс	1	1
195	нем но	1	1
196	и др	1	1
197	нас самих	1	1
198	не делает	1	1
199	ее как	1	1
200	без них	1	1
201	и действительно	1	1
202	очень часто	1	1
203	того как	12	1
204	тех и	3	1
205	переходит в	2	1
206	общего и	1	1
207	в таком	7	1
208	то и	15	1
209	химии и	1	1
210	которое мы	5	1
211	этот и	1	1
212	она не	3	1
213	быть в	1	1
214	в произведении	1	1
215	чем то	1	1
216	смысле и	1	1
217	в течение	2	1
218	относятся к	2	1
219	в своем	3	1
220	тогда когда	15	1
221	с тем	9	1
222	входит в	1	1
223	для себя	4	1
224	стороны в	1	1
225	только как	5	1
226	тем в	2	1
227	что только	1	1
228	его на	3	1
229	только при	3	1
230	еще одно	1	1
231	одной стороны	6	1
232	именно к	1	1
233	представлений и	1	1
234	относится к	5	1
235	время не	1	1
236	или по	2	1
237	мы имеем	1	1
238	на звук	2	1
239	не без	2	1
240	какие мы	1	1
241	начала и	1	1
242	от слова	4	1
243	случае пришлось	1	1
244	творчества то	1	1
245	что по	3	1
246	не связанных	1	1
247	их в	2	1
248	при более	1	1
249	же в	7	1
250	не для	2	1
251	он может	2	1
252	в ней	9	1
253	или даже	3	1
254	вполне верно	1	1
255	но что	2	1
256	теории и	2	1
257	в данное	2	1
258	и необходимо	1	1
259	на одно	1	1
260	только единство	1	1
261	и так	1	1
262	вообще мы	1	1
263	и прежде	1	1
264	объясняется и	1	1
265	язык в	8	1
266	и независимо	2	1
267	звук что	1	1
268	это значит	1	1
269	место и	1	1
270	себе известное	1	1
271	а это	1	1
272	в этот	1	1
273	связанные с	3	1
274	не вполне	1	1
275	на то	5	1
276	природе и	1	1
277	есть язык	1	1
278	почему в	1	1
279	но если	4	1
280	бы ни	8	1
281	значение вообще	2	1
282	сам по	5	1
283	только для	7	1
284	без этого	1	1
285	в которых	2	1
286	по мнению	4	1
287	к этому	3	1
288	так и	17	1
289	о нем	1	1
290	что с	3	1
291	знание того	1	1
292	нельзя свести	1	1
293	это впечатление	1	1
294	почему существо	2	1
295	ее в	1	1
296	в современном	1	1
297	предмет только	1	1
298	о которой	2	1
299	на значение	1	1
300	находятся в	3	1
301	этих слов	1	1
302	и вся	1	1
303	с которых	1	1
304	о котором	4	1
305	в нем	26	1
306	он не	4	1
307	ней не	1	1
308	независимо от	15	1
309	может служить	2	1
310	что нельзя	2	1
311	все что	5	1
312	и слово	2	1
313	на его	1	1
314	и что	13	1
315	содержание в	1	1
316	в известном	2	1
317	они относятся	1	1
318	одно из	5	1
319	форма в	1	1
320	что для	5	1
321	и это	3	1
322	в различных	1	1
323	с одной	7	1
324	и всякого	1	1
325	данное время	1	1
326	за пределы	4	1
327	и делает	1	1
328	имеет свою	1	1
329	заключенные в	1	1
330	должно быть	9	1
331	что при	6	1
332	обязательна для	1	1
333	об этом	1	1
334	задачи и	1	1
335	и музыкальной	1	1
336	в виду	2	1
337	есть литературный	1	1
338	лишь настолько	3	1
339	само по	6	1
340	или менее	6	1
341	деле есть	2	1
342	нужно будет	4	1
343	тот же	5	1
344	уже не	4	1
345	о том	6	1
346	не то	3	1
347	по его	7	1
348	далеко не	4	1
349	тем более	2	1
350	того что	15	1
351	в понятии	2	1
352	у него	3	1
353	в словах	6	1
354	друг другу	4	1
355	но такое	2	1
356	бы это	1	1
357	слово как	2	1
358	в котором	5	1
359	не существует	2	1
360	доказывает что	3	1
361	бы в	6	1
362	ее к	1	1
363	в виде	1	1
364	существование в	1	1
365	той же	3	1
366	приводит к	1	1
367	никогда не	7	1
368	а представления	1	1
369	человека и	2	1
