N	4gram	Tiupa_Teor	Tvorches
1	в то же время	8	24
2	и в то же	2	6
3	но в то же	2	6
4	дело в том что	1	4
5	в том что в	1	3
6	в том числе и	2	2
7	заключается в том что	1	2
8	очередь по отношению к	1	1
9	не что иное как	1	1
10	только то что может	1	1
11	едва ли не первым	1	1
12	первую очередь по отношению	1	1
13	а с другой стороны	1	1
14	в таком случае это	1	1
15	по отношению к самому	1	1
16	одного и того же	4	1
17	и в самом деле	2	1
18	в войне и мире	2	1
19	это имеет место в	1	1
20	в первую очередь по	1	1
21	в соответствии с его	1	1
22	и те и другие	1	1
23	но в таком случае	1	1
24	мы имеем в виду	3	1
25	как это имеет место	1	1
26	бы то ни было	2	1
27	то же время они	1	1
28	не содержит в себе	1	1
