N	3gram	Ircho_Kome	VrazhdaK
1	то же время	5	4
2	в то же	5	4
3	в связи с	3	3
4	в том что	13	2
5	в эти годы	2	2
6	он был очень	1	1
7	но при этом	1	1
8	в ответ на	1	1
9	в этот период	1	1
10	о чем говорилось	1	1
11	а между тем	1	1
12	гораздо хуже чем	1	1
13	каждый из них	2	1
14	в то время	8	1
15	героя нашего времени	1	1
16	в конце концов	4	1
17	речь идет о	5	1
18	следить за тем	1	1
19	в той же	2	1
20	точно так же	1	1
21	так же как	1	1
22	что уже в	1	1
23	на то что	2	1
24	в соответствии с	2	1
25	о которой упоминает	1	1
26	в этом смысле	2	1
27	автору этих строк	1	1
28	что в нем	1	1
29	имеется в виду	1	1
30	мы бы назвали	1	1
31	о том что	6	1
32	до сих пор	3	1
33	в высшей степени	1	1
34	мы знаем о	1	1
35	но об этом	1	1
36	в это время	3	1
37	на этот раз	5	1
38	в том же	1	1
39	с тех пор	1	1
40	во всяком случае	4	1
41	тем не менее	2	1
42	и в самом	1	1
43	к нему с	1	1
44	в свою пользу	1	1
45	едва ли не	6	1
46	вскоре после этого	1	1
47	на первый план	1	1
48	с другой стороны	6	1
49	связи с этим	1	1
50	у него в	1	1
51	не последнее место	1	1
52	что у него	3	1
53	тем более что	1	1
54	независимо от того	3	1
55	но не менее	1	1
56	да и в	1	1
57	в этом отношении	3	1
58	ответ на это	1	1
