N	3gram	Nazirov_Tr	VLabPisa
1	и т п	1	9
2	не может быть	1	8
3	в том что	2	5
4	хотя бы и	1	5
5	в то же	5	5
6	то же время	5	5
7	в одном из	1	4
8	не могут быть	1	4
9	в связи с	1	4
10	к тому что	1	4
11	бы и не	1	3
12	о том что	2	3
13	это и есть	1	3
14	во всяком случае	1	2
15	в чем же	1	2
16	не только не	1	2
17	в конце концов	1	2
18	после того как	1	2
19	и не может	1	2
20	что он не	1	1
21	и не быть	1	1
22	отцы и дети	2	1
23	все это мы	1	1
24	в применении к	1	1
25	в году и	1	1
26	по сравнению с	1	1
27	в этом случае	1	1
28	отцов и детей	1	1
29	в виду не	1	1
30	может быть в	1	1
31	в самом деле	1	1
32	необходимо подчеркнуть что	1	1
33	в братьях карамазовых	1	1
34	прежде всего необходимо	1	1
35	а между тем	1	1
36	но у него	1	1
37	все же не	1	1
38	как и все	1	1
39	но в то	2	1
40	или как говорит	1	1
41	бросается в глаза	2	1
42	между тем дело	1	1
43	и вместе с	1	1
44	между этими двумя	2	1
45	если можно так	1	1
46	еще в году	1	1
47	в стихах и	1	1
48	в данном случае	2	1
49	быть свободен только	1	1
50	могут быть отнесены	1	1
51	толстой и достоевский	1	1
52	могло бы и	1	1
53	так же по	1	1
54	бы и в	1	1
55	творческий процесс у	1	1
56	об этом свидетельствует	1	1
57	но все же	2	1
58	может быть свободен	1	1
59	можно так выразиться	1	1
