N	2gram	Tiupa_Anal	Problemy
1	и в	30	106
2	и не	33	90
3	как бы	15	70
4	может быть	33	66
5	в его	15	56
6	в этом	31	52
7	в нем	3	51
8	не может	26	49
9	как и	23	44
10	что он	3	44
11	точки зрения	10	40
12	но и	29	40
13	для него	5	39
14	и его	9	39
15	а не	25	38
16	о себе	2	37
17	то же	12	36
18	не только	30	36
19	в пределах	11	35
20	то что	11	33
21	но в	11	33
22	прежде всего	8	32
23	он не	4	29
24	в то	10	29
25	все это	2	29
26	и все	5	28
27	в одном	3	27
28	не в	17	27
29	к другому	1	27
30	к себе	1	26
31	же время	7	26
32	в самом	12	25
33	и с	2	25
34	к нему	4	25
35	с точки	6	25
36	в сущности	10	25
37	и т	3	25
38	с самим	3	24
39	не как	2	24
40	вовсе не	4	24
41	самом деле	3	24
42	и на	10	23
43	по себе	6	22
44	что я	1	22
45	таким образом	5	22
46	как мы	3	21
47	все же	4	20
48	никогда не	4	20
49	только в	8	20
50	потому что	3	20
51	что же	3	19
52	что в	7	19
53	с его	3	19
54	отношению к	9	19
55	слова в	1	19
56	уже не	6	18
57	по отношению	10	18
58	т п	3	18
59	в себе	17	18
60	еще не	5	18
61	о нем	4	18
62	на самом	2	18
63	но не	13	18
64	все эти	3	18
65	слово о	1	18
66	и к	5	17
67	самим собою	2	17
68	с ним	6	17
69	а в	11	17
70	в том	36	17
71	это не	7	17
72	так и	16	17
73	так же	1	16
74	если бы	6	16
75	в своей	7	16
76	этом смысле	3	16
77	в другом	4	16
78	о мире	1	15
79	у него	5	15
80	и для	3	15
81	и наконец	2	15
82	и сам	4	14
83	в своем	2	14
84	как раз	5	14
85	в конце	4	14
86	а как	4	14
87	в отношении	2	14
88	себя самого	2	14
89	так как	3	14
90	я не	2	14
91	он и	3	14
92	с другим	5	14
93	лишь в	12	14
94	но все	1	13
95	на него	3	13
96	с другими	4	13
97	его в	2	13
98	в мире	14	13
99	героя в	2	13
100	в романе	2	13
101	себя и	5	13
102	перед нами	1	13
103	голосов в	1	13
104	в целом	9	13
105	при этом	20	12
106	даже в	5	12
107	отношении к	1	12
108	и как	6	12
109	и даже	10	12
110	и слово	2	12
111	к тому	12	12
112	во всяком	1	12
113	в котором	5	12
114	к чужому	1	12
115	что и	5	12
116	не знает	4	12
117	так сказать	1	12
118	себе и	1	12
119	так что	3	12
120	и что	2	12
121	за пределы	6	12
122	было бы	4	12
123	между тем	7	12
124	одного сознания	2	12
125	как в	3	12
126	том что	21	12
127	у меня	1	12
128	но это	1	12
129	ничего не	10	12
130	слово в	1	12
131	тем что	2	11
132	их в	1	11
133	входит в	1	11
134	с другой	7	11
135	он сам	1	11
136	должно быть	2	11
137	это слово	1	11
138	бы в	3	11
139	мы уже	2	11
140	не могут	3	11
141	бы и	1	11
142	самого героя	1	11
143	этого слова	10	11
144	сознания и	1	11
145	как будто	6	11
146	а я	1	11
147	более того	4	11
148	в произведении	7	10
149	что не	3	10
150	сих пор	1	10
151	в него	1	10
152	до сих	1	10
153	для себя	3	10
154	приводит к	2	10
155	той же	4	10
156	в самой	1	10
157	далеко не	6	10
158	как не	1	10
159	отношение к	2	10
160	ведь и	1	10
161	в той	8	9
162	другой стороны	2	9
163	в них	1	9
164	хотя бы	4	9
165	друг с	2	9
166	хотя и	4	9
167	но он	1	9
168	из одного	1	9
169	могут быть	12	9
170	всяком случае	1	9
171	ни в	5	9
172	самим собой	3	9
173	да и	2	9
174	или в	2	9
175	раз и	2	9
176	и потому	2	9
177	человека в	1	9
178	же и	1	8
179	в результате	3	8
180	и до	3	8
181	о том	11	8
182	мы увидим	1	8
183	художественного видения	3	8
184	все время	1	8
185	из них	2	8
186	и он	1	8
187	несмотря на	5	8
188	ни было	4	8
189	но как	1	8
190	одним из	3	8
191	здесь не	2	8
192	я вам	1	8
193	и от	1	8
194	мы должны	2	8
195	должна быть	1	8
196	что это	1	8
197	никак не	2	8
198	с ними	2	8
199	в диалоге	2	8
200	наконец в	1	8
201	из его	2	8
202	самого автора	1	8
203	как к	2	8
204	уже в	1	8
205	того что	5	8
206	же не	3	8
207	с их	2	8
208	с другом	2	8
209	знает и	1	8
210	и о	3	8
211	бы он	1	8
212	от него	2	7
213	тем как	2	7
214	в виду	2	7
215	на свой	1	7
216	в жизни	1	7
217	к самому	2	7
218	отличается от	3	7
219	вопрос о	2	7
220	в себя	8	7
221	только на	3	7
222	сказать что	2	7
223	что все	2	7
224	что она	1	7
225	от себя	4	7
226	не было	1	7
227	не о	3	7
228	с оглядкой	1	7
229	я все	1	7
230	как его	1	7
231	лишь на	1	7
232	между ними	1	7
233	себя как	1	7
234	в этих	3	7
235	во всех	5	7
236	то ни	3	7
237	и др	1	7
238	его к	3	7
239	и ее	1	7
240	были бы	1	7
241	бы то	3	7
242	его с	1	7
243	например в	1	7
244	в процессе	2	7
245	слова о	2	7
246	не входит	1	7
247	его и	3	7
248	автора и	4	7
249	он в	5	7
250	на этот	2	7
251	точку зрения	1	7
252	тот же	2	7
253	но на	1	7
254	чужих слов	2	7
255	в их	8	7
256	все равно	2	7
257	в виде	1	7
258	сама по	1	7
259	мира и	1	7
260	к своему	2	7
261	и другого	4	7
262	и их	2	7
263	он с	1	7
264	такой же	3	7
265	во всем	1	6
266	сознаний в	1	6
267	в своих	1	6
268	и внутренне	1	6
269	диалога в	1	6
270	не менее	5	6
271	на фоне	5	6
272	в речь	2	6
273	должна была	2	6
274	превращается в	3	6
275	этого мира	2	6
276	как на	1	6
277	не становится	3	6
278	одна из	1	6
279	не мог	3	6
280	в драме	2	6
281	в художественном	4	6
282	человек и	2	6
283	но ведь	1	6
284	на этом	4	6
285	внутренней речи	9	6
286	а с	3	6
287	человека как	1	6
288	все те	1	6
289	можно было	1	6
290	бы уже	1	6
