N	4gram	Potebnia_M	Vvedenie
1	в то же время	8	6
2	не что иное как	1	5
3	и в самом деле	1	3
4	вопрос о том что	1	3
5	с одной стороны и	1	3
6	дело в том что	1	3
7	есть не что иное	1	3
8	состоит в том что	1	2
9	заключается в том что	1	2
10	по самой своей природе	1	2
11	только после того как	1	2
12	одно и то же	7	2
13	одной и той же	4	2
14	одного и того же	2	2
15	тем не менее совершенно	1	1
16	только в том что	3	1
17	не только в том	1	1
18	языка в чем же	1	1
19	сама по себе не	1	1
20	в собственном смысле этого	1	1
21	и т д можно	1	1
22	в строгом смысле этого	1	1
23	по отношению к нему	1	1
24	в том что он	2	1
25	отчет в том что	1	1
26	стороны своего содержания как	1	1
27	до тех пор пока	2	1
28	не сам по себе	1	1
29	в том смысле что	2	1
30	того что в ней	1	1
31	а в том чтобы	1	1
32	и сам по себе	1	1
33	бы то ни было	1	1
34	тем не менее не	1	1
35	но вместе с тем	1	1
36	в большей или меньшей	1	1
37	само по себе это	1	1
38	то же время служит	1	1
39	заключается не только в	1	1
40	собственном смысле этого слова	1	1
41	том виде в каком	1	1
42	лишь в том что	1	1
43	них не было бы	1	1
44	разница только в том	1	1
45	в том виде в	1	1
46	он в то же	1	1
47	вовсе не в том	1	1
48	и той же области	1	1
49	не говоря уже о	1	1
50	достаточно для того чтобы	1	1
51	легко представить себе что	1	1
52	о том что можно	1	1
53	том смысле в каком	2	1
54	смысле может быть названо	1	1
