N	2gram	Vinokur_St	KulturaY
1	и т	36	143
2	т е	21	102
3	т п	11	93
4	и в	61	84
5	в том	56	74
6	потому что	13	68
7	не только	36	60
8	точки зрения	16	59
9	в этом	37	57
10	было бы	21	53
11	и не	23	52
12	может быть	16	47
13	что в	41	44
14	том что	49	44
15	того чтобы	15	44
16	т д	25	42
17	в самом	14	41
18	для того	15	41
19	у нас	12	38
20	хотя бы	8	37
21	самом деле	14	37
22	так как	7	36
23	с точки	10	36
24	в области	16	34
25	таким образом	16	33
26	а не	19	33
27	если бы	11	32
28	можно было	14	32
29	не в	15	30
30	и пр	4	30
31	в его	19	30
32	прежде всего	11	30
33	все же	12	29
34	не менее	8	28
35	того что	14	28
36	все эти	7	28
37	уже не	1	26
38	то что	27	25
39	русского языка	2	25
40	вовсе не	24	25
41	не может	10	25
42	вопрос о	9	24
43	с другой	11	24
44	еще не	4	24
45	то же	7	23
46	только в	11	23
47	так и	15	23
48	иными словами	1	22
49	тем не	4	21
50	по себе	3	20
51	во всяком	8	20
52	и что	8	20
53	но и	28	20
54	тем что	6	19
55	о том	30	19
56	речи в	1	19
57	обстоятельство что	4	19
58	что он	23	19
59	зависимости от	2	19
60	языка и	4	19
61	что же	6	19
62	всяком случае	8	19
63	но в	16	19
64	то обстоятельство	3	19
65	и с	6	18
66	с тем	3	18
67	к тому	9	18
68	в сущности	2	18
69	в качестве	7	18
70	связи с	3	18
71	между тем	7	18
72	вместе с	5	18
73	как бы	8	18
74	все это	13	18
75	в той	9	17
76	можно говорить	1	17
77	другой стороны	9	17
78	как это	6	17
79	что это	5	17
80	о языке	2	17
81	как раз	10	17
82	это не	8	17
83	в виду	6	16
84	в зависимости	2	16
85	что и	8	16
86	что не	3	16
87	тот же	2	16
88	ничего не	6	16
89	но не	5	16
90	при этом	4	15
91	именно в	8	15
92	в данном	16	15
93	как на	10	15
94	в нашем	1	15
95	том чтобы	1	15
96	не было	7	15
97	и тем	3	15
98	один из	1	15
99	по отношению	3	15
100	ни к	1	15
101	целый ряд	3	15
102	только потому	2	15
103	того как	8	15
104	а в	18	15
105	лишь в	3	15
106	в них	2	14
107	и на	7	14
108	сказать что	9	14
109	хотя и	4	14
110	что такое	2	14
111	я не	13	14
112	сих пор	12	14
113	в ней	9	14
114	до сих	13	14
115	если мы	1	14
116	как мы	1	14
117	мы имеем	2	14
118	также и	10	14
119	отношению к	3	14
120	что она	5	13
121	крайней мере	2	13
122	между прочим	10	13
123	в этой	13	13
124	там где	6	13
125	не случайно	1	13
126	не могут	2	13
127	в которых	5	13
128	по крайней	2	13
129	той же	5	13
130	для нас	7	13
131	это и	5	13
132	по существу	3	13
133	в пределах	1	13
134	и его	11	13
135	с этой	5	12
136	говорить о	3	12
137	в результате	5	12
138	но также	13	12
139	того же	4	12
140	ясно что	10	12
141	а только	1	12
142	вопроса о	3	12
143	этот вопрос	6	12
144	могут быть	5	12
145	тогда когда	1	12
146	как в	15	12
147	не трудно	4	12
148	этого слова	2	12
149	для этого	2	12
150	те же	1	11
151	должен быть	3	11
152	в своем	8	11
153	он не	11	11
154	в нем	9	11
155	и здесь	2	11
