N	3gram	Voloshinov	EvropaiE
1	с точки зрения	2	16
2	в то же	1	15
3	то же время	1	14
4	в отношении к	2	12
5	с одной стороны	2	8
6	в том что	4	6
7	одной стороны и	2	6
8	так же как	1	5
9	этой точки зрения	3	5
10	то ни было	3	4
11	бы то ни	3	4
12	и в этом	1	4
13	можно было бы	1	3
14	в этом смысле	1	3
15	же как и	1	3
16	во всяком случае	1	3
17	можно сказать что	5	3
18	и прежде всего	1	3
19	в этом отношении	1	3
20	каких бы то	1	2
21	и в частности	1	2
22	мы можем сказать	2	2
23	нам кажется что	1	2
24	но в то	1	2
25	не может быть	7	2
26	в данном случае	2	2
27	по себе не	1	2
28	в свою очередь	1	2
29	с другой стороны	2	2
30	в частности в	1	2
31	или хотя бы	1	2
32	как одно из	1	1
33	в противном случае	1	1
34	мы видели в	1	1
35	к которой принадлежит	1	1
36	следует отметить что	1	1
37	и та же	1	1
38	дело в том	4	1
39	на одну доску	1	1
40	же время не	1	1
41	в лучшем случае	1	1
42	но в процессе	1	1
43	а не к	1	1
44	но и в	1	1
45	тех или иных	1	1
46	поскольку они являются	1	1
47	то время как	1	1
48	уже и сейчас	1	1
49	и в своем	1	1
50	один и тот	1	1
51	мы увидим что	1	1
52	и не в	3	1
53	в том же	1	1
54	от того в	1	1
55	и тот же	1	1
56	хотя бы только	1	1
57	в пределах этого	1	1
58	в нем и	1	1
59	как не может	1	1
60	в то время	1	1
61	и притом с	1	1
62	более или менее	1	1
63	в значительной степени	1	1
64	не нужно думать	1	1
65	физические и химические	1	1
66	нужно думать что	1	1
67	к тому же	1	1
68	одна и та	1	1
69	может быть и	3	1
70	друг к другу	1	1
