N	2gram	Medvedev_U	RusskieA
1	и в	14	79
2	в том	2	64
3	том что	2	59
4	что в	1	57
5	не только	10	41
6	в этом	7	33
7	но и	4	31
8	как и	3	28
9	может быть	6	28
10	в этот	1	26
11	о том	1	23
12	это не	3	20
13	все это	5	18
14	с тем	1	17
15	таким образом	2	17
16	то что	7	17
17	об этом	1	17
18	мы не	2	16
19	и с	2	14
20	и что	1	14
21	и не	8	14
22	у нас	3	14
23	уже не	1	13
24	к этому	1	13
25	в некоторых	2	13
26	в которых	1	13
27	не может	7	13
28	тем что	2	12
29	этом случае	1	12
30	мы имеем	1	12
31	в виде	1	12
32	но это	2	11
33	далеко не	1	11
34	все же	3	10
35	между тем	2	10
36	что и	2	10
37	в течение	1	10
38	так и	1	10
39	по существу	2	10
40	то же	5	9
41	о чем	2	9
42	и все	1	9
43	данном случае	1	9
44	того как	1	9
45	но в	3	9
46	в г	1	9
47	но не	2	9
48	одно из	1	8
49	что по	1	8
50	их в	1	8
51	в россии	4	8
52	того что	1	8
53	ее в	1	8
54	в данном	1	8
55	не все	2	8
56	же в	1	8
57	должна была	2	7
58	в своем	1	7
59	не в	2	7
60	было бы	3	7
61	только в	2	7
62	связанные с	1	7
63	а не	10	7
64	до конца	1	7
65	ничего не	2	7
66	пишет в	1	7
67	для этого	3	7
68	же как	1	6
69	что этот	1	6
70	что она	2	6
71	в качестве	1	6
72	в таком	1	6
73	и у	2	6
74	в этой	4	6
75	в нем	1	6
76	приводит к	1	6
77	в их	4	6
78	она не	1	6
79	только для	1	5
80	входит в	1	5
81	с другой	4	5
82	не было	1	5
83	и др	1	5
84	в то	3	5
85	прежде всего	8	5
86	тогда когда	1	5
87	что он	2	5
88	то и	1	5
89	но если	1	5
90	и для	2	5
91	тот же	1	5
92	в его	2	5
93	или даже	1	5
94	и потому	1	5
95	отнюдь не	1	5
96	или по	1	4
97	не столько	2	4
98	в котором	1	4
99	она в	1	4
100	но он	1	4
101	что для	1	4
102	могут быть	2	4
103	полагая что	1	4
104	вряд ли	3	4
105	связанных с	1	4
106	его и	2	4
107	в ней	1	4
108	все что	1	3
109	в виду	1	3
110	более или	1	3
111	из самых	1	3
112	на первый	2	3
113	он был	1	3
114	только как	1	3
115	в различных	1	3
116	как на	1	3
117	что все	2	3
118	никогда не	1	3
119	с одной	1	3
120	только часть	1	3
121	и через	2	3
122	в которой	1	3
123	очевидно что	3	3
124	в области	3	3
125	и это	1	3
126	сих пор	2	3
127	сюда же	1	3
128	всех этих	2	3
129	до сих	2	3
130	то есть	1	3
131	из которых	1	3
132	сводится к	2	3
133	независимо от	1	3
134	если бы	2	3
135	их и	2	3
136	в своей	3	3
137	относятся к	1	3
138	на каждом	2	3
139	в отдельности	1	3
140	нет и	1	3
141	и то	3	3
142	что с	1	3
143	же не	2	3
144	ее к	1	3
145	по его	1	3
146	или менее	1	3
147	в период	1	3
148	на то	1	3
149	это в	1	3
150	несомненно что	1	2
151	не как	3	2
152	время не	1	2
153	нас в	2	2
154	другой стороны	3	2
155	но что	1	2
156	по себе	2	2
157	равно как	1	2
158	в ноги	1	2
159	живого человека	1	2
160	на эту	2	2
161	можно сказать	1	2
162	но даже	2	2
163	одной стороны	1	2
164	вот почему	7	2
165	сказать что	1	2
166	в противном	2	2
167	друг с	1	2
168	все в	1	2
169	и всей	1	2
170	должно быть	1	2
171	этой же	1	2
172	что при	1	2
173	что такое	4	2
174	у него	1	2
175	одним из	2	2
176	в конце	2	2
177	место и	1	2
178	мы можем	1	2
179	и даже	1	2
180	не связанных	1	2
181	он не	1	2
182	и является	2	2
183	его как	1	2
184	друг другу	1	2
185	в себе	2	2
186	не значит	1	2
187	не случайно	2	2
188	о которой	1	2
189	самом деле	2	2
190	и действительно	1	2
191	что такой	1	2
192	и так	1	2
193	поэзии и	1	2
194	состоять в	1	2
195	относится к	1	2
196	быть не	1	2
197	литературы в	1	2
198	с его	2	2
199	или просто	1	2
200	что ему	1	2
201	для него	3	2
202	этом отношении	2	2
203	представлений и	1	2
204	с другом	1	2
205	тем более	1	2
206	а как	2	2
207	в частности	3	2
208	в пределах	1	2
209	в той	1	1
210	что было	1	1
211	с которыми	1	1
212	в самом	2	1
213	оно все	1	1
214	еще раз	1	1
215	религии и	1	1
216	с момента	1	1
217	такой характер	1	1
218	только этот	1	1
219	формы в	3	1
220	думается что	2	1
221	отсюда как	1	1
222	если нет	1	1
223	случае он	1	1
224	и возвращается	1	1
225	форму и	2	1
226	мы и	2	1
227	его на	1	1
228	известно не	1	1
229	области в	1	1
230	обращение к	1	1
231	первый взгляд	1	1
232	наша задача	1	1
233	в первую	1	1
234	некоторыми другими	1	1
235	хотя бы	5	1
236	может служить	1	1
237	а между	2	1
238	превращается в	2	1
239	или точнее	3	1
240	не вполне	1	1
241	не приходится	2	1
242	почему и	1	1
243	него не	1	1
244	ее как	1	1
245	вообще мы	1	1
246	пишут и	1	1
247	то о	1	1
248	образом на	1	1
249	этого и	1	1
250	один пример	1	1
251	пишет он	2	1
252	почему в	1	1
253	они в	1	1
254	подходят к	1	1
255	мировоззрения и	1	1
256	такое понимание	1	1
257	не о	3	1
258	но для	1	1
259	в последние	1	1
260	к сожалению	3	1
261	не есть	2	1
262	даже не	1	1
263	в исторической	1	1
264	представляется нам	2	1
265	в сторону	2	1
266	по меньшей	1	1
267	вопроса о	2	1
268	остается в	1	1
269	формального порядка	1	1
270	которой и	1	1
271	очень часто	1	1
272	встречаются с	1	1
273	объясняется и	1	1
274	себя на	1	1
275	верно и	1	1
276	что никакого	1	1
277	он в	1	1
278	это для	1	1
279	бы ни	1	1
280	композиции и	2	1
281	имеет свою	1	1
282	еще одно	1	1
283	первую очередь	1	1
284	он уже	1	1
285	встречается у	1	1
286	переходит в	1	1
287	почти не	1	1
288	должна быть	2	1
289	для себя	1	1
290	впрочем в	1	1
291	мы получаем	2	1
292	как особую	1	1
293	природе и	1	1
294	сам по	1	1
295	и этого	1	1
296	не могут	2	1
297	если не	2	1
298	и роль	2	1
299	при более	1	1
300	меньшей мере	1	1
301	состоит из	1	1
302	много но	1	1
303	правда не	1	1
304	о котором	1	1
305	работ в	1	1
306	не входит	1	1
307	человека и	1	1
308	что мы	2	1
309	в значительной	1	1
310	споров о	1	1
311	как живой	1	1
312	находящихся в	1	1
313	материал не	2	1
314	у других	1	1
315	не без	1	1
316	еще один	1	1
317	изучение этого	1	1
318	и служит	1	1
319	из первых	1	1
320	только при	1	1
321	ночью в	1	1
322	он может	1	1
323	месте в	1	1
324	он впервые	1	1
325	интерес не	1	1
326	как раз	2	1
327	применение в	1	1
328	по композиции	2	1
329	обе эти	1	1
330	он называет	1	1
331	а это	1	1
332	он и	1	1
333	о нем	1	1
334	этих слов	1	1
335	смысле этого	2	1
336	слова а	1	1
337	и эта	1	1
338	по теории	1	1
339	от слова	1	1
340	мировоззрением и	1	1
341	но по	1	1
342	при таком	2	1
343	противном случае	2	1
344	это было	2	1
345	нового в	1	1
346	буквальном смысле	1	1
347	а где	1	1
348	которые могли	1	1
349	или какое-либо	1	1
350	есть ли	1	1
351	но такое	1	1
352	не следует	3	1
353	к которой	1	1
354	же самое	2	1
355	со своими	1	1
356	к изучению	1	1
357	идет не	1	1
358	надо было	2	1
