N	2gram	Vygotskiy_	Narrotol
1	не только	24	62
2	и не	19	50
3	при этом	11	47
4	но и	16	45
5	а не	16	38
6	в качестве	2	35
7	в частности	6	31
8	может быть	34	30
9	и в	55	30
10	в том	50	29
11	в этом	30	28
12	том что	46	28
13	а в	7	27
14	представляет собой	2	25
15	только в	12	25
16	состоит в	3	25
17	в данном	4	24
18	как и	9	24
19	не в	12	23
20	то что	69	23
21	то есть	16	22
22	не может	15	20
23	в рассказе	2	18
24	в себе	13	17
25	данном случае	4	17
26	так и	6	17
27	а также	1	17
28	со стороны	3	16
29	в его	8	16
30	к тому	12	15
31	можно сказать	4	15
32	и т.п	1	15
33	но в	7	15
34	иначе говоря	1	15
35	в жизни	2	14
36	и его	10	14
37	то же	16	13
38	в своей	8	13
39	уже не	1	13
40	о том	24	13
41	в своем	12	13
42	у него	9	13
43	времени и	5	13
44	все же	11	12
45	на протяжении	2	12
46	сводится к	7	12
47	как в	4	12
48	перед нами	5	12
49	как бы	33	12
50	прежде всего	6	12
51	по отношению	3	11
52	об этом	5	11
53	к себе	1	11
54	хотя и	1	11
55	если бы	21	11
56	и тем	6	11
57	в этой	15	11
58	в нем	13	11
59	героя в	3	11
60	в отличие	3	11
61	отличие от	3	11
62	тем самым	1	11
63	отношению к	2	11
64	один из	9	10
65	никогда не	15	10
66	тому же	4	10
67	точки зрения	15	10
68	между тем	4	10
69	как это	16	10
70	в то	6	10
71	и все	15	10
72	не является	3	10
73	жизни и	8	10
74	с его	6	10
75	ничего не	4	10
76	того что	12	10
77	но не	9	10
78	и т.д	1	10
79	как раз	19	9
80	той или	2	9
81	я в	1	9
82	столь же	3	9
83	что в	43	9
84	с ним	4	9
85	что он	30	9
86	еще не	6	9
87	потому что	48	9
88	во времени	2	9
89	для него	5	9
90	далеко не	4	9
91	в той	3	8
92	и к	5	8
93	в самом	18	8
94	в таком	4	8
95	о чем	4	8
96	не менее	1	8
97	матери и	1	8
98	большей части	1	8
99	не мог	1	8
100	одна из	6	8
101	он не	10	8
102	действующих лиц	9	8
103	и он	7	8
104	самом деле	17	8
105	того чтобы	43	8
106	внимание на	4	8
107	мы имеем	10	8
108	же время	2	8
109	и для	13	8
110	этом отношении	3	8
111	у нас	7	8
112	но при	1	8
113	у нее	1	8
114	или иной	2	8
115	в речи	1	7
116	имеет место	3	7
117	в котором	5	7
118	с другой	12	7
119	пока еще	1	7
120	едва ли	3	7
121	в ее	3	7
122	в конце	10	7
123	в чем	1	7
124	в силу	3	7
125	и на	12	7
126	в форме	2	7
127	же в	3	7
128	и состоит	1	7
129	в свою	3	7
130	это не	9	7
131	вслед за	3	7
132	в глазах	2	7
