N	3gram	Bakhtin_Pr	slovoVRo
1	и т п	10	72
2	не может быть	8	19
3	с чужим словом	5	18
4	то же время	13	18
5	в то же	13	18
6	той или иной	1	15
7	и его слово	2	15
8	с точки зрения	21	15
9	в отличие от	4	14
10	в узком смысле	2	14
11	в той или	1	13
12	в отношении к	3	12
13	в большинстве случаев	10	11
14	с одной стороны	1	11
15	во всех его	1	10
16	и т д	4	10
17	более или менее	4	9
18	в этом случае	1	9
19	в пределах одного	6	9
20	в зависимости от	5	8
21	т п в	1	8
22	во всяком случае	4	8
23	зрения на мир	4	7
24	в значительной степени	1	7
25	но в то	7	7
26	к своему предмету	2	6
27	последней смысловой инстанции	1	6
28	так и в	2	6
29	в одной плоскости	7	6
30	как мы сказали	3	6
31	и в то	2	6
32	не может не	1	6
33	в нем в	1	6
34	но все же	3	6
35	с другой стороны	6	6
36	большей или меньшей	2	6
37	к чужому слову	6	6
38	в том что	6	5
39	чужим словом и	1	5
40	по отношению к	12	5
41	хотя бы и	3	5
42	как мы уже	2	5
43	чужого слова в	3	5
44	не только в	2	5
45	а вовсе не	2	5
46	в этом отношении	3	5
47	может быть и	2	5
48	одной стороны и	1	4
49	точка зрения на	2	4
50	для того чтобы	1	4
51	в известной степени	1	4
52	можно прямо сказать	1	4
53	друг с другом	3	4
54	до сих пор	9	4
55	чужим словом в	3	4
56	в большей или	2	4
57	и не может	6	4
58	истории европейского романа	1	4
59	в его романах	1	4
60	в свою очередь	1	4
61	лишь тогда когда	1	4
62	своего и чужого	1	4
63	в пределах того	2	4
64	можно сказать что	2	4
65	таким образом в	1	4
66	в точном смысле	1	4
67	чужого слова и	3	4
68	в лучшем случае	2	4
69	с установкой на	1	4
70	или меньшей степени	2	4
71	у него нет	1	4
72	не могут быть	1	4
73	пределах того же	1	4
74	и в сущности	2	4
75	никогда не может	2	4
76	во всех сферах	1	4
77	и вне его	1	3
78	лежат в одной	1	3
79	прямо сказать что	1	3
80	до известной степени	1	3
81	с авторским словом	2	3
82	в собственном смысле	1	3
83	того или иного	1	3
84	может быть только	1	3
85	между этими двумя	1	3
86	человека и его	2	3
87	тех или иных	1	3
88	в данном случае	2	3
89	в пределах одной	1	3
90	по ту сторону	2	3
91	а затем и	1	3
92	как если бы	3	3
93	его слово в	1	3
94	в связи с	1	3
95	в самом предмете	3	3
96	сама по себе	5	3
97	к тому что	1	3
98	преломление авторских интенций	1	3
99	т п все	2	3
100	быть более или	2	3
101	в истории европейского	1	3
102	прямое авторское слово	3	3
103	в процессе его	1	3
104	в него свои	1	3
105	как и в	3	3
106	ориентация слова среди	1	3
107	и не в	1	3
108	как мы видели	1	3
109	героя и его	3	3
110	выходит за пределы	1	3
111	типы и разновидности	1	3
112	лишь одним из	2	3
113	одной плоскости с	4	3
114	в другом случае	1	3
115	в данную эпоху	1	3
116	он никогда не	1	2
117	рано или поздно	1	2
118	на авторскую речь	1	2
119	это не значит	3	2
120	авторское слово в	1	2
121	прямой и непосредственной	1	2
122	своими корнями в	1	2
123	и наконец в	2	2
124	в одном слове	3	2
125	как бы ни	1	2
126	и в другом	1	2
127	здесь не только	1	2
128	о которых мы	1	2
129	и во всех	1	2
130	тем не менее	2	2
131	значение рядом с	1	2
132	в нем новые	1	2
133	отношение к чужому	1	2
134	между материалом и	1	2
135	перестает быть тем	1	2
136	а между тем	1	2
137	в первом случае	1	2
138	одному и единому	1	2
139	п все это	1	2
140	могут быть весьма	2	2
141	они как бы	1	2
142	со всею ясностью	1	2
143	из одного в	1	2
144	и не могут	1	2
145	значит конечно что	2	2
146	может быть более	2	2
147	в нем не	1	2
148	от автора и	2	2
149	до некоторой степени	1	2
150	о том же	2	2
151	не только не	2	2
152	нужно сказать что	1	2
153	в маленьком масштабе	1	2
154	не укладывается в	1	2
155	одного в другой	1	2
156	но в этом	1	2
157	мир и на	2	2
158	в известном смысле	1	2
159	а не только	1	2
160	что он есть	2	2
161	и в том	1	2
162	и в этом	5	2
163	сих пор не	1	2
164	в том и	2	2
165	даже там где	2	2
166	хотя и не	3	2
