N	2gram	Losev_Prob	SlovoVZh
1	не может	14	16
2	может быть	39	14
3	точки зрения	14	14
4	как бы	11	13
5	и его	12	13
6	таким образом	13	12
7	и в	62	12
8	в нашем	13	11
9	и не	56	10
10	так как	14	9
11	если бы	9	9
12	прежде всего	13	8
13	для нас	23	7
14	сказать что	24	7
15	художественного произведения	14	7
16	все время	2	6
17	в ней	12	6
18	слова и	3	6
19	в том	35	6
20	в процессе	2	6
21	только в	33	6
22	в нем	13	6
23	при этом	9	6
24	и др	1	5
25	можно сказать	10	5
26	что мы	12	5
27	хотя бы	6	5
28	должна быть	1	5
29	то же	23	5
30	а не	28	5
31	в виду	20	5
32	то что	42	5
33	мы ни	4	5
34	в жизни	1	5
35	как и	15	5
36	как в	10	5
37	отнюдь не	16	5
38	том что	25	5
39	и следовательно	3	5
40	но в	17	5
41	никогда не	7	5
42	в самом	4	4
43	и к	9	4
44	в литературе	3	4
45	и на	4	4
46	не только	33	4
47	ни было	5	4
48	и является	6	4
49	на самом	13	4
50	за пределы	6	4
51	от того	2	4
52	его в	4	4
53	литературы и	2	4
54	мы все	5	4
55	с другой	14	4
56	не в	21	4
57	дело в	6	4
58	отношение к	1	4
59	что не	4	4
60	так и	16	4
61	уже не	12	4
62	жизни и	7	4
63	в этом	25	4
64	все же	10	4
65	зависимости от	3	4
66	к нему	3	4
67	бы то	5	3
68	как к	1	3
69	и с	11	3
70	ее и	2	3
71	до сих	4	3
72	это как	1	3
73	и более	6	3
74	в котором	3	3
75	и по	3	3
76	мы не	15	3
77	то ни	7	3
78	или не	1	3
79	для него	4	3
80	с ним	11	3
81	того что	10	3
82	быть и	3	3
83	когда он	2	3
84	тем не	23	3
85	имеет в	2	3
86	все это	9	3
87	ни в	17	3
88	в пределах	3	3
89	конечно не	3	3
90	по себе	36	3
91	так же	11	3
92	в них	6	3
93	из общего	1	3
94	в каком	9	3
95	этой точки	2	3
96	самом деле	6	3
97	только на	6	3
98	но для	3	3
99	в себе	23	3
100	произведения и	2	3
101	ясно что	11	3
102	художественном произведении	3	3
103	все эти	14	3
104	о том	14	3
105	в своей	8	3
106	здесь не	11	3
107	не менее	24	3
108	из этого	5	3
109	в художественном	5	3
110	в такой	1	3
111	нуждается в	1	3
112	да и	9	3
113	но и	20	3
114	бы мы	2	3
115	ведь и	1	3
116	и для	5	3
117	точка зрения	1	3
118	художественное произведение	9	3
119	и ее	7	3
120	и наконец	2	3
121	сих пор	4	3
122	и вообще	20	3
123	формы и	3	3
124	не к	2	3
125	еще не	12	3
126	что в	11	2
127	этих двух	1	2
128	все они	5	2
129	истории литературы	1	2
130	нет ничего	6	2
131	перестает быть	3	2
132	но это	13	2
133	не так	8	2
134	и потому	13	2
135	действия и	2	2
136	вместе со	1	2
137	и другие	4	2
138	смысл и	1	2
139	ни на	5	2
140	и то	17	2
141	ясность и	1	2
142	мы можем	11	2
143	и самое	1	2
144	в данном	14	2
145	в душе	1	2
146	произведение и	1	2
147	в то	18	2
148	еще раз	2	2
149	которые мы	5	2
150	как форма	1	2
151	и содержания	2	2
152	не сможем	1	2
153	сливается с	1	2
154	данном случае	12	2
155	нас и	2	2
156	зависит от	1	2
157	поскольку они	3	2
158	с одной	3	2
159	уже в	5	2
160	там где	1	2
161	в его	10	2
162	с этой	3	2
163	она не	3	2
164	это не	10	2
165	одной стороны	2	2
166	автора и	1	2
167	относится к	4	2
168	довлеет себе	1	2
169	дело с	3	2
170	с точки	9	2
171	мы имеем	7	2
172	и дает	1	2
173	была бы	2	2
174	искусства и	3	2
175	словом и	1	2
176	вещи и	9	2
177	нашего сознания	1	2
178	на него	3	2
179	тем как	1	2
180	всех моментов	1	2
181	кроме того	5	2
182	тогда когда	1	2
183	как это	4	2
184	но все	5	2
185	но зато	1	2
186	от этой	1	2
187	мы в	6	2
188	если же	4	2
189	содержания и	3	2
190	одно и	4	2
191	и та	1	2
192	из него	2	2
193	и что	9	2
194	что и	11	2
195	в отношении	4	2
196	структурой и	1	2
197	же самое	20	2
198	и значение	3	2
199	почти исключительно	1	2
200	конечно в	1	2
201	другой стороны	11	2
202	но отнюдь	2	2
203	и вполне	9	2
204	их живого	1	2
205	но что	3	2
206	что поэт	1	2
207	и те	1	2
208	в этих	6	2
209	есть уже	4	2
210	тому же	1	2
211	ней как	1	2
212	оно не	1	2
213	бы даже	3	2
214	а к	2	2
215	как же	3	2
216	и притом	7	2
217	соприкасается с	1	2
218	но этот	2	2
219	на это	1	2
220	имеем в	4	2
221	и здесь	8	2
222	как на	2	2
223	слова но	3	2
224	человеческого общества	1	2
225	и все	13	2
226	но не	6	2
227	общего с	3	2
228	быть только	1	2
229	речи в	2	2
230	его как	3	2
231	не есть	57	2
232	могут быть	2	2
233	значения и	1	2
234	героев и	1	2
235	с другими	6	2
236	до конца	1	2
237	не остается	1	2
238	стороны и	3	2
239	в своем	7	2
240	в какой	1	2
241	вместе с	3	2
242	между ними	1	2
243	в зависимости	3	2
244	к его	1	2
245	может стать	1	2
246	настоящее время	4	2
247	в атмосфере	1	2
248	бы оно	1	2
249	и так	1	2
250	формулу для	1	2
251	со словом	1	2
252	они ни	1	2
253	себя и	1	2
254	на все	1	2
255	формы то	1	2
256	является для	1	2
257	к этому	2	2
258	бы не	2	2
259	подчеркнуть что	1	2
260	между собой	3	2
261	он не	10	2
262	в условиях	7	2
263	независимо от	4	2
264	эта последняя	2	2
265	что слово	3	2
266	в чем	5	2
267	в настоящее	4	2
268	делает его	1	2
269	но мы	1	2
270	словами и	1	2
271	точку зрения	1	2
272	как только	3	2
273	едва ли	8	2
274	ничего не	4	2
275	возможна только	1	2
276	контекст и	2	2
277	бесконечное количество	13	1
278	та общность	1	1
279	все в	4	1
280	сказать то	1	1
281	на которую	3	1
282	к одному	1	1
283	остается в	1	1
284	уже во	2	1
285	жизнь и	3	1
286	себе в	5	1
287	себе оно	1	1
288	они являются	2	1
289	именно эту	1	1
290	то в	4	1
291	слова это	2	1
292	одним и	1	1
293	же деле	7	1
294	во всяком	14	1
295	она имеет	1	1
296	нам не	2	1
297	от него	2	1
298	это и	11	1
299	моменты жизни	1	1
300	что они	8	1
301	является в	3	1
302	которая ведь	1	1
303	не назван	1	1
304	положения и	1	1
305	каждый элемент	2	1
306	но можно	1	1
307	входя в	1	1
308	то он	3	1
309	случае оно	1	1
310	в искусстве	4	1
311	во всех	4	1
312	убедились что	1	1
313	никакое осмысленное	1	1
314	стороны к	1	1
315	до степени	1	1
316	только из	1	1
317	но сами	1	1
318	не является	19	1
319	когда имеется	1	1
320	а с	2	1
321	поэтому не	1	1
322	произведении как	1	1
323	только к	4	1
324	если оно	3	1
325	представителей этой	1	1
326	что оно	4	1
327	и он	3	1
328	имеет бесконечное	2	1
329	к другу	1	1
330	что современная	1	1
331	мы могли	4	1
332	это делает	1	1
333	по преимуществу	1	1
334	виду не	1	1
335	художественное значение	1	1
336	зрения на	2	1
337	на нечто	5	1
338	его форме	1	1
339	друг к	1	1
340	произведения с	1	1
341	смысле она	2	1
342	выходит за	2	1
343	является ее	1	1
344	так можно	1	1
345	овладеть этим	1	1
346	основе своей	1	1
347	все элементы	1	1
348	каких бы	1	1
349	на этом	1	1
350	является и	2	1
351	является таким	1	1
352	другие области	1	1
353	которой он	1	1
354	не имеют	4	1
355	бы но	1	1
356	само собой	3	1
357	не ради	1	1
358	то есть	63	1
359	поскольку мы	1	1
360	и политической	1	1
361	всех языках	1	1
362	должно быть	1	1
363	мы уже	4	1
364	к одной	2	1
365	к целому	1	1
366	ли он	1	1
367	нас не	6	1
368	значение и	7	1
369	и уж	2	1
370	это событие	1	1
371	даже и	33	1
372	и того	1	1
373	предмет в	1	1
374	и вот	1	1
375	от нее	2	1
376	вполне понятно	1	1
377	но при	1	1
378	является только	8	1
379	она в	2	1
380	в структуру	1	1
381	художественным произведением	3	1
382	таком понимании	2	1
383	героя в	2	1
384	особого рода	1	1
385	наметить хотя	1	1
386	в значительной	2	1
387	входит в	3	1
388	только и	9	1
389	только как	3	1
390	и почти	2	1
391	случае мы	1	1
392	что уже	1	1
393	того чтобы	4	1
394	не должен	1	1
395	он как	2	1
396	определенным образом	3	1
397	в основе	3	1
398	еще более	3	1
399	не должно	1	1
400	ту же	1	1
401	на основе	1	1
402	пределы слова	1	1
403	в другом	4	1
404	такой степени	1	1
405	тому как	2	1
406	несмотря на	4	1
407	но то	1	1
408	но эти	1	1
409	это только	2	1
410	вопросу о	1	1
411	теряет свой	1	1
412	что всякий	14	1
413	признать что	1	1
414	в теории	1	1
415	герой нашего	1	1
416	обстоит дело	1	1
417	во многих	1	1
418	на одно	2	1
419	большим трудом	1	1
420	содержание можно	1	1
421	второй план	1	1
422	или может	1	1
423	что это	3	1
424	обычно не	1	1
425	хотя и	9	1
426	конечно дело	1	1
427	оно является	1	1
428	и тогда	3	1
429	так называемые	1	1
430	форма не	1	1
431	близка к	1	1
432	это уже	4	1
433	ни была	2	1
434	о чем	4	1
435	мы должны	13	1
436	и соответствующие	3	1
437	точно и	1	1
438	в ее	6	1
439	и тем	16	1
440	кажется что	2	1
441	остается только	2	1
442	сам по	11	1
443	или просто	1	1
444	относится не	1	1
445	не требует	2	1
446	какой бы	2	1
447	бы только	2	1
448	в частности	4	1
449	говорит о	1	1
450	нашего времени	1	1
451	правда это	1	1
452	для нее	2	1
453	здесь на	2	1
454	и художественно	1	1
455	и больше	4	1
456	очередь тем	1	1
457	не как	1	1
458	однако эта	1	1
459	литературе и	1	1
460	со всей	1	1
461	длинный ряд	1	1
462	ни его	2	1
463	и вся	2	1
464	в слово	1	1
465	в качестве	10	1
466	весь круг	3	1
467	или иных	7	1
468	произведения но	1	1
469	ее нет	1	1
470	всех других	2	1
471	не хочет	1	1
472	в содержании	2	1
473	то мы	3	1
474	в науке	1	1
475	самом же	7	1
476	не обходится	2	1
477	в одном	4	1
478	в области	2	1
479	у нас	17	1
480	на которой	1	1
481	что каждый	1	1
482	художественный смысл	2	1
483	не переходя	1	1
484	можно было	7	1
485	вещами и	1	1
486	отражает предмет	1	1
487	входящего в	2	1
488	виду и	1	1
489	для их	1	1
490	и делает	1	1
491	бы они	1	1
492	кто не	1	1
493	однако он	1	1
494	же не	2	1
495	в результате	8	1
496	и это	11	1
497	здесь конечно	1	1
498	же он	1	1
499	как нечто	9	1
500	но чтобы	2	1
501	для них	4	1
502	более и	1	1
503	образом каждая	1	1
504	деле и	1	1
505	этом смысле	5	1
506	с ней	5	1
507	подобно тому	3	1
508	и тот	2	1
509	мы убедились	1	1
510	том и	1	1
511	далеко не	1	1
512	только то	4	1
513	и которые	1	1
514	уже и	2	1
515	не вполне	3	1
516	у него	1	1
517	без того	1	1
518	чем не	4	1
519	не на	2	1
520	движение и	1	1
521	в истории	4	1
522	не могут	1	1
523	все равно	6	1
524	по мнению	2	1
525	не существует	6	1
526	более широком	1	1
527	при помощи	13	1
528	в виде	20	1
529	чего же	4	1
530	свое значение	3	1
531	с метафорой	3	1
532	и явления	1	1
533	она особенно	1	1
534	полное и	1	1
535	речь но	1	1
536	там же	1	1
537	совершенно ясно	1	1
538	входят в	1	1
539	тот не	1	1
540	и общества	3	1
541	и независимо	2	1
542	отметить что	1	1
543	не нужным	1	1
544	всей его	2	1
545	со словами	1	1
546	для иллюстрации	1	1
547	мы здесь	2	1
548	произведение не	1	1
549	это один	1	1
550	не было	6	1
551	когда мы	24	1
552	идет речь	4	1
553	связи с	10	1
554	похожее на	1	1
555	которые употребляются	1	1
556	им в	1	1
557	каждая вещь	2	1
558	сами по	8	1
559	более или	2	1
560	рассматривать как	2	1
561	что является	2	1
562	и остается	1	1
563	здесь мы	5	1
564	с ее	5	1
565	время как	6	1
566	мы понимаем	1	1
567	было бы	14	1
568	это же	4	1
569	не знает	1	1
570	образом не	1	1
571	целого которое	1	1
572	к тому	4	1
573	связанные со	1	1
574	и общего	1	1
575	из двух	1	1
576	что можно	1	1
577	них всегда	1	1
578	они слишком	2	1
579	и можно	3	1
580	с таким	1	1
581	из нее	1	1
582	что здесь	5	1
583	равно как	2	1
584	историк литературы	1	1
585	отождествлять с	1	1
586	произведения в	2	1
587	и мы	1	1
588	его носителя	1	1
589	не нуждается	1	1
590	сомневается в	1	1
591	как мы	12	1
592	что нам	1	1
593	что она	5	1
594	самой своей	1	1
595	чем отличается	2	1
596	и о	8	1
597	на который	1	1
598	о самом	2	1
599	как его	1	1
600	что для	4	1
601	с первого	3	1
602	где они	1	1
603	если мы	24	1
604	он будет	2	1
605	тоже может	1	1
606	на одну	2	1
607	или о	1	1
608	тем же	2	1
609	от всего	3	1
610	и эта	1	1
611	но есть	1	1
612	представлять себе	2	1
613	и во	5	1
614	именно в	4	1
615	уже на	1	1
616	и всего	1	1
617	же для	1	1
618	нужно думать	1	1
619	то время	6	1
620	но эта	4	1
621	слов в	1	1
622	но несмотря	1	1
623	с большим	2	1
624	мы это	1	1
625	к другим	2	1
626	не можем	5	1
627	в таком	11	1
628	из трех	2	1
629	оно стало	1	1
630	предмет или	1	1
631	формы в	1	1
632	следующим образом	1	1
633	например в	1	1
634	сама по	11	1
635	само собою	1	1
636	тот же	1	1
637	вопросов касающихся	1	1
638	относительно всех	1	1
639	и связи	1	1
640	обойтись без	3	1
641	имеем дело	2	1
642	человек и	1	1
643	с которой	2	1
644	оно всегда	3	1
645	исследования является	1	1
646	и без	9	1
647	случае нельзя	2	1
648	процессе живого	1	1
649	себе с	1	1
650	это та	1	1
651	что все	2	1
652	как о	6	1
653	вопросов о	1	1
654	значение этих	1	1
655	себе не	2	1
656	анализа в	1	1
657	столь же	1	1
658	и она	2	1
659	есть в	6	1
660	же как	5	1
661	или даже	6	1
662	в порядке	3	1
663	деле это	1	1
664	рядом с	1	1
665	момент в	1	1
666	и прежде	3	1
667	слишком мало	1	1
668	но ту	1	1
669	выйти из	1	1
670	в слове	4	1
671	случае слово	1	1
672	следовательно уже	1	1
673	как будто	11	1
674	на второй	1	1
675	что именно	3	1
676	есть только	5	1
677	дальше и	1	1
678	ровно ничего	2	1
679	того если	1	1
680	даже ни	1	1
681	и всякого	2	1
682	но если	12	1
683	они не	1	1
684	является просто	1	1
685	и понимания	1	1
686	при таком	2	1
687	них и	1	1
688	ли кто-нибудь	1	1
689	структуру но	1	1
690	на себя	1	1
691	от его	4	1
692	опираться на	1	1
693	слова как	3	1
694	обходится без	2	1
695	тех или	10	1
696	все более	1	1
697	и являются	1	1
698	зрения и	1	1
699	чем мы	2	1
700	получить и	1	1
701	словесного контекста	1	1
702	и только	10	1
703	один и	2	1
704	всего современного	1	1
705	так называемая	1	1
706	по своей	1	1
707	именно эта	1	1
708	и художественного	1	1
709	пор мы	2	1
710	или иного	5	1
711	друг друга	5	1
712	но уже	4	1
713	для этой	1	1
714	себе как	4	1
715	к вопросу	1	1
716	более тонкое	1	1
717	для этого	9	1
718	так если	1	1
719	неодушевленные предметы	1	1
720	если она	1	1
721	себе и	4	1
722	и обратно	1	1
723	в особом	1	1
724	для одной	1	1
725	его значение	1	1
726	а эти	1	1
727	в смысле	2	1
728	не всегда	1	1
729	образом к	1	1
730	чтобы не	2	1
731	мы еще	3	1
732	является то	1	1
733	не нужно	2	1
734	она как	1	1
