N	3gram	Vinokur_Ku	OGranits
1	с точки зрения	16	5
2	не может быть	5	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	одно и то	1	3
6	по отношению к	8	3
7	в том что	23	2
8	то же слово	1	2
9	ничего общего с	2	2
10	не что иное	2	2
11	того или иного	5	2
12	в зависимости от	7	2
13	в данном случае	1	2
14	истории языка и	1	2
15	и то же	1	2
16	есть не что	1	2
17	социального общения и	2	2
18	в самом деле	14	2
19	что иное как	2	2
20	в пределах данной	1	2
21	с одной стороны	2	2
22	с другой стороны	12	2
23	в узком смысле	2	1
24	на самом деле	3	1
25	собственном смысле слова	1	1
26	в особенности в	1	1
27	и может и	1	1
28	все то что	1	1
29	может быть не	1	1
30	том основании что	1	1
31	чуть ли не	3	1
32	на основе такого	1	1
33	иметь в виду	1	1
34	языка но в	1	1
35	отношение к слову	1	1
36	но может быть	1	1
37	на том основании	1	1
38	между тем как	1	1
39	в конечном счете	2	1
40	в одном ряду	1	1
41	в области лингвистики	1	1
42	и пр с	1	1
43	так же как	3	1
44	что в ней	1	1
45	такие явления как	1	1
46	тех или иных	1	1
47	на то что	3	1
48	для того чтобы	21	1
49	только потому что	11	1
50	с этим словом	1	1
51	том что в	1	1
52	может быть это	1	1
53	постановка вопроса о	2	1
54	можно говорить о	2	1
55	связи с понятием	1	1
56	к слову в	1	1
57	это особенно ясно	1	1
58	хотя бы в	4	1
59	социальной борьбы и	1	1
60	то или иное	2	1
61	в последнее время	1	1
62	в собственном смысле	1	1
63	что в этом	1	1
64	тех случаях когда	2	1
65	в отличие от	3	1
66	этой точки зрения	4	1
67	узком смысле слова	1	1
68	роковую роль в	1	1
69	все же есть	1	1
70	говорить и о	2	1
71	само собою разумеется	1	1
72	как и в	1	1
73	в связи с	4	1
74	грамматики и стилистики	1	1
75	а вовсе не	1	1
76	к тому что	2	1
77	с ними и	1	1
78	та или иная	1	1
79	все же остается	1	1
80	тем не менее	9	1
81	все равно не	1	1
82	несмотря на все	1	1
83	только то что	1	1
84	эту точку зрения	1	1
85	и в его	1	1
86	в предисловии к	1	1
87	что же такое	1	1
88	в этом отношении	8	1
89	своего времени в	1	1
90	то же время	4	1
91	далеко не всегда	1	1
92	что он называет	1	1
93	не должно быть	1	1
94	более или менее	3	1
95	в то же	4	1
96	языковых средств в	1	1
97	само по себе	6	1
98	прежде всего в	1	1
99	и в области	1	1
100	с этой точки	3	1
101	можно было бы	11	1
102	те или иные	2	1
103	но не менее	1	1
104	в языке столь	1	1
105	в тех случаях	2	1
106	но что же	1	1
107	и вместе с	1	1
108	состоит в том	4	1
109	на философию и	1	1
110	потому что они	1	1
111	том что язык	1	1
112	а также и	1	1
113	может быть и	1	1
