N	2gram	Tiupa_Vved	SlovoVZh
1	не может	14	16
2	может быть	25	14
3	точки зрения	1	14
4	как бы	8	13
5	и его	9	13
6	таким образом	6	12
7	и в	23	12
8	отношению к	11	11
9	по отношению	11	11
10	в нашем	9	11
11	и не	24	10
12	если бы	10	9
13	прежде всего	11	8
14	для нас	4	7
15	сказать что	1	7
16	в ней	5	6
17	слова и	3	6
18	с помощью	1	6
19	в том	21	6
20	в процессе	1	6
21	только в	9	6
22	в нем	9	6
23	при этом	43	6
24	и др	2	5
25	можно сказать	6	5
26	что мы	2	5
27	героя и	5	5
28	хотя бы	2	5
29	должна быть	3	5
30	то же	8	5
31	а не	31	5
32	в виду	3	5
33	то что	9	5
34	мы ни	1	5
35	в жизни	7	5
36	как и	21	5
37	как в	8	5
38	отнюдь не	14	5
39	том что	16	5
40	но в	14	5
41	никогда не	6	5
42	в самом	6	4
43	и к	2	4
44	к автору	1	4
45	высказывания как	3	4
46	в литературе	2	4
47	и на	5	4
48	не только	32	4
49	на самом	5	4
50	как если	1	4
51	его в	1	4
52	с другой	10	4
53	не в	12	4
54	дело в	1	4
55	отношение к	5	4
56	что не	2	4
57	так и	14	4
58	уже не	7	4
59	жизни и	8	4
60	в этом	27	4
61	все же	10	4
62	зависимости от	1	4
63	к нему	2	4
64	как к	1	3
65	и с	2	3
66	ее и	2	3
67	к герою	1	3
68	и более	5	3
69	в котором	11	3
70	автору и	1	3
71	и по	3	3
72	так называемой	2	3
73	мы не	6	3
74	или не	3	3
75	между тем	3	3
76	для него	5	3
77	отношении к	1	3
78	с ним	3	3
79	того что	7	3
80	быть и	2	3
81	и уже	1	3
82	тем не	3	3
83	имеет в	1	3
84	все это	3	3
85	с автором	1	3
86	в пределах	3	3
87	по себе	2	3
88	так же	2	3
89	в них	4	3
90	самом деле	6	3
91	только на	2	3
92	но для	1	3
93	в себе	15	3
94	с окружающей	1	3
95	ясно что	2	3
96	все эти	1	3
97	о том	7	3
98	в своей	10	3
99	и герой	1	3
100	здесь не	2	3
101	не менее	4	3
102	из этого	1	3
103	в художественном	1	3
104	нуждается в	1	3
105	да и	3	3
106	но и	31	3
107	бы мы	2	3
108	и для	8	3
109	точек зрения	2	3
110	точка зрения	3	3
111	на границе	1	3
112	и ее	2	3
113	и наконец	2	3
114	и вообще	1	3
115	не к	4	3
116	внутренней речи	1	3
117	еще не	8	3
118	в особенности	3	2
119	что в	6	2
120	все они	2	2
121	истории литературы	1	2
122	нет ничего	2	2
123	перестает быть	1	2
124	но это	4	2
125	не так	1	2
126	и потому	2	2
127	действия и	1	2
128	смысл и	1	2
129	и то	1	2
130	опираясь на	1	2
131	мы можем	2	2
132	в данном	22	2
133	в то	5	2
134	еще раз	1	2
135	по природе	2	2
136	которые мы	1	2
137	слово это	2	2
138	к слову	1	2
139	данном случае	15	2
140	в событии	6	2
141	зависит от	3	2
142	с одной	9	2
143	уже в	2	2
144	там где	1	2
145	в его	9	2
146	это не	7	2
147	одной стороны	9	2
148	автора и	1	2
149	относится к	1	2
150	как уже	1	2
151	дело с	4	2
152	мы имеем	8	2
153	на него	3	2
154	в формах	1	2
155	как это	2	2
156	те же	2	2
157	их близости	1	2
158	жизненной ситуации	1	2
159	но зато	1	2
160	если же	1	2
161	одно и	1	2
162	и та	1	2
163	общения и	1	2
164	из него	2	2
165	и что	2	2
166	что и	6	2
167	в отношении	1	2
168	в форме	1	2
169	же самое	2	2
170	другой стороны	3	2
171	но отнюдь	1	2
172	и вполне	1	2
173	в этих	5	2
174	тому же	6	2
175	связь с	1	2
176	оно не	2	2
177	а к	3	2
178	и притом	3	2
179	общей для	1	2
180	к ним	4	2
181	и здесь	2	2
182	слова но	2	2
183	эти моменты	1	2
184	и все	8	2
185	кругозора и	1	2
186	в комнате	1	2
187	но не	9	2
188	быть только	2	2
189	не есть	2	2
190	могут быть	5	2
191	и оценки	1	2
192	значения и	2	2
193	с другими	1	2
194	до конца	5	2
195	стороны и	4	2
196	в своем	9	2
197	в корне	1	2
198	в какой	4	2
199	имеет место	6	2
200	вместе с	2	2
201	между ними	1	2
202	место в	2	2
203	в зависимости	1	2
204	к его	5	2
205	настоящее время	1	2
206	говорящего но	1	2
207	бы оно	1	2
208	и так	1	2
209	до известной	1	2
210	с его	1	2
211	себя и	1	2
212	его к	1	2
213	известной степени	1	2
214	к этому	3	2
215	бы не	3	2
216	подчеркнуть что	5	2
217	между собой	2	2
218	он не	6	2
219	определить его	1	2
220	эта последняя	1	2
221	на материале	1	2
222	в чем	2	2
223	в настоящее	1	2
224	и совершенно	1	2
225	им не	1	2
226	точку зрения	2	2
227	едва ли	4	2
228	ничего не	3	2
229	жизнью и	1	2
230	более того	1	2
231	зрительный образ	2	1
232	ситуации и	4	1
233	на которую	1	1
234	к одному	2	1
235	это на	1	1
236	жизнь и	1	1
237	себе в	1	1
238	то в	1	1
239	слова это	1	1
240	во всяком	3	1
241	нам не	1	1
242	это и	1	1
243	и тех	1	1
244	что они	2	1
245	видели в	1	1
246	его и	1	1
247	положения и	1	1
248	то он	2	1
249	в искусстве	1	1
250	во всех	2	1
251	события а	1	1
252	восприятия и	2	1
253	но сами	1	1
254	не является	7	1
255	а с	4	1
256	только к	1	1
257	и он	4	1
258	этой задачи	1	1
259	это делает	1	1
260	та же	1	1
261	общения в	1	1
262	было в	2	1
263	с самого	1	1
264	приближается к	1	1
265	и автора	1	1
266	только а	1	1
267	опирается на	1	1
268	так можно	1	1
269	которой было	1	1
270	основе своей	2	1
271	на этом	1	1
272	является и	1	1
273	сказано в	1	1
274	них в	1	1
275	которой он	1	1
276	мы воспринимаем	1	1
277	и было	1	1
278	не подлежащее	1	1
279	и героев	1	1
280	необходимо все	1	1
281	то есть	13	1
282	становится лишь	1	1
283	художественного высказывания	2	1
284	близкого к	1	1
285	к одной	2	1
286	и уж	1	1
287	мы увидим	1	1
288	это событие	1	1
289	и который	2	1
290	следует ли	1	1
291	и того	3	1
292	действительно является	1	1
293	и вот	3	1
294	все остальные	1	1
295	от нее	1	1
296	зрения как	1	1
297	это особый	2	1
298	в произведении	1	1
299	но при	7	1
300	она в	2	1
301	героя в	3	1
302	в свою	5	1
303	в значительной	2	1
304	нам удалось	1	1
305	входит в	2	1
306	случае мы	1	1
307	является следствием	1	1
308	того чтобы	2	1
309	не должен	2	1
310	он как	1	1
311	определенным образом	1	1
312	в основе	6	1
313	и их	1	1
314	так думать	1	1
315	одна и	1	1
316	еще более	2	1
317	и иных	1	1
318	на основе	2	1
319	в другом	2	1
320	встреча в	1	1
321	словесного творчества	2	1
322	тому как	3	1
323	несмотря на	2	1
324	но эти	1	1
325	это только	3	1
326	в хоровой	1	1
327	которой принадлежит	1	1
328	герой и	3	1
329	себя роль	1	1
330	это часто	1	1
331	на протяжении	2	1
332	герой нашего	1	1
333	поле зрения	1	1
334	обстоит дело	1	1
335	второй план	1	1
336	что это	2	1
337	в противном	2	1
338	хотя и	10	1
339	и особенности	1	1
340	этом отношении	7	1
341	и точек	1	1
342	это уже	2	1
343	о чем	4	1
344	мы должны	1	1
345	и соответствующие	1	1
346	на другое	1	1
347	позиции автора	1	1
348	в ее	1	1
349	и тем	3	1
350	оно становится	1	1
351	и т.п	14	1
352	она стала	1	1
353	кажется что	1	1
354	нашем случае	3	1
355	или просто	1	1
356	в частности	19	1
357	говорит о	1	1
358	нашего времени	2	1
359	для нее	1	1
360	не как	2	1
361	аналогии с	2	1
362	окружающей его	1	1
363	и вся	3	1
364	в особых	2	1
365	за ее	1	1
366	в качестве	18	1
367	потому не	2	1
368	его смысла	2	1
369	в науке	1	1
370	не обходится	1	1
371	далее мы	1	1
372	в одном	5	1
373	в области	5	1
374	у нас	4	1
375	частности в	2	1
376	можно было	2	1
377	в приведенном	2	1
378	же не	1	1
379	высказывания в	1	1
380	классической и	1	1
381	в результате	5	1
382	важно не	2	1
383	и это	2	1
384	позицию в	1	1
385	же он	1	1
386	этом направлении	2	1
387	сводится к	6	1
388	для них	3	1
389	в игру	1	1
390	и создает	1	1
391	не бывает	1	1
392	значительной степени	2	1
393	по мере	2	1
394	этом смысле	1	1
395	с ней	1	1
396	участие в	1	1
397	подобно тому	3	1
398	во времени	2	1
399	и тот	1	1
400	далеко не	5	1
401	в современной	7	1
402	не вполне	4	1
403	у него	8	1
404	так не	1	1
405	не на	3	1
406	в истории	1	1
407	не могут	1	1
408	все равно	2	1
409	же время	4	1
410	не существует	3	1
411	говорить и	2	1
412	в виде	1	1
413	знания и	1	1
414	свое значение	1	1
415	из одного	1	1
416	о литературе	1	1
417	к которой	2	1
418	речь но	1	1
419	в обоих	3	1
420	здесь имеет	1	1
421	у нее	4	1
422	самого начала	1	1
423	еще один	3	1
424	непосредственно к	1	1
425	нуждаются в	1	1
426	свою очередь	5	1
427	всей его	2	1
428	в конечном	2	1
429	со словами	1	1
430	смысл высказывания	1	1
431	произведение не	1	1
432	предполагает в	1	1
433	не было	5	1
434	связи с	2	1
435	автора с	1	1
436	сами по	1	1
437	более или	2	1
438	некоторого события	1	1
439	материал для	1	1
440	он имеет	1	1
441	все то	1	1
442	что является	1	1
443	здесь мы	2	1
444	с ее	3	1
445	зрения вполне	1	1
446	того кто	1	1
447	мы понимаем	1	1
448	было бы	4	1
449	не знает	2	1
450	к тому	9	1
451	так называемую	1	1
452	не сливаются	1	1
453	что можно	1	1
454	наблюдений над	1	1
455	и можно	1	1
456	с таким	1	1
457	более глубокую	1	1
458	из нее	1	1
459	что здесь	1	1
460	героя с	2	1
461	сознания не	2	1
462	и глубоко	1	1
463	не получил	1	1
464	так называемый	1	1
465	и мы	1	1
466	как мы	5	1
467	это мы	1	1
468	герою но	1	1
469	которой можно	1	1
470	миром и	1	1
471	что она	2	1
472	самой своей	1	1
473	по аналогии	4	1
474	и о	4	1
475	слова с	1	1
476	на который	1	1
477	о самом	1	1
478	этого нельзя	1	1
479	всегда имеет	1	1
480	как его	2	1
481	что для	2	1
482	если мы	1	1
483	тем же	1	1
484	наряду с	2	1
485	и во	2	1
486	именно в	1	1
487	только одна	1	1
488	этого события	2	1
