N	4gram	Losev_Vesc	Problemy
1	в то же время	4	26
2	но в то же	1	11
3	и в то же	3	7
4	бы то ни было	12	6
5	в том что он	2	5
6	в то время как	4	3
7	одно и то же	5	3
8	дело в том что	4	2
9	чего бы то ни	2	2
10	и в этом отношении	1	2
11	какой бы то ни	1	2
12	какого бы то ни	2	1
13	на самом же деле	1	1
14	в том или другом	2	1
15	до самого последнего времени	1	1
16	к себе как к	2	1
17	что с точки зрения	1	1
18	с одной стороны и	1	1
19	она резко отличается от	1	1
20	каких бы то ни	1	1
21	с самим собою в	1	1
22	что она уже не	1	1
23	и быть не может	1	1
24	но даже и не	1	1
25	иначе и быть не	1	1
26	а в том что	1	1
27	не может быть и	1	1
28	если бы оно было	1	1
29	что бы то ни	1	1
30	одного и того же	1	1
31	и вместе с тем	1	1
32	в том что это	1	1
33	один и тот же	1	1
34	и в самом деле	1	1
35	в самом деле не	1	1
36	заключается в том что	2	1
37	все новые и новые	1	1
38	и есть то что	1	1
39	в самом деле в	1	1
40	с точки зрения этого	1	1
41	и т д и	11	1
42	само по себе но	1	1
43	самим собою т е	1	1
44	что он не есть	1	1
45	тут не может быть	1	1
46	может быть и речи	1	1
47	подобно тому как в	1	1
48	и не потому что	1	1
