N	3gram	Bakhtin_Fr	Otkroven
1	у него в	2	5
2	от него и	1	4
3	к человеку и	1	4
4	с тем что	1	2
5	в этом мире	1	2
6	никогда не было	1	2
7	как и все	1	2
8	но и в	2	2
9	и в этом	1	2
10	что у него	2	2
11	сам по себе	2	1
12	но от этого	1	1
13	и не быть	1	1
14	о том что	4	1
15	в том что	4	1
16	есть не только	1	1
17	ни с какими	1	1
18	в нем все	1	1
19	и то что	1	1
20	для него также	1	1
21	и все что	1	1
22	в этих словах	1	1
23	как и в	2	1
24	то что в	2	1
25	в самом деле	3	1
26	чувств и мыслей	1	1
27	и не в	1	1
28	смысле этого слова	1	1
29	во всяком случае	1	1
30	кого не было	1	1
31	и в самом	1	1
32	это не есть	1	1
33	в другом месте	3	1
34	как бы в	1	1
35	и в его	2	1
36	вместо того чтобы	2	1
37	о бессмертии души	1	1
38	о том как	3	1
39	в эпоху возрождения	1	1
40	человеку и его	1	1
41	и прежде всего	2	1
42	в этом отношении	3	1
43	и все это	2	1
44	то он должен	1	1
45	в строгом смысле	1	1
46	в глубь человеческого	1	1
47	у кого не	1	1
48	чем в других	1	1
49	было для него	1	1
50	том что в	1	1
51	прежде всего в	4	1
52	и в том	1	1
53	говорят о том	1	1
54	нужно отметить что	1	1
55	после того как	6	1
56	никто не может	2	1
57	от всех тех	1	1
58	не в силах	1	1
59	друг к другу	1	1
