N	4gram	Vinokur_Ku	Freidism
1	в то же время	4	6
2	но во всяком случае	1	3
3	одной и той же	1	3
4	заключается в том что	2	2
5	в зависимости от того	1	2
6	в том что она	1	2
7	и пр и пр	2	2
8	в том что он	3	2
9	в узком смысле слова	1	2
10	и тем не менее	4	2
11	бы то ни было	1	2
12	чтобы ответить на этот	1	1
13	в самом деле можно	1	1
14	конечно и все те	1	1
15	самом деле можно ли	1	1
16	уже не может быть	2	1
17	было бы гораздо более	1	1
18	что с точки зрения	1	1
19	мы имеем в виду	1	1
20	на это дает сам	1	1
21	сводится к тому чтобы	1	1
22	только потому что оно	1	1
23	иметь в виду их	1	1
24	ответ на это дает	1	1
25	одно и то же	1	1
26	ответить на этот вопрос	1	1
27	дело в том что	1	1
28	с помощью которого они	1	1
29	и политическая революция в	1	1
30	которую можно было бы	1	1
31	не что иное как	2	1
32	и в то же	1	1
33	ответ на этот вопрос	1	1
34	в собственном смысле слова	1	1
35	есть не что иное	1	1
