N	3gram	Trubetskoy	VeschiIm
1	не может быть	1	24
2	бы то ни	2	12
3	то ни было	2	12
4	тем не менее	3	11
5	по крайней мере	5	10
6	в том что	3	9
7	в самом деле	1	7
8	на то что	2	7
9	по сравнению с	2	7
10	с точки зрения	6	6
11	так или иначе	3	6
12	в свою очередь	1	5
13	в то же	2	5
14	не потому что	1	5
15	о том как	1	4
16	этой точки зрения	2	4
17	с этой точки	2	4
18	в то время	1	4
19	более или менее	5	4
20	не только не	1	4
21	о том что	4	4
22	это и есть	1	4
23	то же время	2	4
24	мы видели что	1	3
25	вместе с тем	8	3
26	что это есть	1	3
27	указывает на то	1	3
28	можно сказать что	2	3
29	свидетельствует о том	1	3
30	сами по себе	1	3
31	то не только	1	3
32	и в то	1	3
33	есть как бы	2	3
34	не указывает на	1	3
35	не может не	1	3
36	только то что	1	3
37	с одной стороны	7	3
38	с другой стороны	1	3
39	так же как	3	2
40	то что он	2	2
41	в одном и	1	2
42	а так как	3	2
43	мы видим что	1	2
44	в данном случае	1	2
45	не имеет никакого	1	2
46	а следовательно и	1	2
47	для того чтобы	5	2
48	крайней мере в	1	2
49	и что она	1	2
50	или по крайней	1	2
51	и есть то	1	2
52	друг с другом	5	2
53	в том или	1	2
54	в первом случае	1	2
55	в конце концов	3	2
56	и таким образом	3	2
57	то ясно что	2	2
58	в связи с	3	2
59	но все же	4	2
60	во всяком случае	6	2
61	в этом отношении	2	2
62	на более мелкие	1	2
63	и в этом	2	2
64	и в смысле	1	2
65	только тогда когда	1	2
66	к нему именно	1	1
67	психологической точки зрения	1	1
68	есть ли это	1	1
69	совершенно самостоятельные и	1	1
70	и потому что	2	1
71	принято во внимание	1	1
72	и том же	1	1
73	такое положение дела	2	1
74	есть один из	1	1
75	все что мы	1	1
76	и только в	1	1
77	которым они относятся	1	1
78	так как по	1	1
79	из двух или	1	1
80	и в результате	1	1
81	то или иное	2	1
82	один и тот	1	1
83	и не потому	1	1
84	в одном смысле	1	1
85	с тем или	1	1
86	от нее не	1	1
87	и тот же	1	1
88	что и в	1	1
89	не в том	1	1
90	но и всякий	1	1
91	станет ясным что	1	1
92	но совершенно ясно	1	1
93	в себе не	1	1
94	если подойти к	1	1
95	до сих пор	5	1
96	именно потому что	1	1
97	одного и того	1	1
98	а не живая	1	1
99	смысле этого слова	1	1
100	что все эти	1	1
101	речь идет о	1	1
102	можно только в	1	1
103	и вместе с	4	1
104	что так или	1	1
105	к которым они	1	1
106	и того же	1	1
107	а потому что	1	1
108	ничем не отличаются	1	1
109	но в то	1	1
110	а в том	1	1
111	ни на какие	1	1
112	одно из двух	1	1
113	с тем что	1	1
114	чтобы она была	1	1
115	и сил на	1	1
116	ясно что и	1	1
117	то же самое	2	1
118	и все же	1	1
119	с тех пор	2	1
120	что эти явления	1	1
121	что именно надо	1	1
122	несмотря на все	1	1
123	и что он	1	1
124	тех пор как	1	1
125	это однако не	1	1
126	с ними в	1	1
127	на этой точке	1	1
128	одном и том	1	1
129	при таких условиях	1	1
130	но и для	2	1
131	еще и потому	1	1
132	может быть и	2	1
