N	2gram	Bakhtin_Pr	Russkaja
1	не может	27	22
2	и не	42	19
3	в этом	15	17
4	в том	8	17
5	и в	38	14
6	то что	8	13
7	таким образом	10	11
8	то же	5	11
9	точки зрения	8	11
10	но и	9	10
11	же время	3	10
12	в то	4	10
13	не только	9	9
14	с точки	6	9
15	том что	3	9
16	может быть	26	9
17	в себе	4	9
18	прежде всего	13	8
19	того чтобы	2	8
20	ни к	2	7
21	самом деле	6	7
22	к тому	1	7
23	о том	4	7
24	в данном	4	7
25	и если	1	7
26	мы должны	2	7
27	и с	17	7
28	отнюдь не	19	7
29	и к	3	6
30	для всех	1	6
31	если в	1	6
32	и при	2	6
33	для него	1	6
34	все это	3	6
35	на самом	4	6
36	в своих	2	6
37	если бы	3	6
38	и для	11	6
39	в россии	2	6
40	с тем	1	6
41	что он	2	6
42	для того	2	6
43	к которой	1	6
44	в своем	5	6
45	до сих	1	5
46	и на	3	5
47	из которых	2	5
48	только в	13	5
49	или иной	2	5
50	по существу	2	5
51	в своей	7	5
52	жизни в	1	5
53	себя и	3	5
54	во всех	11	5
55	сих пор	1	5
56	и только	4	5
57	вопрос о	1	5
58	хотя бы	4	5
59	в нем	15	5
60	между тем	7	5
61	он не	3	5
62	а между	1	5
63	конечно не	5	5
64	а в	6	5
65	при этом	5	5
66	было бы	8	5
67	на то	2	5
68	он должен	2	5
69	никогда не	5	5
70	что в	7	4
71	во всем	2	4
72	бы то	3	4
73	все что	3	4
74	возможно лишь	1	4
75	к этой	1	4
76	в его	43	4
77	недостатки и	1	4
78	не могут	2	4
79	его в	9	4
80	не в	7	4
81	лишь к	1	4
82	в корне	2	4
83	вместе с	1	4
84	как и	7	4
85	в мире	3	4
86	все же	6	4
87	приводит к	3	4
88	в их	10	4
89	к вопросу	1	4
90	себе и	1	4
91	ли это	1	4
92	то ни	3	4
93	можно было	4	4
94	в совершенно	1	4
95	а лишь	2	4
96	идет речь	1	4
97	как бы	22	4
98	в этой	1	4
99	себя в	2	4
100	жизни и	1	4
101	но не	12	4
102	в самом	7	3
103	то в	1	3
104	что оно	2	3
105	данном случае	4	3
