N	3gram	Nazirov_Tr	Formalny
1	не может быть	1	29
2	то же время	5	20
3	в то же	5	20
4	и т п	1	18
5	в связи с	1	16
6	во всяком случае	1	16
7	в самом деле	1	11
8	так и в	3	11
9	и не может	1	9
10	в применении к	1	7
11	в высшей степени	1	7
12	и в этом	1	7
13	в том что	2	6
14	сам по себе	1	6
15	в данном случае	2	6
16	не только не	1	6
17	смысле этого слова	1	6
18	в отличие от	2	5
19	к тому что	1	5
20	в этом романе	1	5
21	в той же	1	4
22	тем не менее	1	4
23	в конце концов	1	4
24	не могут быть	1	4
25	но все же	2	4
26	как и все	1	4
27	с самого начала	1	4
28	и до конца	1	4
29	обстоит дело с	1	3
30	вместо того чтобы	1	3
31	с тем и	1	3
32	и в дальнейшем	2	3
33	и в частности	2	3
34	но в то	2	3
35	с начала и	1	3
36	начала и до	1	3
37	между этими двумя	2	3
38	отнюдь не является	1	2
39	в известной степени	1	2
40	хотя бы и	1	2
41	но при этом	1	2
42	в своей книге	1	2
43	и все же	1	2
44	связаны между собой	1	2
45	как и в	1	2
46	в этом случае	1	2
47	и в истории	1	2
48	что он не	1	1
49	в жизнь и	1	1
50	и как бы	2	1
51	по-видимому не было	1	1
52	самостоятельное значение и	1	1
53	что в ней	1	1
54	то что он	1	1
55	по сравнению с	1	1
56	но и на	1	1
57	романа и его	1	1
58	прежде всего необходимо	1	1
59	вместе с ними	1	1
60	создается впечатление что	1	1
61	и должна быть	1	1
62	и не могли	1	1
63	это не просто	1	1
64	и вместе с	1	1
65	это было в	1	1
66	может быть понят	1	1
67	в самой природе	1	1
68	и с тем	1	1
69	как своего рода	1	1
70	друг друга и	1	1
71	за то что	1	1
72	это может быть	1	1
73	в чем же	1	1
74	о том что	2	1
75	и в самом	2	1
76	мы бы сказали	1	1
77	естественно что при	1	1
78	но и ко	1	1
79	все в этом	1	1
80	так обстоит дело	1	1
81	все же не	1	1
82	не является необходимой	1	1
83	отметить что в	1	1
84	и при этом	1	1
85	в таком виде	1	1
86	сводится только к	1	1
87	объясняется тем что	1	1
88	это и есть	1	1
