N	3gram	Ircho_Kome	Narrotol
1	в том что	15	18
2	не только в	1	13
3	в отличие от	3	11
4	по отношению к	4	11
5	к тому же	9	9
6	о том что	7	9
7	не может быть	1	8
8	тем не менее	3	8
9	не сводится к	1	8
10	в соответствии с	1	8
11	то же время	11	8
12	в то же	11	8
13	в этом отношении	2	8
14	и тем самым	1	6
15	состоит в том	2	6
16	можно сказать что	1	6
17	с одной стороны	4	6
18	для того чтобы	8	5
19	но при этом	1	5
20	в свою очередь	10	5
21	но и в	1	5
22	подобно тому как	1	5
23	и все же	2	5
24	в конечном счете	2	4
25	к тому что	1	4
26	во всяком случае	3	4
27	между детьми и	1	3
28	в самом деле	13	3
29	обращает на себя	3	3
30	в случае с	1	3
31	и не может	1	3
32	друг на друга	1	3
33	до сих пор	12	3
34	в первом случае	1	3
35	речь идет о	3	3
36	в зависимости от	1	3
37	точно так же	1	3
38	не было и	1	3
39	в связи с	3	3
40	то же самое	3	3
41	едва ли не	4	3
42	в ответ на	4	3
43	на то что	1	3
44	так и не	1	3
45	на себя внимание	3	3
46	с точки зрения	6	3
47	как раз в	1	3
48	как уже говорилось	1	3
49	мере в какой	1	2
50	и в то	2	2
51	в той мере	1	2
52	и т п	4	2
53	здесь не только	1	2
54	мы узнаем что	1	2
55	далеко не всегда	1	2
56	более или менее	2	2
57	всю свою жизнь	1	2
58	одного и того	1	2
59	что у него	1	2
60	в центре внимания	1	2
61	один из участников	1	2
62	в себе самом	1	2
63	как и всякий	2	2
64	на мой взгляд	2	2
65	тому же в	1	2
66	как будто он	1	2
67	той мере в	1	2
68	в нем не	1	2
69	и того же	1	2
70	на то чтобы	1	2
71	на этот раз	2	2
72	хотя и не	2	2
73	но и здесь	2	2
74	к ней в	1	2
75	на второй план	1	2
76	но все же	3	2
77	об этом и	1	2
78	и для нас	1	2
79	можно было бы	1	2
80	так же как	1	2
81	ни о чем	1	2
82	он и не	2	2
83	тому что он	1	2
84	как бы в	1	2
85	к себе и	1	2
86	в самом начале	1	1
87	одной стороны и	2	1
88	и тот же	3	1
89	в пределах этой	1	1
90	и столь же	1	1
91	что и для	1	1
92	не было в	1	1
93	таким образом для	1	1
94	о том как	5	1
95	никак не может	1	1
96	сто лет до	1	1
97	в той же	1	1
98	отнюдь не является	1	1
99	то что он	1	1
100	по сравнению с	3	1
101	то что не	1	1
102	по своему происхождению	1	1
103	во всех его	1	1
104	было ясно что	1	1
105	он не может	1	1
106	ни у кого	2	1
107	главного героя в	1	1
108	она не могла	1	1
109	в том числе	2	1
110	об этом не	1	1
111	т п не	1	1
112	потому что в	2	1
113	друг от друга	1	1
114	из многочисленных примеров	1	1
115	является ли это	1	1
116	в произведениях его	1	1
117	событие о котором	1	1
118	то в его	1	1
119	так или иначе	3	1
120	но и сам	1	1
121	так и в	1	1
122	друг с другом	3	1
123	в разговоре с	1	1
124	в обоих случаях	1	1
125	таким образом что	1	1
126	сомневаться в том	1	1
127	по содержанию в	1	1
128	в полной мере	1	1
129	и во многом	1	1
130	а тем более	1	1
131	в чем не	2	1
132	том что в	1	1
133	в своем роде	1	1
134	и всякий другой	1	1
135	тем же именем	1	1
136	из них не	1	1
137	не принимает участия	1	1
138	то хотя бы	1	1
139	и стало быть	1	1
140	то ни было	3	1
141	до поры до	1	1
142	и даже не	1	1
143	но в этом	1	1
144	из дому и	1	1
145	а не в	1	1
146	его дочь и	1	1
147	том числе и	2	1
148	с другой стороны	2	1
149	поры до времени	1	1
150	в этой связи	3	1
151	бы то ни	3	1
152	теперь же ему	1	1
153	то что и	1	1
154	об этом свидетельствует	1	1
155	и совершенно не	1	1
156	что никогда не	1	1
157	в чем же	2	1
158	сих пор еще	1	1
159	себя внимание что	1	1
160	действующих лиц не	1	1
161	и не думал	1	1
162	может быть только	1	1
163	и т д	1	1
164	который в свою	1	1
165	признать что в	1	1
166	приходится признать что	1	1
167	если говорить о	1	1
168	к нему в	1	1
169	мы еще вернемся	1	1
170	в каждой из	1	1
171	в противном случае	1	1
172	более чем за	1	1
173	детьми и родителями	1	1
174	же ничего не	1	1
175	по крайней мере	1	1
176	в этом же	1	1
177	как это было	1	1
178	только что видел	1	1
179	как об этом	1	1
180	в чем он	1	1
181	к этому времени	2	1
182	в его присутствии	1	1
183	он не владеет	1	1
184	в последние десятилетия	2	1
185	один и тот	3	1
186	этой точки зрения	1	1
187	и в самом	7	1
188	самом деле не	1	1
189	в повседневной жизни	1	1
190	вопрос не имеет	1	1
191	отцов и дедов	1	1
192	и тем более	2	1
193	с того что	1	1
194	в то время	3	1
195	тем более что	1	1
196	за сто лет	1	1
197	не поздно и	1	1
198	на этот вопрос	1	1
199	и не должен	1	1
200	он не наделен	1	1
201	и здесь все	1	1
202	по своему характеру	1	1
203	несмотря на ее	1	1
204	начинается с того	1	1
205	говорит о своей	1	1
206	вот я теперь	1	1
207	и представляют собой	1	1
208	в нем своего	1	1
209	он только что	1	1
210	в прошлом году	1	1
211	как мы видели	1	1
212	и все его	1	1
213	то время как	3	1
214	у меня в	2	1
215	зрения одного из	1	1
216	с самого начала	5	1
217	том что он	1	1
218	и когда все	1	1
219	он говорит о	1	1
220	и не слишком	1	1
221	и вся его	1	1
222	по его мнению	2	1
223	по инерции продолжает	1	1
224	вместо того чтобы	1	1
225	самом деле и	1	1
226	в основе своей	2	1
227	хоть и не	1	1
228	в том виде	1	1
229	должен был бы	1	1
230	что и в	2	1
231	он и стал	1	1
232	в виду что	1	1
233	ни в чем	2	1
234	с этой точки	1	1
235	мы не можем	1	1
236	как в случае	1	1
237	если бы не	1	1
