N	3gram	Vygotskiy_	Sotsiolo
1	дело не в	1	2
2	в том что	20	2
3	и заключается что	1	2
4	не в том	2	2
5	это и есть	2	1
6	конечно не в	1	1
7	и как только	1	1
8	придется не один	1	1
9	мы переходим к	1	1
10	а между тем	1	1
11	в конечном счете	1	1
12	между собой не	1	1
13	с одной стороны	6	1
14	и мы не	1	1
15	то же самое	12	1
16	том и заключается	1	1
17	то что в	5	1
18	что это вовсе	1	1
19	о том как	3	1
20	в противном случае	1	1
21	только то что	3	1
22	для этого и	1	1
23	в наше время	2	1
24	в том именно	1	1
25	и только для	1	1
26	благодаря тому что	1	1
27	а с другой	1	1
28	но только в	1	1
29	это вовсе не	1	1
30	во всяком случае	6	1
31	и что на	1	1
32	а в том	1	1
33	вступает в свои	1	1
34	том что это	1	1
35	в сущности есть	1	1
36	и в этом	6	1
37	в свои права	1	1
38	в том и	2	1
39	что она может	1	1
40	именно в том	1	1
41	в лучшем случае	2	1
42	не было бы	2	1
43	по самому существу	1	1
44	и потому его	1	1
