N	3gram	Tiupa_Disk	Stilisti
1	в то же	7	9
2	то же время	9	7
3	того или иного	2	5
4	с точки зрения	3	5
5	одно и то	2	5
6	и то же	2	5
7	в свою очередь	3	4
8	той или иной	6	4
9	заключает в себе	1	4
10	ту или иную	1	4
11	с самого начала	2	4
12	то же самое	2	4
13	прежде всего в	2	4
14	на самом деле	1	3
15	как мы видели	1	3
16	тех или иных	1	3
17	не только в	2	3
18	которое может быть	2	3
19	в этом случае	3	3
20	и т.п и	1	3
21	но все же	1	3
22	в самом деле	1	2
23	все то что	1	2
24	речевого общения в	2	2
25	вместе с тем	1	2
26	и том же	1	2
27	и тем же	1	2
28	к чему не	1	2
29	и те же	1	2
30	не может быть	5	2
31	по отношению к	13	2
32	о том что	8	2
33	одни и те	1	2
34	можно сказать что	3	2
35	и как бы	5	2
36	и вследствие этого	2	2
37	но при этом	3	2
38	одном и том	1	2
39	только потому что	1	2
40	и в то	2	2
41	равно как и	1	2
42	тех случаях когда	1	2
43	на первый взгляд	1	2
44	в связи с	1	2
45	и т.п но	4	2
46	ни к чему	1	2
47	и на его	1	2
48	в этом отношении	4	2
49	и не только	2	2
50	не должно быть	1	2
51	в значительной степени	3	2
52	тот или иной	2	2
53	в тех случаях	1	2
54	мы все же	1	1
55	единица речевого общения	1	1
56	так и от	1	1
57	в том что	18	1
58	к мысли что	1	1
59	себе не может	1	1
60	в том и	1	1
61	друг друга и	1	1
62	между тем слово	1	1
63	высказывания таким образом	1	1
64	заключать в себе	1	1
65	мысль о том	1	1
66	в конечном счете	2	1
67	его точка зрения	1	1
68	даже если в	1	1
69	вследствие этого как	1	1
70	как и вообще	1	1
71	дело не с	2	1
72	в большинстве случаев	2	1
73	решающую роль в	1	1
74	одного из героев	1	1
75	но все эти	1	1
76	к одному и	1	1
77	по крайней мере	3	1
78	что в одном	1	1
79	в русской литературе	2	1
80	и тому же	1	1
81	складывается из двух	1	1
82	и в особенности	2	1
83	в этой структуре	1	1
84	в нашем языке	1	1
85	автор и читатель	1	1
86	в другом месте	1	1
87	по большей части	1	1
88	внутренним и внешним	1	1
89	до наших дней	1	1
90	об одном и	1	1
91	хотя бы и	1	1
92	могло бы стать	1	1
93	как и в	3	1
94	не только его	1	1
95	объективной действительности ведь	1	1
96	тем не менее	1	1
97	не является ни	1	1
98	только в том	2	1
99	и тем более	1	1
100	принадлежащих к той	1	1
101	уже как бы	1	1
102	более или менее	2	1
103	в качестве примера	2	1
104	ближе к тому	1	1
105	событие но и	1	1
106	одного и того	4	1
107	не говоря уже	2	1
108	хотя бы на	1	1
109	при всем желании	1	1
110	из них в	1	1
111	до сих пор	1	1
112	и т.п могут	1	1
113	одним и тем	1	1
114	же время и	2	1
115	это еще не	2	1
116	двух точек зрения	1	1
117	о том какое	1	1
118	содержит в себе	3	1
119	то все же	1	1
120	если и не	1	1
121	как и всякий	1	1
122	этого высказывания в	1	1
123	тому или иному	1	1
124	точкой зрения на	1	1
125	к которому мы	1	1
126	одному и тому	1	1
127	но отчасти и	1	1
128	по себе не	2	1
129	несет в себе	3	1
130	не только о	1	1
131	и того же	4	1
132	всю совокупность этих	1	1
133	как раз и	1	1
134	в хх веке	1	1
135	тем что он	2	1
136	и все же	3	1
137	одной из сторон	1	1
138	что представляет собой	1	1
139	к которому он	1	1
140	та или иная	1	1
141	это отнюдь не	2	1
142	языка и не	1	1
143	в котором они	1	1
144	с другой стороны	4	1
145	то есть к	1	1
146	перед нами не	1	1
147	между внутренним и	1	1
148	это прежде всего	3	1
149	нет и не	1	1
150	с точкой зрения	1	1
151	и не может	3	1
152	прежде всего на	1	1
