N	4gram	Potebnia_M	Narrotol
1	в то же время	8	8
2	состоит в том что	1	6
3	дело в том что	1	3
4	а в том как	2	2
5	по отношению к ним	1	2
6	в том что одно	1	2
7	и не может быть	1	2
8	что одно и то	2	2
9	одного и того же	2	2
10	одно и то же	7	2
11	в том смысле что	2	1
12	может быть не только	1	1
13	не что иное как	1	1
14	до сих пор еще	1	1
15	сам по себе а	1	1
16	если бы не было	1	1
17	виде в каком она	1	1
18	с одной стороны и	1	1
19	в том смысле как	1	1
20	и то же слово	2	1
21	с одним и тем	1	1
22	не только в слове	1	1
23	одна и та же	2	1
24	в том что и	1	1
25	том виде в каком	1	1
26	бы то ни было	1	1
27	в то время как	3	1
28	зависит не только от	1	1
29	бросается в глаза что	1	1
30	один и тот же	2	1
31	и в самом деле	1	1
32	в противном случае он	1	1
33	со своей точки зрения	1	1
34	не само по себе	1	1
35	по мере того как	8	1
36	в том что он	2	1
37	в себе не только	1	1
38	в том случае если	1	1
39	тем не менее не	1	1
40	в себе указание на	1	1
41	здесь не только в	1	1
42	не подлежит сомнению и	1	1
43	в том виде в	1	1
44	одним и тем же	4	1
45	не в том что	4	1
46	как на самом деле	1	1
47	есть не что иное	1	1
