N	4gram	Bakhtin_KF	FransuaR
1	в то же время	2	55
2	но в то же	1	20
3	дело в том что	1	13
4	и в то же	1	12
5	один и тот же	3	4
6	одного и того же	1	3
7	бы оно ни было	1	3
8	одна и та же	2	2
9	бы то ни было	2	2
10	в его целом в	1	2
11	мы будем говорить в	1	2
12	включает в себя момент	1	2
13	до сих пор не	1	2
14	и по отношению к	1	2
15	дело здесь не в	1	2
16	и т.п но и	1	2
17	для него самого и	1	1
18	в литературе о нем	1	1
19	по отношению к ней	1	1
20	никогда не может стать	1	1
21	не может быть таким	1	1
22	и это нисколько не	1	1
23	не имеет определенного и	1	1
24	во всех своих моментах	2	1
25	и относит его к	1	1
26	с точки зрения формальной	1	1
27	то же самое что	1	1
28	и связанных с ними	1	1
29	этот акт в его	1	1
30	образом и в этом	1	1
31	в его целом не	1	1
32	ни в чем не	4	1
33	бы он ни был	2	1
34	как бы он ни	1	1
35	существенно проникает во все	1	1
36	мир в его целом	1	1
37	мире нет места для	1	1
