N	4gram	Propp_Isto	VeschiIm
1	не что иное как	6	12
2	есть не что иное	2	8
3	с этой точки зрения	1	4
4	в то время как	2	4
5	указывает на то что	1	3
6	и т д до	1	2
7	заключается в том что	1	2
8	если это так то	1	2
9	на самом же деле	1	1
10	не только то что	1	1
11	но и то что	1	1
12	в том что и	1	1
13	не может быть окончательным	1	1
14	что они находятся в	1	1
15	и т д в	1	1
16	она не могла бы	1	1
17	и т д но	1	1
18	и т д все	1	1
19	то что как бы	1	1
20	подобно тому как в	1	1
21	по той же причине	1	1
