N	2gram	Nazirov_Tr	Mirosoze
1	и в	18	97
2	у достоевского	5	94
3	может быть	7	64
4	не только	8	63
5	в этом	9	55
6	но и	4	54
7	он не	2	53
8	а не	1	53
9	в нем	4	49
10	не может	5	49
11	у него	6	47
12	и не	7	39
13	никогда не	2	38
14	в ней	1	37
15	потому что	2	37
16	не было	1	36
17	не в	2	34
18	и есть	1	33
19	для него	3	31
20	не есть	1	30
21	но он	1	30
22	как и	5	29
23	прежде всего	4	29
24	и он	3	27
25	в мире	3	27
26	но в	6	27
27	человека и	1	26
28	в своей	1	25
29	он был	2	25
30	и это	2	25
31	и все	4	24
32	и достоевский	1	23
33	ведет к	1	23
34	в своем	3	23
35	иван карамазов	1	23
36	что в	4	23
37	что он	6	22
38	в самом	2	21
39	достоевского и	1	21
40	в себе	4	20
41	в бога	1	20
42	достоевский не	4	20
43	отношение к	2	20
44	в россии	1	19
45	как бы	7	19
46	до конца	2	19
47	человек не	1	19
48	ивана карамазова	2	18
49	в его	3	18
50	того что	1	17
51	и потому	1	17
52	том что	4	16
53	в том	2	16
54	на земле	1	16
55	для достоевского	2	16
56	то что	4	16
57	достоевского в	3	16
58	и его	6	16
59	быть может	1	15
60	в котором	1	15
61	не был	2	15
62	в этой	4	15
63	в конце	3	14
64	она не	1	14
65	достоевского к	1	13
66	и на	7	13
67	из подполья	1	13
68	друг друга	2	13
69	и вот	1	13
70	в русском	2	13
71	в них	1	12
72	он сам	7	12
73	к нему	3	12
74	добра и	1	12
75	но не	1	12
76	в человеке	1	12
77	достоевский в	7	12
78	это не	5	12
79	все это	4	12
80	любовь к	1	11
81	с тем	2	11
82	уже не	2	11
83	хотя бы	1	11
84	в которой	1	11
85	достоевского но	1	11
86	человеческой личности	2	11
87	только в	1	11
88	как в	3	11
89	но это	4	11
90	достоевского не	1	10
91	то же	5	10
92	так же	4	10
93	чем у	1	10
94	всю жизнь	1	10
95	один из	3	10
96	должна быть	1	10
97	не могут	2	10
98	не имеет	2	10
99	это и	1	10
100	в самой	1	10
101	в бесах	9	9
102	из самых	2	9
103	к тому	2	9
104	не мог	2	9
105	должно быть	3	9
106	что и	2	9
107	xix века	1	9
108	х годов	1	9
109	я не	4	9
110	доходит до	1	9
111	то есть	3	9
112	с ним	3	9
113	вместе с	1	9
114	бы и	2	9
115	есть и	1	9
116	лишь в	1	9
117	от него	1	8
118	и с	7	8
119	тем что	2	8
120	о том	2	8
121	мира сего	1	8
122	вопрос о	2	8
123	т е	1	8
124	что не	1	8
125	за пределы	1	8
126	не так	2	8
127	еще в	2	8
