N	2gram	Ircho_Kome	IolandNe
1	стр и	2	7
2	и с	8	3
3	что в	12	2
4	оба они	1	2
5	он не	5	2
6	должен быть	1	2
7	ничего не	4	2
8	и не	19	2
9	в этом	9	2
10	говорить о	3	1
11	все эти	1	1
12	для того	3	1
13	и очень	2	1
14	а в	9	1
15	и о	3	1
16	бы искать	2	1
17	же это	1	1
18	понятий и	1	1
19	утверждает что	1	1
20	это было	5	1
21	и та	1	1
22	и гоголь	1	1
23	что для	1	1
24	для него	1	1
25	не остается	1	1
26	стали бы	2	1
27	вплоть до	1	1
28	тех же	4	1
29	тем что	5	1
30	чтобы доказать	1	1
31	не случайно	1	1
32	только что	2	1
33	бы его	1	1
34	ибо и	1	1
35	бы столь	1	1
36	и чрезвычайно	1	1
37	не слишком	1	1
38	того же	4	1
39	не так	1	1
40	и др	1	1
41	первую очередь	6	1
42	напрасно мы	2	1
43	жизни и	4	1
44	с другой	7	1
45	в целом	6	1
46	более чем	4	1
47	он с	1	1
48	очевидно что	1	1
49	в эту	2	1
50	стороны он	1	1
51	другой стороны	6	1
52	себя в	2	1
53	произведения и	1	1
54	автор не	1	1
55	слишком много	1	1
56	могло бы	1	1
57	то и	3	1
58	после смерти	6	1
59	и еще	5	1
60	в первую	5	1
61	если бы	4	1
62	отношению к	5	1
63	в руки	1	1
64	следующим образом	1	1
65	в художественном	1	1
66	по существу	1	1
67	и сам	5	1
68	того что	1	1
69	них не	1	1
70	а с	1	1
71	стало быть	1	1
72	ненависть к	1	1
73	только для	1	1
74	по поводу	7	1
75	не кто	1	1
76	и тот	1	1
77	а также	5	1
78	так и	17	1
79	автора и	1	1
80	мы стали	2	1
81	в основе	1	1
82	в значительной	1	1
83	о ней	1	1
84	от этого	2	1
85	того чтобы	4	1
86	и без	3	1
87	бы в	3	1
88	этим и	2	1
89	не дает	1	1
90	а по	1	1
91	и в	40	1
92	это был	1	1
93	и и	3	1
94	все это	7	1
95	по отношению	5	1
96	то она	1	1
97	в них	7	1
