N	2gram	Medvedev_V	OGranits
1	и в	26	13
2	и его	6	12
3	прежде всего	13	9
4	может быть	23	8
5	и не	20	8
6	не может	17	8
7	в его	15	7
8	и их	3	7
9	точки зрения	3	7
10	таким образом	32	6
11	не только	26	6
12	только в	8	6
13	то что	7	6
14	как бы	5	6
15	в музыке	1	5
16	в поэзии	1	5
17	хотя бы	20	5
18	словесного материала	1	5
19	художественного произведения	6	5
20	в процессе	17	5
21	но ведь	1	5
22	все же	6	5
23	и наконец	2	5
24	в каждом	2	4
25	не является	5	4
26	произведения как	6	4
27	мы не	1	4
28	то же	10	4
29	еще и	2	4
30	было бы	8	4
31	все это	13	4
32	в сознании	4	4
33	лишь в	2	4
34	материала в	1	4
35	в своей	4	4
36	но в	2	4
37	с этим	3	3
38	что в	11	3
39	понятно что	2	3
40	и то	1	3
41	связана с	2	3
42	ни один	8	3
43	материала и	1	3
44	в искусстве	6	3
45	так и	6	3
46	не как	1	3
47	говорить о	2	3
48	одно и	1	3
49	в одном	5	3
50	не столько	2	3
51	за пределы	1	3
52	отношению к	7	3
53	по отношению	7	3
54	в пределах	5	3
55	в их	5	3
56	в ее	4	3
57	самом деле	1	3
58	не в	6	3
59	в которой	2	3
60	и все	1	3
61	общего с	1	3
62	но для	2	3
63	в себе	6	3
64	вряд ли	1	3
65	да и	2	3
66	но и	10	3
67	и для	2	3
68	как и	7	3
69	ничего общего	1	3
70	никогда не	5	3
71	в области	2	2
72	к сожалению	2	2
73	в самом	4	2
74	нет ничего	1	2
75	и к	3	2
76	что они	3	2
77	того или	2	2
78	может иметь	1	2
79	функцию в	1	2
80	форм и	1	2
81	мы видим	1	2
82	в данном	1	2
83	и этот	2	2
84	а как	2	2
85	в своих	2	2
86	в этом	29	2
87	этой проблемы	3	2
88	в общем	2	2
89	в целях	2	2
90	данном случае	1	2
91	героя и	1	2
92	на язык	2	2
93	которой является	1	2
94	он только	1	2
95	с одной	2	2
96	в течение	2	2
97	входит в	1	2
98	наконец в	1	2
99	не чем	1	2
100	и при	5	2
101	одной стороны	2	2
102	роль в	4	2
103	в другом	2	2
104	несмотря на	1	2
105	между тем	6	2
106	для него	9	2
107	и стиль	1	2
108	вся область	1	2
109	особенностей в	1	2
110	и тем	1	2
111	наиболее полно	1	2
112	и может	2	2
113	смысле слова	2	2
114	ее в	4	2
115	в том	15	2
116	с этой	1	2
117	произведения но	1	2
118	что эта	1	2
119	к анализу	1	2
120	чем же	4	2
121	вслед за	3	2
122	другой стороны	8	2
123	представлений и	2	2
124	во времени	1	2
125	так же	3	2
126	в них	5	2
127	самого начала	1	2
128	а в	3	2
129	связанных с	1	2
130	если бы	3	2
131	от всех	1	2
132	а также	1	2
133	в словесном	2	2
134	в книге	2	2
135	соответствии с	1	2
136	еще в	1	2
137	в ней	2	2
138	литературное произведение	1	2
139	тем что	1	2
140	и др	10	2
141	могут быть	8	2
142	вовсе не	3	2
143	между собою	2	2
144	чем иным	1	2
145	в связи	4	2
146	в зависимости	6	2
147	во всей	2	2
148	с ними	4	2
149	материал в	1	2
150	все эти	8	2
151	с другой	11	2
152	как в	1	2
153	иным как	1	2
154	художественных произведений	1	2
155	не менее	2	2
156	явлений и	3	2
157	не имеет	1	2
158	том что	8	2
159	в нем	7	2
160	уже в	1	2
161	или иного	1	2
162	зависимости от	5	2
163	является уже	1	2
164	а не	7	2
165	в чем	2	2
166	в целом	5	2
167	художественное произведение	7	2
168	и отбор	2	2
169	и ее	4	2
170	собственно говоря	1	2
171	к тому	5	2
172	кажется что	1	2
173	слова и	1	2
174	бы в	3	2
175	в дальнейшем	1	1
176	данной области	1	1
177	в особенности	2	1
178	борьбы и	1	1
179	понять и	1	1
180	но у	1	1
181	необходимость в	2	1
182	себе в	1	1
183	поскольку она	1	1
184	в каждой	1	1
185	и наоборот	1	1
186	не нашел	1	1
187	ее и	1	1
188	мере возможности	1	1
189	зрения и	1	1
190	находит свое	1	1
191	еще одну	1	1
192	быть сведены	1	1
193	этом говорит	1	1
194	и других	1	1
195	и он	3	1
196	является для	1	1
197	мышления в	2	1
198	один из	6	1
199	можно установить	1	1
200	можно говорить	1	1
201	вообще в	1	1
202	художественного образа	1	1
203	уже из	1	1
204	то это	2	1
205	в последнем	2	1
206	вопрос о	1	1
207	как же	1	1
208	что мы	2	1
209	на этом	2	1
210	этим путем	1	1
211	они не	2	1
212	представляется не	1	1
213	сложную систему	1	1
214	только что	4	1
215	творца и	1	1
216	или иная	3	1
217	даже и	3	1
218	которые не	1	1
219	или только	1	1
220	должно быть	2	1
221	того как	2	1
222	если он	1	1
223	моменты в	1	1
224	произведение являющееся	1	1
225	в самых	2	1
226	которой он	1	1
227	о значении	1	1
228	и социальной	2	1
229	есть одно	1	1
230	более или	6	1
231	это особенно	2	1
232	может идти	1	1
233	внимание на	2	1
234	потому что	1	1
235	в значительной	3	1
236	должны быть	2	1
237	он всегда	1	1
238	классового сознания	1	1
239	но даже	3	1
240	того чтобы	3	1
241	и если	1	1
242	же как	2	1
243	или иных	1	1
244	несомненно и	1	1
245	ту или	1	1
246	мы имеем	3	1
247	и у	2	1
248	также и	2	1
249	ту же	2	1
250	и речи	1	1
251	это и	6	1
252	для того	3	1
253	момента в	1	1
254	тому как	3	1
255	тому что	7	1
256	все то	1	1
257	и дает	1	1
258	стиль в	1	1
259	его себе	1	1
260	есть его	1	1
261	представляет собою	11	1
262	под ним	1	1
263	которых он	1	1
264	что всякий	1	1
265	он и	2	1
266	философской системы	1	1
267	утверждает и	1	1
268	его и	1	1
269	не всегда	2	1
270	в своем	8	1
271	и достоевский	2	1
272	говорить не	3	1
273	наблюдения над	1	1
274	стадиях своего	1	1
275	особенностей и	1	1
276	значительной мере	3	1
277	этом отношении	14	1
278	образную систему	1	1
279	необходимо учитывать	1	1
280	связанное с	2	1
281	что при	2	1
282	из наиболее	1	1
283	остается только	1	1
284	полагаем что	1	1
285	как это	12	1
286	положение что	1	1
287	те или	1	1
288	в свои	1	1
289	его классового	1	1
290	что такое	2	1
291	воплощенной в	1	1
292	мы в	1	1
293	только на	1	1
294	выйти за	1	1
295	и через	2	1
296	или иные	1	1
297	из того	1	1
298	об этом	9	1
299	содержания и	1	1
300	переходит в	1	1
301	разница в	1	1
302	отмечает и	2	1
303	теоретиков искусства	1	1
304	не приходится	2	1
305	в науке	2	1
306	в нескольких	1	1
307	процессе творчества	1	1
308	и что	1	1
309	и определяет	1	1
310	или иную	1	1
311	в различных	2	1
312	для них	2	1
313	предисловии к	1	1
314	можно было	2	1
315	в этой	4	1
316	поэта как	2	1
317	однако индивидуальный	1	1
318	чуть ли	2	1
319	сложность и	1	1
320	иметь в	2	1
321	в начале	1	1
322	ни одна	2	1
323	в виду	4	1
324	в нашей	4	1
325	сводится к	3	1
326	богатство и	1	1
327	нет никакого	1	1
328	и есть	5	1
329	для своей	1	1
330	конечно не	1	1
331	они сводятся	1	1
332	подобно тому	3	1
333	которая уже	1	1
334	но это	1	1
335	только то	2	1
336	не вполне	2	1
337	по себе	2	1
338	этот вопрос	3	1
339	в истории	1	1
340	видим у	1	1
341	не обязательна	1	1
342	же время	5	1
343	лежит в	1	1
344	его в	3	1
345	на основе	5	1
346	человека и	3	1
347	то или	1	1
348	отметить что	2	1
349	или как	1	1
350	развития не	1	1
351	каждый из	1	1
352	высокой и	1	1
353	или иное	1	1
354	однако если	1	1
355	не было	7	1
356	и изучение	1	1
357	связи с	5	1
358	этого процесса	1	1
359	содержания в	1	1
360	события и	1	1
361	теперь к	1	1
362	если не	1	1
363	полностью в	1	1
364	же не	1	1
365	мы полагаем	1	1
366	этой точки	2	1
367	проблемы не	1	1
368	как известно	2	1
369	философия искусства	1	1
370	если только	1	1
371	его точки	1	1
372	еще платон	1	1
373	является таким	1	1
374	или в	3	1
375	к полной	1	1
376	статье о	1	1
377	в основе	1	1
378	всего не	2	1
379	точного и	1	1
380	на то	2	1
381	же самое	2	1
382	сказал что	1	1
383	художественном творчестве	6	1
384	равно как	4	1
385	творческой работы	1	1
386	их в	7	1
387	нет и	3	1
388	заключается в	2	1
389	одним из	5	1
390	элементов в	1	1
391	и чисто	1	1
392	отношение к	1	1
393	у некоторых	2	1
394	идти только	1	1
395	сам собой	1	1
396	раз навсегда	1	1
397	процессов в	1	1
398	каждом отдельном	2	1
399	сказать что	5	1
400	на себя	1	1
401	и никогда	2	1
402	в конечном	7	1
403	являются материальными	1	1
404	та или	3	1
405	виду что	1	1
406	или менее	6	1
407	превращаются в	1	1
408	в совокупности	1	1
409	последнем счете	1	1
410	и сложнее	1	1
411	речь может	1	1
412	через напряжение	1	1
413	же самый	1	1
414	другое если	1	1
415	конечном счете	5	1
416	он говорит	5	1
417	выражения в	1	1
418	в конце	3	1
419	произведения и	7	1
420	произведения не	2	1
421	образом не	3	1
422	обратимся к	1	1
423	богаче и	1	1
424	даже для	1	1
425	одной из	2	1
426	например в	3	1
427	свести к	1	1
428	как совершенно	1	1
429	само собою	2	1
430	недостаточно изучены	1	1
431	в образе	2	1
432	по мере	1	1
433	в живом	1	1
434	и ряд	1	1
435	закрепленное в	1	1
436	познания в	4	1
437	к более	1	1
438	если конечно	1	1
439	к этому	9	1
440	от индивидуальной	3	1
441	роль играет	1	1
442	эта способность	2	1
443	и как	3	1
444	в понимании	1	1
445	как о	3	1
446	вплоть до	2	1
447	и иметь	1	1
448	что он	4	1
449	замысла так	1	1
450	связи со	1	1
451	в словесной	1	1
452	определили как	1	1
453	и сводится	4	1
454	что она	2	1
455	или даже	1	1
456	всем своем	1	1
457	далеко не	3	1
458	но что	1	1
