N	3gram	Propp_Isto	VLabPisa
1	и т д	30	16
2	не может быть	4	8
3	с другой стороны	10	8
4	по отношению к	2	7
5	по этому поводу	1	7
6	в том что	8	5
7	в зависимости от	1	5
8	в одном из	2	4
9	вместе с тем	1	4
10	равно как и	1	4
11	можно сказать что	2	4
12	можно утверждать что	2	4
13	в связи с	5	4
14	к тому что	1	4
15	мы видели что	6	3
16	и др в	1	3
17	о том что	3	3
18	подобно тому как	3	3
19	это и есть	2	3
20	ни один из	2	2
21	во всяком случае	2	2
22	том отношении что	1	2
23	в чем же	1	2
24	и в другом	1	2
25	этой точки зрения	1	2
26	в том числе	1	2
27	мы знаем что	8	2
28	все это только	1	2
29	до сих пор	7	2
30	не только не	2	2
31	иметь в виду	1	2
32	не только в	3	2
33	во всех этих	1	2
34	т е в	2	2
35	по этому вопросу	1	2
36	в том отношении	1	2
37	только то что	1	2
38	в другом месте	1	2
39	с одной стороны	2	2
40	также и в	1	2
41	можно было бы	2	2
42	после того как	3	2
43	и не может	1	2
44	так же как	7	1
45	что он не	1	1
46	при помощи которых	1	1
47	в течение двух	1	1
48	сих пор не	1	1
49	в свою очередь	1	1
50	отношении что они	1	1
51	с этим и	1	1
52	т е не	1	1
53	но вместе с	1	1
54	природой в этом	1	1
55	мы видим что	6	1
56	в силу того	1	1
57	на то что	4	1
58	и может быть	1	1
59	но и в	2	1
60	в том смысле	1	1
61	по сравнению с	2	1
62	его таким образом	1	1
63	не в этом	1	1
64	один из них	1	1
65	то время как	2	1
66	в этом случае	8	1
67	свете этих соображений	1	1
68	главным образом на	1	1
69	дело не в	1	1
70	с этой точки	1	1
71	в виду не	1	1
72	может быть в	1	1
73	и так или	1	1
74	этих соображений становится	1	1
75	в то время	2	1
76	они не только	1	1
77	это происходит в	1	1
78	что в них	2	1
79	на этот вопрос	1	1
80	из которых он	1	1
81	в таком случае	1	1
82	как это происходит	1	1
83	все же не	1	1
84	так или иначе	1	1
85	хотя и не	1	1
86	сами по себе	1	1
87	как это мы	1	1
88	в несколько иной	1	1
89	ничего общего с	1	1
90	один из его	1	1
91	течение двух лет	1	1
92	состоял в том	1	1
93	в этом нет	1	1
94	а затем его	1	1
95	бросается в глаза	1	1
96	том что и	1	1
97	в свете этих	2	1
98	и вместе с	1	1
99	еще не означает	1	1
100	в соответствии с	1	1
101	в данном случае	6	1
102	говорит об этом	1	1
103	при помощи которой	2	1
104	в частности из	1	1
105	к тому же	4	1
106	же как и	3	1
107	как если бы	1	1
108	доказывается тем что	1	1
109	в целом и	1	1
110	что такое толкование	1	1
111	то же самое	1	1
112	соображений становится понятным	1	1
113	со всем что	1	1
114	это вовсе не	1	1
115	но все же	5	1
116	не случайно и	1	1
117	т д но	1	1
118	в целом но	1	1
119	с ними в	1	1
120	мы не будем	2	1
121	таким образом и	2	1
122	об этом говорит	2	1
123	к этому же	2	1
124	имеем дело с	1	1
125	мы имеем дело	1	1
126	может быть и	1	1
