N	3gram	Nazirov_Tv	Freidism
1	не может быть	2	14
2	по отношению к	3	11
3	в самом деле	2	10
4	в том что	8	9
5	во всяком случае	2	8
6	и прежде всего	1	7
7	в то же	19	6
8	мы знаем что	1	6
9	то же время	18	6
10	с самого начала	3	5
11	можно сказать что	2	5
12	в свою очередь	2	4
13	это вовсе не	1	4
14	тем не менее	2	4
15	на самом деле	2	4
16	в данном случае	2	4
17	в чем не	1	4
18	в таком случае	2	4
19	не могут быть	2	4
20	ни в чем	1	4
21	в этот период	1	3
22	только то что	1	3
23	о том что	6	3
24	до сих пор	1	3
25	что же касается	1	3
26	не в его	1	3
27	бы то ни	1	3
28	на этот вопрос	2	3
29	так и в	2	3
30	но в то	5	3
31	в конечном счете	4	3
32	не в силах	1	3
33	нет и не	1	3
34	и не может	2	3
35	и тем не	1	2
36	это как бы	3	2
37	равно как и	1	2
38	в применении к	1	2
39	заключается в том	1	2
40	в чем же	1	2
41	то или иное	1	2
42	фрейд в своей	1	2
43	хотя бы и	1	2
44	в конце концов	1	2
45	а с другой	1	2
46	говорить о том	1	2
47	что он сам	1	2
48	мы никогда не	1	2
49	далеко не так	1	2
50	все тот же	1	2
51	в отличие от	2	2
52	то ни было	1	2
53	к тому что	1	2
54	самом же деле	1	2
55	это и есть	1	2
56	в другом месте	1	2
57	на самом же	1	2
58	с одной стороны	1	2
59	это прежде всего	3	2
60	то же самое	1	2
61	и т д	10	1
62	на этой почве	1	1
63	что он не	1	1
64	все это является	1	1
65	для него все	1	1
66	и со всеми	1	1
67	не может служить	1	1
68	а может быть	2	1
69	только на таком	1	1
70	а как бы	1	1
71	того или иного	1	1
72	так ли это?	1	1
73	себя с ним	1	1
74	той или иной	1	1
75	ни на чем	1	1
76	он еще не	2	1
77	таком случае это	1	1
78	в противоречии с	1	1
79	является как бы	1	1
80	большим трудом и	1	1
81	и наконец в	1	1
82	он хочет быть	1	1
83	в свою противоположность	2	1
84	не видим его	1	1
85	и вот в	1	1
86	мы видим в	1	1
87	по крайней мере	4	1
88	других людей и	1	1
89	но она не	1	1
90	имеем в виду	1	1
91	то что может	1	1
92	и приводит к	1	1
93	рядом с ним	1	1
94	в целом ряде	1	1
95	ее связь с	1	1
96	в том же	3	1
97	в этой борьбе	1	1
98	в г в	1	1
99	форму и содержание	1	1
100	нет ни слова	1	1
101	что в своих	1	1
102	заранее обречены на	1	1
103	ничего не говорит	1	1
104	друг на друга	1	1
105	все же не	1	1
106	человеческой психики это	1	1
107	психики как бы	1	1
108	что он был	1	1
109	со всех сторон	1	1
110	хотя и не	1	1
111	внутренний протест против	1	1
112	но при этом	1	1
113	в одной из	4	1
114	не похоже на	1	1
115	как и на	1	1
116	каких бы то	1	1
117	ничего общего с	1	1
118	не что иное	1	1
119	могут быть поняты	2	1
120	дело в том	4	1
121	и в дальнейшем	1	1
122	ответ на этот	1	1
123	в этом пункте	1	1
124	бросается в глаза	1	1
125	в основе этой	1	1
126	об этом сам	1	1
127	так же как	1	1
128	он приходит к	2	1
129	здесь необходимо сказать	1	1
130	если можно так	1	1
131	только потому что	1	1
132	это уже не	2	1
133	мы все время	1	1
134	для него было	1	1
135	том что в	3	1
136	в глубине души	1	1
137	точно такие же	1	1
138	и не мог	1	1
139	и в то	3	1
140	внешнего и внутреннего	1	1
141	и когда человек	1	1
142	человека и все	1	1
143	об эдиповом комплексе	1	1
144	ни в какую	1	1
145	нужно сказать что	1	1
146	в целом и	1	1
147	на первый взгляд	1	1
148	софокла царь эдип	1	1
149	и все же	3	1
150	в наше время	4	1
151	что иное как	1	1
152	с большим трудом	1	1
153	едва ли не	2	1
154	в нем и	1	1
155	а затем с	1	1
156	в беседе с	1	1
157	мы имеем в	1	1
158	как бы лишены	1	1
159	мысль о возможности	1	1
160	или во всяком	1	1
161	на себе самом	1	1
162	таким образом и	1	1
163	является одним из	3	1
164	не то что	1	1
165	но в целом	1	1
166	он дает им	1	1
167	и на себе	1	1
168	можно было бы	1	1
169	еще ничего не	1	1
170	нам кажется что	1	1
171	прежде всего на	1	1
172	в настоящее время	1	1
173	можно так выразиться	1	1
174	в своих первых	1	1
