N	2gram	Vinokur_Vv	Vvedenie
1	при этом	3	43
2	не только	26	32
3	но и	7	31
4	а не	5	31
5	в этом	35	27
6	может быть	30	25
7	и не	13	24
8	такого рода	3	23
9	состоит в	2	23
10	что такое	12	23
11	и в	35	23
12	в данном	11	22
13	как и	7	21
14	в том	38	21
15	своего рода	3	20
16	в частности	3	19
17	в качестве	8	18
18	представляет собой	14	18
19	том что	30	16
20	тогда как	2	16
21	со стороны	16	15
22	в себе	4	15
23	данном случае	5	15
24	а в	6	15
25	и т.п	1	14
26	так и	2	14
27	не может	19	14
28	но в	10	14
29	не в	10	12
30	а также	3	12
31	по отношению	4	11
32	в отличие	4	11
33	прежде всего	10	11
34	в котором	4	11
35	отличие от	4	11
36	в тексте	4	11
37	отношению к	4	11
38	если бы	3	10
39	в своей	4	10
40	все же	9	10
41	с другой	8	10
42	хотя и	5	10
43	только в	16	9
44	к тому	4	9
45	в своем	3	9
46	с одной	4	9
47	в его	12	9
48	но не	9	9
49	одной стороны	4	9
50	то что	19	9
51	и его	6	9
52	в нем	13	9
53	однако в	3	9
54	иначе говоря	1	8
55	то же	11	8
56	и все	1	8
57	в соответствии	2	8
58	как в	3	8
59	мира в	1	8
60	мы имеем	4	8
61	как бы	7	8
62	соответствии с	2	8
63	еще не	4	8
64	у него	1	8
65	жизни и	2	8
66	и для	4	8
67	в жизни	1	7
68	уже не	6	7
69	о том	16	7
70	потому что	18	7
71	это не	8	7
72	времени и	4	7
73	этом отношении	4	7
74	того что	12	7
75	что в	13	6
76	в самом	13	6
77	истории в	2	6
78	самом деле	7	6
79	что же	3	6
80	никогда не	3	6
81	таким образом	21	6
82	мы не	2	6
83	участия в	1	6
84	можно сказать	4	6
85	что и	5	6
86	тому же	1	6
87	как будто	3	6
88	также и	20	6
89	и т.д	5	6
90	в той	10	5
91	и на	3	5
92	не столько	2	5
93	в результате	4	5
94	в своих	2	5
95	о котором	8	5
96	вследствие этого	1	5
97	и более	1	5
98	в свою	2	5
