N	2gram	Losev_Vesc	Retstnzi
1	не может	44	4
2	и в	44	3
3	если в	1	2
4	один из	5	2
5	общения и	2	2
6	может и	3	1
7	в особенности	3	1
8	рационалистического и	1	1
9	несмотря на	6	1
10	может быть	37	1
11	и истории	1	1
12	не только	48	1
13	точки зрения	10	1
14	с точки	6	1
15	может не	4	1
16	для него	8	1
17	в ней	14	1
18	явление если	1	1
19	связи с	1	1
20	не из	2	1
21	этого общения	1	1
22	бы на	3	1
23	можно и	3	1
24	с другими	8	1
25	больше ничего	12	1
26	его от	2	1
27	если бы	8	1
28	конечно и	2	1
29	смысл и	12	1
30	вещей и	12	1
31	в его	5	1
32	и тому	1	1
33	ничего кроме	1	1
34	не менее	11	1
35	и социальной	1	1
36	и заставляет	2	1
37	в языке	1	1
38	но и	19	1
39	мы видим	5	1
40	к тому	3	1
41	анализа и	1	1
42	можно назвать	1	1
43	тому что	2	1
44	и можно	2	1
45	языка как	2	1
46	увидеть в	1	1
47	в то	11	1
48	из этих	1	1
49	категорий и	1	1
50	и больше	13	1
51	и событий	1	1
52	же время	4	1
53	то же	12	1
54	а не	34	1
55	бы в	9	1
56	нет и	4	1
57	в системе	1	1
58	и не	57	1
59	на нее	2	1
60	и все	6	1
61	и на	2	1
62	себя от	2	1
