N	3gram	Bakhtin_fo	VLabPisa
1	и т д	3	16
2	в этом отношении	5	14
3	и т п	18	9
4	не может быть	4	8
5	с другой стороны	1	8
6	по отношению к	3	7
7	в том что	4	5
8	в зависимости от	1	5
9	в то же	10	5
10	то же время	13	5
11	в одном из	1	4
12	вместе с тем	3	4
13	равно как и	4	4
14	можно сказать что	1	4
15	не могут быть	1	4
16	в связи с	12	4
17	к тому что	1	4
18	и др в	2	3
19	в значительной мере	2	3
20	о том как	2	3
21	для того чтобы	11	3
22	о том что	2	3
23	и в то	7	3
24	та или иная	1	3
25	лишь в пределах	2	2
26	одной стороны и	2	2
27	не могут не	1	2
28	и том же	1	2
29	во всяком случае	1	2
30	как об этом	1	2
31	во всех его	1	2
32	точном смысле слова	1	2
33	этой точки зрения	1	2
34	в этом процессе	1	2
35	в том числе	7	2
36	в этом и	1	2
37	в точном смысле	3	2
38	это мы наблюдаем	1	2
39	до сих пор	4	2
40	не было в	1	2
41	в конце концов	1	2
42	том числе и	4	2
43	не только в	6	2
44	во всех этих	2	2
45	не может не	1	2
46	в частности в	1	2
47	они должны быть	1	2
48	по этому вопросу	1	2
49	только в том	1	2
50	в другом месте	2	2
51	с одной стороны	3	2
52	одном и том	1	2
53	также и в	3	2
54	единого и целостного	1	2
55	между ними не	1	1
56	так же как	2	1
57	на этой почве	1	1
58	этой жизни и	1	1
59	объединения их в	1	1
60	сих пор не	1	1
61	в той или	2	1
62	все это мы	1	1
63	в свою очередь	1	1
64	в одном и	1	1
65	качестве одной из	1	1
66	вместе с этим	1	1
67	в том же	3	1
68	чтобы покончить с	1	1
69	все то что	2	1
70	отнюдь не являются	1	1
71	разрешал эту проблему	1	1
72	но по существу	2	1
73	т д обычно	1	1
74	той или иной	3	1
75	но вместе с	1	1
76	т п все	1	1
77	в качестве одной	1	1
78	и может быть	1	1
79	но и в	5	1
80	прежде всего бросается	1	1
81	и ту же	1	1
82	в ту же	1	1
83	по сравнению с	3	1
84	его таким образом	1	1
85	но она не	1	1
86	между ними нет	1	1
87	имеем в виду	3	1
88	имеют громадное значение	1	1
89	то время как	2	1
90	мы говорим о	1	1
91	в этом случае	1	1
92	в действительной жизни	1	1
93	с этой точки	1	1
94	то что в	1	1
95	в самом деле	1	1
96	всего бросается в	1	1
97	в ее основных	2	1
98	и как оно	1	1
99	и во всех	3	1
100	этому вопросу и	1	1
101	материал по этому	1	1
102	прежде всего необходимо	4	1
103	только в этом	1	1
104	в большом количестве	1	1
105	в то время	3	1
106	к ним не	1	1
107	и то же	4	1
108	говорит о том	1	1
109	каждый из них	1	1
110	к этому типу	1	1
111	со всех сторон	2	1
112	сами по себе	2	1
113	в искусстве и	1	1
114	значительной мере и	1	1
115	другой стороны в	1	1
116	и в их	1	1
117	как это обычно	1	1
118	ту же ночь	1	1
119	и в системе	1	1
120	одно и то	4	1
121	но в то	2	1
122	бросается в глаза	1	1
123	на основе этого	1	1
124	по аналогии с	1	1
125	и вместе с	1	1
126	между этими двумя	3	1
127	быть и речи	2	1
128	в соответствии с	2	1
129	в данном случае	2	1
130	все же и	1	1
131	часто приводит к	1	1
132	всего может быть	1	1
133	главным образом в	1	1
134	при помощи которой	1	1
135	именно в том	1	1
136	человека так сказать	1	1
137	что во всех	1	1
138	могут быть сведены	1	1
139	к тому же	2	1
140	дошедших до нас	1	1
141	же как и	2	1
142	как если бы	2	1
143	одна из форм	1	1
144	и др и	1	1
145	одну и ту	1	1
146	об этом свидетельствует	1	1
147	в новое время	1	1
148	то же самое	1	1
149	сама по себе	1	1
150	и в каждой	1	1
151	это вовсе не	1	1
152	но все же	3	1
153	во всей ее	1	1
154	что должно быть	1	1
155	все это не	1	1
156	в последнем счете	3	1
157	таким образом и	2	1
158	в виду что	2	1
159	же в этом	2	1
160	тот или иной	1	1
161	и речи о	1	1
162	лежит в основе	2	1
163	может быть и	4	1
