N	3gram	Medvedev_U	Narrotol
1	в том что	2	18
2	в данном случае	1	17
3	не только в	1	13
4	не может быть	4	8
5	то же время	3	8
6	в то же	3	8
7	в этом отношении	2	8
8	можно сказать что	1	6
9	с одной стороны	1	6
10	в конечном счете	4	4
11	в самом деле	2	3
12	до сих пор	2	3
13	то же самое	2	3
14	на то что	1	3
15	и то что	2	3
16	и в то	1	2
17	не в том	1	2
18	более или менее	1	2
19	а между тем	2	2
20	не входит в	1	2
21	смысле можно сказать	1	2
22	все же не	1	2
23	на первый взгляд	1	2
24	это не вполне	1	1
25	в той же	1	1
26	в этом смысле	2	1
27	в не меньшей	1	1
28	не впадая в	1	1
29	так или иначе	1	1
30	сам по себе	1	1
31	в ней не	1	1
32	никогда и не	1	1
33	друг с другом	1	1
34	что для него	1	1
35	большей или меньшей	1	1
36	само по себе	1	1
37	по его собственному	1	1
38	то ни было	3	1
39	достоевского и толстого	1	1
40	с другой стороны	3	1
41	бы то ни	3	1
42	а не только	1	1
43	не меньшей степени	1	1
44	то что было	1	1
45	приходится признать что	1	1
46	в противном случае	2	1
47	по крайней мере	2	1
48	которые могли бы	1	1
49	не только к	1	1
50	в большей или	1	1
51	и не только	1	1
52	показательна в этом	1	1
53	у него уже	1	1
54	роль не только	1	1
55	не может обойтись	1	1
56	на роль не	1	1
