N	3gram	Vinokur_St	Tvorches
1	в то же	5	25
2	то же время	5	24
3	и т д	25	17
4	в том что	29	11
5	в соответствии с	1	8
6	о том что	19	8
7	и в то	1	7
8	не может быть	5	6
9	но в то	2	6
10	и т п	11	5
11	в самом деле	7	5
12	в том же	3	5
13	в наше время	1	5
14	по отношению к	3	5
15	до сих пор	12	4
16	по крайней мере	2	4
17	с точки зрения	10	4
18	в одной из	3	4
19	дело в том	7	4
20	с самого начала	3	4
21	это прежде всего	2	4
22	дело не в	2	3
23	сами по себе	2	3
24	чуть ли не	2	3
25	точно так же	2	3
26	том что в	4	3
27	в отличие от	1	3
28	если не считать	1	3
29	во всяком случае	8	3
30	как и в	2	3
31	с другой стороны	8	3
32	и не может	1	3
33	что он не	5	2
34	а может быть	1	2
35	это не значит	3	2
36	в данном случае	7	2
37	в борисе годунове	19	2
38	и в другом	1	2
39	для того чтобы	13	2
40	в том числе	3	2
41	тем не менее	4	2
42	не значит что	3	2
43	что у него	1	2
44	так и в	5	2
45	что он сам	1	2
46	в конце концов	2	2
47	потому что он	1	2
48	в этой области	5	2
49	том числе и	2	2
50	и в самом	3	2
51	к тому же	2	2
52	в высшей степени	1	2
53	в известном смысле	1	2
54	никогда не было	1	2
55	не то что	1	2
56	но это не	1	2
57	в одном из	4	2
58	вместе с тем	2	2
59	заключается в том	4	2
60	только то что	1	2
61	на этот вопрос	2	2
62	на самом деле	7	2
63	содержит в себе	1	2
64	так же как	5	2
65	не только в	4	2
66	как бы ни	2	2
67	в первую очередь	2	2
68	и что в	1	2
69	в его работе	1	1
70	что у нас	1	1
71	хотя и с	1	1
72	то что называют	1	1
73	некоторые из них	1	1
74	в письме к	5	1
75	как будто бы	1	1
76	ни на чем	2	1
77	но тот же	1	1
78	во второй части	1	1
79	и даже не	2	1
80	о том как	1	1
81	в применении к	3	1
82	том смысле что	2	1
83	дело не только	1	1
84	включает в свой	1	1
85	в ту же	1	1
86	по мнению в	2	1
87	имеет право на	1	1
88	что в одном	1	1
89	в ответ на	1	1
90	трагедии борис годунов	1	1
91	у пушкина этот	1	1
92	то или иное	3	1
93	д и т	1	1
94	что не надо	1	1
95	об этом не	1	1
96	мы говорим о	1	1
97	но ведь в	1	1
98	хотя бы и	2	1
99	в этом месте	2	1
100	он не может	1	1
101	в каждом из	1	1
102	таким образом уже	1	1
103	той же странице	1	1
104	так например в	4	1
105	том и другом	1	1
106	говорить о том	1	1
107	так что они	1	1
108	кроме всего прочего	1	1
109	борисе годунове и	1	1
110	молиться за царя	1	1
111	такую большую роль	1	1
112	т д в	1	1
113	ничего общего с	3	1
114	к борису годунову	5	1
115	а между тем	2	1
116	некоторое представление о	1	1
117	но это еще	1	1
118	об этом сам	1	1
119	это не просто	1	1
120	другой стороны и	1	1
121	а во второй	2	1
122	том что этот	1	1
123	во многих случаях	2	1
124	целом ряде случаев	1	1
125	времени в первой	1	1
126	что в основу	2	1
127	том что я	1	1
128	важно отметить что	1	1
129	а с другой	1	1
130	и в других	1	1
131	же как в	1	1
132	языка и стиля	1	1
133	сих пор таких	1	1
134	то ни было	1	1
135	в них нет	1	1
136	великий писатель в	1	1
137	потому что не	1	1
138	нужно сказать что	5	1
139	что это не	2	1
140	но и он	1	1
141	в основу сюжета	1	1
142	по этому поводу	4	1
143	в русской критике	1	1
144	имел в виду	1	1
145	к тому что	4	1
146	что с точки	1	1
147	старика но и	1	1
148	прежде всего его	1	1
149	они забывали что	1	1
150	не может не	1	1
151	того времени как	1	1
152	бы то ни	2	1
153	мысль о возможности	1	1
154	за царя ирода	1	1
155	вряд ли можно	2	1
156	и другом случае	1	1
157	бориса годунова но	1	1
158	сих пор еще	1	1
159	и в том	3	1
160	большую роль в	1	1
161	ли доказывать что	1	1
162	и в этом	4	1
163	пришел к выводу	1	1
164	казалось бы это	1	1
165	указал что в	1	1
166	в том и	1	1
167	т д и	2	1
168	на той же	1	1
169	не дает никакого	1	1
170	того или иного	4	1
171	за то что	5	1
172	ошибках и не	1	1
173	той или иной	1	1
174	в основе этой	1	1
175	не в тех	1	1
176	это вовсе не	1	1
177	и только в	3	1
178	но и в	2	1
179	в том смысле	4	1
180	может быть ни	1	1
181	в чем же	1	1
182	не мог не	1	1
183	в чем он	1	1
184	насчет того что	1	1
185	со всеми его	1	1
186	в стихах о	1	1
187	в другом месте	1	1
188	и вовсе не	1	1
189	может быть иначе	1	1
190	в которой он	1	1
191	по возвращении в	1	1
192	ту или иную	1	1
193	но в целом	2	1
194	что же касается	3	1
195	в целом ряде	1	1
196	то что в	3	1
197	и не в	1	1
198	было бы говорить	1	1
199	точки зрения их	2	1
200	в г в	4	1
201	с одной стороны	2	1
202	и не было	1	1
203	это объясняется тем	1	1
204	но как бы	1	1
205	нельзя молиться за	1	1
206	одном из писем	2	1
207	каких бы то	1	1
208	в начале xix	1	1
209	гораздо больше чем	1	1
210	на точку зрения	2	1
211	да и в	3	1
212	из бориса годунова	5	1
213	от которых можно	1	1
214	в настоящее время	2	1
215	в то время	2	1
216	решения этого вопроса	1	1
