N	4gram	Bakhtin_Pr	formyVre
1	в то же время	13	18
2	и в то же	2	8
3	как мы уже говорили	2	6
4	с одной стороны и	1	5
5	в том числе и	1	5
6	мы имеем в виду	1	5
7	в то время как	2	4
8	в той или иной	1	3
9	бы он ни был	2	3
10	можно прямо сказать что	1	3
11	каковы бы ни были	1	3
12	те же что и	1	3
13	но в то же	7	3
14	так же как и	1	3
15	и до сих пор	1	2
16	и в большинстве случаев	2	2
17	к себе самому и	1	2
18	дело в том что	1	2
19	и т п все	2	2
20	и т п в	1	2
21	неотделимы друг от друга	1	2
22	как если бы он	1	2
23	и до известной степени	1	2
24	в разрезе одного момента	1	2
25	никогда не может быть	1	1
26	друг с другом но	1	1
27	именно в том что	1	1
28	что до сих пор	1	1
29	только тон и стиль	1	1
30	не только тон и	1	1
31	быть более или менее	2	1
32	не значит конечно что	2	1
33	то перед нами был	1	1
34	остановимся прежде всего на	1	1
35	как мы увидим в	1	1
36	рядом друг с другом	1	1
37	сюда же относится и	1	1
38	совершенно новое видение и	1	1
39	в зависимости от того	1	1
40	и в диалоге в	1	1
41	одну и ту же	1	1
42	каков бы он ни	1	1
43	на себе и на	1	1
44	сделаны из одного куска	2	1
45	может быть более или	2	1
46	значит конечно что в	1	1
47	то что может быть	1	1
48	то же время оно	2	1
49	мы уже говорили что	1	1
50	новое видение и изображение	1	1
51	говорит он что в	1	1
52	лишена определяющего влияния на	1	1
53	конечно что в мире	1	1
54	такой же характер носит	1	1
55	только то что может	1	1
56	это не значит конечно	2	1
57	как бы ни были	1	1
58	с точки зрения которого	1	1
59	точка зрения на мир	2	1
60	здесь не место для	1	1
61	в том что он	4	1
62	с точки зрения этого	1	1
63	самого героя и его	1	1
64	в прямой авторской речи	1	1
65	романа с точки зрения	1	1
66	к прошлому и будущему	1	1
67	то же время не	3	1
68	перед нами был бы	1	1
69	что всякое литературное произведение	1	1
70	видения и изображения в	1	1
71	себе и на своей	1	1
72	всех разобранных нами типов	1	1
73	и в этом отношении	2	1
74	проявляется прежде всего в	1	1
75	с другими чертами его	1	1
76	из уст в уста	1	1
77	до сих пор не	1	1
