N	4gram	Bakhtin_Fr	Russkaja
1	в то же время	5	10
2	то же время эти	1	1
3	то же время в	1	1
4	для этого прежде всего	1	1
5	дело в том что	2	1
6	с точки зрения этих	1	1
7	в основе его лежит	1	1
8	подлежит никакому сомнению что	1	1
9	не подлежит никакому сомнению	2	1
10	но в то же	2	1
11	свидетельствуют о том что	1	1
12	что с точки зрения	1	1
13	в том числе и	7	1
14	этого прежде всего необходимо	1	1
15	того чтобы освободиться от	1	1
16	во всяком случае не	1	1
17	яркое выражение в его	1	1
18	и не может быть	2	1
19	и в некоторых других	1	1
