N	2gram	Tiupa_Anal	Formalny
1	и в	36	95
2	т е	2	94
3	и не	14	78
4	может быть	19	66
5	в этом	19	61
6	не может	3	57
7	вовсе не	2	53
8	таким образом	4	52
9	и его	18	51
10	так и	19	50
11	точки зрения	3	47
12	в нем	3	42
13	в его	12	42
14	прежде всего	7	41
15	с точки	2	40
16	как и	27	39
17	и т	1	37
18	художественного произведения	1	36
19	в самом	7	35
20	не в	9	35
21	а не	16	34
22	но и	26	33
23	то же	7	32
24	самом деле	2	32
25	не только	40	30
26	в пределах	5	28
27	в том	16	26
28	отнюдь не	7	26
29	если бы	2	26
30	то что	5	25
31	при этом	19	24
32	в своей	12	24
33	на почве	3	24
34	лишь в	9	24
35	на самом	1	24
36	с помощью	1	23
37	было бы	6	23
38	связи с	1	23
39	в ней	2	23
40	в то	8	22
41	и ее	3	22
42	и с	1	21
43	что в	15	21
44	в истории	1	21
45	как бы	14	21
46	между ними	3	20
47	с тем	2	20
48	не менее	9	20
49	входит в	4	20
50	как мы	4	20
51	и от	3	20
52	же время	7	20
53	место в	4	20
54	в их	7	20
55	по себе	6	19
56	художественное произведение	1	19
57	хотя бы	1	19
58	не могут	2	19
59	все это	5	19
60	все же	6	18
61	в связи	1	18
62	только в	9	18
63	и все	3	18
64	с его	15	18
65	все эти	2	18
66	и их	3	18
67	как раз	8	17
68	произведения в	4	17
69	как в	9	17
70	во всяком	6	16
71	с другой	10	16
72	так же	1	16
73	всяком случае	6	16
74	в искусстве	3	16
75	совершенно не	3	16
76	потому что	1	16
77	именно в	4	15
78	должно быть	1	15
79	с другими	1	15
80	его в	4	15
81	бы в	1	15
82	во всех	4	15
83	и на	5	15
84	но в	8	15
85	в литературе	3	15
86	в жизни	2	14
87	только на	1	14
88	в своем	7	14
89	в ее	5	14
90	в этой	10	14
91	что он	5	14
92	вместе с	3	14
93	еще не	7	14
94	языка и	1	14
95	если мы	1	14
96	произведения и	2	14
97	литературное произведение	3	14
98	и потому	3	14
99	жизни и	2	14
100	в целом	8	14
101	в результате	6	13
102	тем что	3	13
103	что и	10	13
104	как его	1	13
105	могут быть	4	13
106	независимо от	1	13
107	сводится к	5	13
108	со стороны	12	13
109	что же	1	13
110	того что	4	13
111	как ее	1	13
112	она не	3	13
113	а в	17	13
114	там где	2	12
115	уже не	9	12
116	к тому	10	12
117	в действительности	2	12
118	по отношению	9	12
119	как это	7	12
120	и здесь	4	12
121	оно не	2	12
122	того чтобы	1	12
123	и для	4	12
124	отношению к	9	12
125	никогда не	7	11
126	что они	3	11
127	так сказать	2	11
128	лишь для	1	11
129	то ни	1	11
130	между тем	8	11
131	литературного произведения	8	11
132	зависимости от	1	11
133	литературы в	1	11
134	они не	2	11
135	произведения как	4	11
136	это и	4	11
137	для него	8	11
138	этом отношении	3	11
139	в основе	2	11
140	в общем	4	11
141	но не	13	11
142	в большинстве	2	11
143	слова и	1	11
144	не как	3	10
145	другой стороны	7	10
146	в своих	3	10
147	в первом	2	10
148	в художественном	1	10
149	в дальнейшем	2	10
150	раз и	1	10
151	в зависимости	1	10
152	не было	3	10
153	большинстве случаев	1	10
154	не есть	6	10
155	здесь и	3	10
156	он не	9	10
157	если же	1	10
158	материала в	1	10
159	с ее	3	10
160	как о	3	10
161	в слове	5	10
162	не является	5	10
163	и теперь	1	10
164	тем же	1	10
165	формы и	1	10
166	и др	1	10
167	мы не	4	10
