N	2gram	Propp_Isto	Literetu
1	а не	13	50
2	и не	16	47
3	не только	28	46
4	и в	43	44
5	может быть	22	43
6	при этом	4	41
7	но и	24	41
8	тогда как	6	40
9	в том	13	39
10	в этом	25	38
11	своего рода	1	37
12	том что	12	32
13	такого рода	1	30
14	в частности	6	30
15	то что	20	29
16	в мире	1	28
17	в качестве	4	27
18	то же	11	26
19	состоит в	4	26
20	как и	9	23
21	в то	2	23
22	себя в	2	22
23	не в	9	22
24	того что	8	22
25	так и	6	22
26	не может	8	22
27	в себе	2	20
28	прежде всего	3	19
29	как бы	5	18
30	с другой	10	17
31	точки зрения	3	17
32	в его	7	17
33	в жизни	3	16
34	в этой	7	16
35	не менее	6	15
36	я не	3	15
37	в русской	5	15
38	только в	8	15
39	со стороны	3	15
40	в целом	4	15
41	и даже	4	14
42	по отношению	2	14
43	однако в	1	14
44	что он	17	14
45	уже не	11	13
46	в своем	2	13
47	с одной	2	13
48	как это	5	13
49	в тексте	1	13
50	но не	10	13
51	и его	10	13
52	в своей	4	12
53	о том	4	12
54	в данном	7	12
55	одной стороны	2	12
56	к себе	3	12
57	одним из	4	12
58	еще не	15	12
59	отношению к	2	12
60	а также	5	12
61	не столько	1	11
62	в другом	11	11
63	никогда не	9	11
64	и сам	1	11
65	столь же	1	11
66	вместе с	12	11
67	как в	6	11
68	с его	1	11
69	данном случае	6	11
70	это не	10	11
71	или иначе	1	11
72	а в	13	11
73	даже в	4	10
74	из них	7	10
75	в ее	1	10
76	не случайно	2	10
77	что в	29	10
78	и на	7	10
79	так или	1	10
80	потому что	8	10
81	жизни и	2	10
82	отнюдь не	1	10
83	в области	1	10
84	с этой	3	9
85	на смену	7	9
86	к тому	9	9
87	представляет собой	6	9
88	связи с	9	9
89	один из	7	9
90	что я	2	9
91	одно из	2	9
92	в начале	2	9
93	же в	6	9
94	в своих	1	8
95	тем что	8	8
96	все же	13	8
97	исходит из	1	8
98	одна из	2	8
99	с точки	1	8
100	как раз	1	8
101	на себя	5	8
102	что не	3	8
103	о себе	3	8
104	художественного творчества	1	8
105	особого рода	3	8
106	а именно	8	8
107	соответствии с	1	8
108	той же	3	8
109	но в	15	8
110	уже в	1	8
111	xix века	1	8
112	по существу	3	8
113	и как	6	8
114	и я	1	8
115	вплоть до	2	8
116	в самом	1	7
117	в одном	9	7
118	другой стороны	10	7
119	для всех	1	7
120	именно в	1	7
121	ведет к	2	7
122	на фоне	1	7
123	для этого	1	7
124	как правило	3	7
125	не как	1	7
126	тому же	4	7
127	он не	11	7
128	и тем	2	7
129	и с	10	7
130	в нем	11	7
131	из того	2	7
132	с тобой	2	7
133	по своей	1	7
134	друг друга	6	7
135	и для	3	7
136	перестает быть	1	7
137	он и	4	7
138	у нас	7	7
139	так в	8	7
140	человека в	2	7
141	и других	1	7
142	тому как	3	7
143	а затем	6	6
144	в виду	2	6
145	например в	3	6
146	казалось бы	2	6
147	при всей	1	6
148	как на	1	6
149	и он	2	6
150	у него	4	6
151	его в	7	6
152	не было	2	6
153	во всех	1	6
154	было бы	5	6
155	подобно тому	3	6
156	с ее	2	6
157	с миром	3	6
158	самом деле	1	6
159	как о	1	6
160	то и	7	6
161	одного из	2	6
162	и др	4	6
163	и то	4	6
164	том числе	1	6
165	в жизнь	1	6
